player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
123551,Sam,Morsy,Sam Morsy,2024,677,sam-morsy,England,Wolverhampton,Egypt,1991-09-10 00:00:00,Central Midfield,Midfield,right,175.0,2026-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/123551-1658821486.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/sam-morsy/profil/spieler/123551,GB1,Ipswich Town,400000.0,1500000.0
146509,Conor,Townsend,Conor Townsend,2024,677,conor-townsend,England,Hessle,England,1993-03-04 00:00:00,Left-Back,Defender,left,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/146509-1738823694.jpg?lm=1,,,,https://www.transfermarkt.co.uk/conor-townsend/profil/spieler/146509,GB1,Ipswich Town,500000.0,2500000.0
181687,Massimo,Luongo,Massimo Luongo,2024,677,massimo-luongo,Australia,Sydney,Australia,1992-09-25 00:00:00,Central Midfield,Midfield,right,176.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/181687-1720191232.jpg?lm=1,43.0,6.0,,https://www.transfermarkt.co.uk/massimo-luongo/profil/spieler/181687,GB1,Ipswich Town,350000.0,5000000.0
208379,Christian,Walton,Christian Walton,2024,677,christian-walton,England,Truro,England,1995-11-09 00:00:00,Goalkeeper,Goalkeeper,left,195.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/208379-1720189930.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/christian-walton/profil/spieler/208379,GB1,Ipswich Town,900000.0,1200000.0
245625,Alex,Palmer,Alex Palmer,2024,677,alex-palmer,England,Kidderminster,England,1996-08-10 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/245625-1632908899.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/alex-palmer/profil/spieler/245625,GB1,Ipswich Town,900000.0,900000.0
255731,Wes,Burns,Wes Burns,2024,677,wes-burns,Wales,Cardiff,Wales,1994-11-23 00:00:00,Right Midfield,Midfield,right,173.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/255731-1664179868.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/wes-burns/profil/spieler/255731,GB1,Ipswich Town,1200000.0,1200000.0
288323,Marcus,Harness,Marcus Harness,2024,677,marcus-harness,England,Coventry,Ireland,1996-02-24 00:00:00,Attacking Midfield,Midfield,right,182.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/288323-1664179825.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcus-harness/profil/spieler/288323,GB1,Ipswich Town,750000.0,800000.0
349503,Conor,Chaplin,Conor Chaplin,2024,677,conor-chaplin,England,Worthing,England,1997-02-16 00:00:00,Second Striker,Attack,left,168.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/349503-1612349000.jpg?lm=1,,,,https://www.transfermarkt.co.uk/conor-chaplin/profil/spieler/349503,GB1,Ipswich Town,4000000.0,8000000.0
351749,Kalvin,Phillips,Kalvin Phillips,2024,677,kalvin-phillips,England,Leeds,England,1995-12-02 00:00:00,Defensive Midfield,Midfield,right,179.0,2026-05-31 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/351749-1661978510.jpg?lm=1,31.0,1.0,,https://www.transfermarkt.co.uk/kalvin-phillips/profil/spieler/351749,GB1,Ipswich Town,6000000.0,50000000.0
385848,George,Edmundson,George Edmundson,2024,677,george-edmundson,England,Manchester,England,1997-08-15 00:00:00,Centre-Back,Defender,right,190.0,2027-06-30 00:00:00,World in Motion,https://img.a.transfermarkt.technology/portrait/header/385848-1596699073.jpg?lm=1,,,,https://www.transfermarkt.co.uk/george-edmundson/profil/spieler/385848,GB1,Ipswich Town,750000.0,800000.0
401320,Dara,O'Shea,Dara O'Shea,2025,677,dara-oshea,Ireland,Dublin,Ireland,1999-03-04 00:00:00,Centre-Back,Defender,right,189.0,2030-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/401320-1632909442.jpg?lm=1,41.0,0.0,3509.0,https://www.transfermarkt.co.uk/dara-oshea/profil/spieler/401320,GB1,Ipswich Town,15000000.0,15000000.0
420808,George,Hirst,George Hirst,2025,677,george-hirst,England,Sheffield,Scotland,1999-02-15 00:00:00,Centre-Forward,Attack,right,191.0,2029-06-30 00:00:00,Footwork,https://img.a.transfermarkt.technology/portrait/header/420808-1738823357.jpg?lm=1,6.0,1.0,3380.0,https://www.transfermarkt.co.uk/george-hirst/profil/spieler/420808,GB1,Ipswich Town,8000000.0,8000000.0
458178,Jack,Taylor,Jack Taylor,2025,677,jack-taylor,England,London,Ireland,1998-06-23 00:00:00,Central Midfield,Midfield,right,185.0,2028-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/458178-1706522764.jpg?lm=1,10.0,0.0,3509.0,https://www.transfermarkt.co.uk/jack-taylor/profil/spieler/458178,GB1,Ipswich Town,3000000.0,3000000.0
468002,Ben,Johnson,Ben Johnson,2024,677,ben-johnson,England,London,England,2000-01-24 00:00:00,Right-Back,Defender,right,184.0,2028-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/468002-1694618190.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/ben-johnson/profil/spieler/468002,GB1,Ipswich Town,7000000.0,12000000.0
468066,Jens,Cajuste,Jens Cajuste,2024,677,jens-cajuste,Sweden,Göteborg,Sweden,1999-08-10 00:00:00,Defensive Midfield,Midfield,right,188.0,2026-06-30 00:00:00,World in Motion,https://img.a.transfermarkt.technology/portrait/header/468066-1691568301.jpg?lm=1,25.0,0.0,,https://www.transfermarkt.co.uk/jens-cajuste/profil/spieler/468066,GB1,Ipswich Town,8000000.0,12000000.0
527425,Luke,Woolfenden,Luke Woolfenden,2024,677,luke-woolfenden,England,Ipswich,England,1998-10-21 00:00:00,Centre-Back,Defender,right,193.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/527425-1664180037.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luke-woolfenden/profil/spieler/527425,GB1,Ipswich Town,2000000.0,2000000.0
528892,Harry,Clarke,Harry Clarke,2024,677,harry-clarke,England,Ipswich,England,2001-03-02 00:00:00,Right-Back,Defender,right,180.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/528892-1628698186.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/harry-clarke/profil/spieler/528892,GB1,Ipswich Town,4000000.0,5000000.0
559794,Jack,Clarke,Jack Clarke,2024,677,jack-clarke,England,York,England,2000-11-23 00:00:00,Left Winger,Attack,right,181.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/559794-1708003059.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/jack-clarke/profil/spieler/559794,GB1,Ipswich Town,15000000.0,15000000.0
596446,Leif,Davis,Leif Davis,2024,677,leif-davis,England,Newcastle,England,1999-12-31 00:00:00,Left-Back,Defender,left,182.0,2029-06-30 00:00:00,Two Touch Agency,https://img.a.transfermarkt.technology/portrait/header/596446-1738823882.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leif-davis/profil/spieler/596446,GB1,Ipswich Town,20000000.0,25000000.0
621193,Kasey,McAteer,Kasey McAteer,2025,677,kasey-mcateer,England,Northampton,Ireland,2001-11-22 00:00:00,Right Midfield,Midfield,right,177.0,2029-06-30 00:00:00,Two Touch Agency,https://img.a.transfermarkt.technology/portrait/header/621193-1731659829.jpg?lm=1,8.0,1.0,3509.0,https://www.transfermarkt.co.uk/kasey-mcateer/profil/spieler/621193,GB1,Ipswich Town,900000.0,900000.0
693095,Jacob,Greaves,Jacob Greaves,2024,677,jacob-greaves,England,Cottingham,England,2000-09-12 00:00:00,Centre-Back,Defender,left,193.0,2029-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/693095-1727786112.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jacob-greaves/profil/spieler/693095,GB1,Ipswich Town,16000000.0,20000000.0
715558,Marcelino,Núñez,Marcelino Núñez,2025,677,marcelino-nunez,Chile,Recoleta,Chile,2000-03-01 00:00:00,Central Midfield,Midfield,right,173.0,2029-06-30 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/715558-1718987243.jpg?lm=1,33.0,5.0,3700.0,https://www.transfermarkt.co.uk/marcelino-nunez/profil/spieler/715558,GB1,Ipswich Town,,
922472,Somto,Boniface,Somto Boniface,2024,677,somto-boniface,England,London,England,2006-03-11 00:00:00,Left-Back,Defender,left,,,16NinetyTwo,https://img.a.transfermarkt.technology/portrait/header/922472-1746692656.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/somto-boniface/profil/spieler/922472,GB1,Ipswich Town,,
1099929,Tom,Taylor,Tom Taylor,2024,677,tom-taylor,,,England,2006-02-21 00:00:00,Attacking Midfield,Midfield,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tom-taylor/profil/spieler/1099929,GB1,Ipswich Town,,
