player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
43084,Gaetano,Berardi,Gaetano Berardi,2020,399,gaetano-berardi,Switzerland,Sorengo,Switzerland,1988-08-21 00:00:00,Right-Back,Defender,right,179.0,2023-06-30 00:00:00,Azar Sport,https://img.a.transfermarkt.technology/portrait/header/43084-1482246006.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gaetano-berardi/profil/spieler/43084,GB1,Leeds United Association Football Club,50000.0,1400000.0
46220,Pablo,Hernández,Pablo Hernández,2020,399,pablo-hernandez,Spain,Castellón,Spain,1985-04-11 00:00:00,Attacking Midfield,Midfield,right,173.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/46220-1515756050.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pablo-hernandez/profil/spieler/46220,GB1,Leeds United Association Football Club,100000.0,16000000.0
61583,Eunan,O'Kane,Eunan O'Kane,2020,399,eunan-okane,Northern Ireland,Derry,Ireland,1990-07-10 00:00:00,Central Midfield,Midfield,right,168.0,,,https://img.a.transfermarkt.technology/portrait/header/s_61583_989_2013_11_07_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/eunan-okane/profil/spieler/61583,GB1,Leeds United Association Football Club,200000.0,1500000.0
67420,Luke,Ayling,Luke Ayling,2022,399,luke-ayling,,London,,1991-08-25 00:00:00,Right-Back,Defender,right,183.0,2024-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/s_67420_972_2013_10_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luke-ayling/profil/spieler/67420,GB1,Leeds United Association Football Club,1800000.0,5000000.0
75067,Liam,Cooper,Liam Cooper,2022,399,liam-cooper,England,Kingston upon Hull,Scotland,1991-08-30 00:00:00,Centre-Back,Defender,left,186.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_75067_1219_2013_09_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/liam-cooper/profil/spieler/75067,GB1,Leeds United Association Football Club,1800000.0,7000000.0
99397,Karl,Darlow,Karl Darlow,2025,399,karl-darlow,England,Northampton,Wales,1990-10-08 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/99397-1724939153.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/karl-darlow/profil/spieler/99397,GB1,Leeds United Association Football Club,200000.0,4500000.0
121257,Adam,Forshaw,Adam Forshaw,2022,399,adam-forshaw,England,Liverpool,England,1991-10-08 00:00:00,Central Midfield,Midfield,right,175.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/s_121257_1148_2013_09_24_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/adam-forshaw/profil/spieler/121257,GB1,Leeds United Association Football Club,1200000.0,5000000.0
126412,Ouasim,Bouy,Ouasim Bouy,2020,399,ouasim-bouy,Netherlands,Amsterdam,Morocco,1993-06-11 00:00:00,Defensive Midfield,Midfield,left,181.0,,,https://img.a.transfermarkt.technology/portrait/header/126412-1468926489.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ouasim-bouy/profil/spieler/126412,GB1,Leeds United Association Football Club,250000.0,1000000.0
131505,,Rodrigo,Rodrigo,2022,399,rodrigo,Brazil,Rio de Janeiro,Spain,1991-03-06 00:00:00,Centre-Forward,Attack,left,182.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/131505-1686816509.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rodrigo/profil/spieler/131505,GB1,Leeds United Association Football Club,5000000.0,50000000.0
158764,Stuart,Dallas,Stuart Dallas,2022,399,stuart-dallas,Northern Ireland,Cookstown,Northern Ireland,1991-04-19 00:00:00,Right-Back,Defender,right,183.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/158764-1464949381.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stuart-dallas/profil/spieler/158764,GB1,Leeds United Association Football Club,1500000.0,4000000.0
183334,Patrick,Bamford,Patrick Bamford,2022,399,patrick-bamford,England,Grantham,England,1993-09-05 00:00:00,Centre-Forward,Attack,left,185.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/183334-1612870768.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-bamford/profil/spieler/183334,GB1,Leeds United Association Football Club,7000000.0,22000000.0
194386,Alex,Cairns,Alex Cairns,2025,399,alex-cairns,England,Doncaster,England,1993-01-04 00:00:00,Goalkeeper,Goalkeeper,right,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/194386-1724939306.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alex-cairns/profil/spieler/194386,GB1,Leeds United Association Football Club,75000.0,250000.0
236953,Sam,Byram,Sam Byram,2025,399,sam-byram,England,Thurrock,England,1993-09-16 00:00:00,Left-Back,Defender,right,183.0,2026-06-30 00:00:00,InterLex Sport,https://img.a.transfermarkt.technology/portrait/header/236953-1724940024.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/sam-byram/profil/spieler/236953,GB1,Leeds United Association Football Club,600000.0,4500000.0
296986,Tyler,Roberts,Tyler Roberts,2022,399,tyler-roberts,England,Gloucester,Wales,1999-01-12 00:00:00,Centre-Forward,Attack,right,180.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/296986-1516960233.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tyler-roberts/profil/spieler/296986,GB1,Leeds United Association Football Club,3000000.0,8000000.0
297212,Joe,Rodon,Joe Rodon,2025,399,joe-rodon,Wales,Swansea,Wales,1997-10-22 00:00:00,Centre-Back,Defender,right,193.0,2028-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/297212-1666698393.jpg?lm=1,59.0,2.0,,https://www.transfermarkt.co.uk/joe-rodon/profil/spieler/297212,GB1,Leeds United Association Football Club,15000000.0,15000000.0
306024,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,2025,399,dominic-calvert-lewin,England,Sheffield,England,1997-03-16 00:00:00,Centre-Forward,Attack,right,189.0,2028-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/306024-1685705768.jpg?lm=1,11.0,4.0,,https://www.transfermarkt.co.uk/dominic-calvert-lewin/profil/spieler/306024,GB1,Leeds United Association Football Club,22000000.0,45000000.0
314288,Lukas,Nmecha,Lukas Nmecha,2025,399,lukas-nmecha,Germany,Hamburg,Germany,1998-12-14 00:00:00,Centre-Forward,Attack,right,185.0,2027-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/314288-1657203640.jpg?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/lukas-nmecha/profil/spieler/314288,GB1,Leeds United Association Football Club,10000000.0,18000000.0
319301,Daniel,James,Daniel James,2025,399,daniel-james,England,Beverley,Wales,1997-11-10 00:00:00,Right Winger,Attack,right,171.0,2029-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/319301-1668520687.jpg?lm=1,62.0,10.0,,https://www.transfermarkt.co.uk/daniel-james/profil/spieler/319301,GB1,Leeds United Association Football Club,12000000.0,28000000.0
338629,Sebastiaan,Bornauw,Sebastiaan Bornauw,2025,399,sebastiaan-bornauw,Belgium,Wemmel,Belgium,1999-03-22 00:00:00,Centre-Back,Defender,right,191.0,2029-06-30 00:00:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/338629-1657202272.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/sebastiaan-bornauw/profil/spieler/338629,GB1,Leeds United Association Football Club,8000000.0,14000000.0
344069,Anton,Stach,Anton Stach,2025,399,anton-stach,Germany,Buchholz in der Nordheide,Germany,1998-11-15 00:00:00,Defensive Midfield,Midfield,right,194.0,2029-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/344069-1723921116.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/anton-stach/profil/spieler/344069,GB1,Leeds United Association Football Club,25000000.0,25000000.0
346707,Sean,Longstaff,Sean Longstaff,2025,399,sean-longstaff,England,Newcastle upon Tyne,England,1997-10-30 00:00:00,Central Midfield,Midfield,right,187.0,2029-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/346707-1682341336.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sean-longstaff/profil/spieler/346707,GB1,Leeds United Association Football Club,16000000.0,25000000.0
346890,Noah,Okafor,Noah Okafor,2025,399,noah-okafor,Switzerland,Binningen,Switzerland,2000-05-24 00:00:00,Left Winger,Attack,right,185.0,2029-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/346890-1692879855.jpg?lm=1,24.0,2.0,,https://www.transfermarkt.co.uk/noah-okafor/profil/spieler/346890,GB1,Leeds United Association Football Club,18000000.0,25000000.0
352041,Lucas,Perri,Lucas Perri,2025,399,lucas-perri,Brazil,Valinhos,Brazil,1997-12-10 00:00:00,Goalkeeper,Goalkeeper,right,197.0,2029-06-30 00:00:00,LEFT Sports,https://img.a.transfermarkt.technology/portrait/header/352041-1733188777.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/lucas-perri/profil/spieler/352041,GB1,Leeds United Association Football Club,13000000.0,16000000.0
362108,Gabriel,Gudmundsson,Gabriel Gudmundsson,2025,399,gabriel-gudmundsson,Sweden,Malmö,Sweden,1999-04-29 00:00:00,Left-Back,Defender,left,180.0,2029-06-30 00:00:00,MD Management,https://img.a.transfermarkt.technology/portrait/header/362108-1666691160.jpg?lm=1,22.0,0.0,,https://www.transfermarkt.co.uk/gabriel-gudmundsson/profil/spieler/362108,GB1,Leeds United Association Football Club,20000000.0,20000000.0
369962,Joël,Piroe,Joël Piroe,2025,399,joel-piroe,Netherlands,Wijchen,Suriname,1999-08-02 00:00:00,Centre-Forward,Attack,left,185.0,2027-06-30 00:00:00,Roebbers,https://img.a.transfermarkt.technology/portrait/header/369962-1715936868.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/joel-piroe/profil/spieler/369962,GB1,Leeds United Association Football Club,13000000.0,18000000.0
371851,Jaka,Bijol,Jaka Bijol,2025,399,jaka-bijol,Slovenia,Vuzenica,Slovenia,1999-02-05 00:00:00,Centre-Back,Defender,right,190.0,2030-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/371851-1695029407.jpg?lm=1,69.0,1.0,,https://www.transfermarkt.co.uk/jaka-bijol/profil/spieler/371851,GB1,Leeds United Association Football Club,18000000.0,18000000.0
381753,Ilia,Gruev,Ilia Gruev,2025,399,ilia-gruev,Bulgaria,Sofia,Bulgaria,2000-05-06 00:00:00,Defensive Midfield,Midfield,left,185.0,2027-06-30 00:00:00,feel soccer GmbH,https://img.a.transfermarkt.technology/portrait/header/381753-1724940121.jpg?lm=1,27.0,0.0,,https://www.transfermarkt.co.uk/ilia-gruev/profil/spieler/381753,GB1,Leeds United Association Football Club,12000000.0,12000000.0
392771,Ethan,Ampadu,Ethan Ampadu,2025,399,ethan-ampadu,England,Exeter,Wales,2000-09-14 00:00:00,Defensive Midfield,Midfield,right,182.0,2027-06-30 00:00:00,Platinum One Group,https://img.a.transfermarkt.technology/portrait/header/392771-1658829697.jpg?lm=1,60.0,0.0,,https://www.transfermarkt.co.uk/ethan-ampadu/profil/spieler/392771,GB1,Leeds United Association Football Club,25000000.0,25000000.0
393323,Brenden,Aaronson,Brenden Aaronson,2025,399,brenden-aaronson,United States,"Medford, New Jersey",United States,2000-10-22 00:00:00,Attacking Midfield,Midfield,right,177.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/393323-1691614083.jpg?lm=1,56.0,9.0,,https://www.transfermarkt.co.uk/brenden-aaronson/profil/spieler/393323,GB1,Leeds United Association Football Club,18000000.0,30000000.0
410708,Pascal,Struijk,Pascal Struijk,2025,399,pascal-struijk,Belgium,Deurne,Netherlands,1999-08-11 00:00:00,Centre-Back,Defender,left,190.0,2027-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/410708-1708002225.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/pascal-struijk/profil/spieler/410708,GB1,Leeds United Association Football Club,22000000.0,22000000.0
413220,James,Justin,James Justin,2025,399,james-justin,England,Luton,England,1998-02-23 00:00:00,Right-Back,Defender,both,183.0,2029-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/413220-1746646113.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/james-justin/profil/spieler/413220,GB1,Leeds United Association Football Club,12000000.0,25000000.0
465717,Jayden,Bogle,Jayden Bogle,2025,399,jayden-bogle,England,Reading,England,2000-07-27 00:00:00,Right-Back,Defender,right,178.0,2028-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/465717-1764840719.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/jayden-bogle/profil/spieler/465717,GB1,Leeds United Association Football Club,12000000.0,12000000.0
489359,Ao,Tanaka,Ao Tanaka,2025,399,ao-tanaka,Japan,"Kawasaki, Kanagawa",Japan,1998-09-10 00:00:00,Central Midfield,Midfield,right,180.0,2028-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/489359-1657113927.jpg?lm=1,35.0,8.0,,https://www.transfermarkt.co.uk/ao-tanaka/profil/spieler/489359,GB1,Leeds United Association Football Club,10000000.0,10000000.0
503980,Joe,Gelhardt,Joe Gelhardt,2022,399,joe-gelhardt,England,Liverpool,England,2002-05-04 00:00:00,Centre-Forward,Attack,left,179.0,2027-06-30 00:00:00,Triple S Sports,https://img.a.transfermarkt.technology/portrait/header/503980-1557307981.png?lm=1,,,,https://www.transfermarkt.co.uk/joe-gelhardt/profil/spieler/503980,GB1,Leeds United Association Football Club,7000000.0,8000000.0
531957,Cody,Drameh,Cody Drameh,2022,399,cody-drameh,England,London,England,2001-12-08 00:00:00,Right-Back,Defender,right,175.0,2024-06-30 00:00:00,Concilium Sport,https://img.a.transfermarkt.technology/portrait/header/531957-1633425778.png?lm=1,,,,https://www.transfermarkt.co.uk/cody-drameh/profil/spieler/531957,GB1,Leeds United Association Football Club,3500000.0,3500000.0
533913,Jordan,Stevens,Jordan Stevens,2020,399,jordan-stevens,England,Gloucester,England,2000-03-25 00:00:00,Attacking Midfield,Midfield,right,178.0,2024-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/533913-1568114665.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jordan-stevens/profil/spieler/533913,GB1,Leeds United Association Football Club,200000.0,200000.0
534698,Robbie,Gotts,Robbie Gotts,2020,399,robbie-gotts,England,Harrogate,England,1999-11-09 00:00:00,Central Midfield,Midfield,right,177.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/robbie-gotts/profil/spieler/534698,GB1,Leeds United Association Football Club,250000.0,250000.0
534700,Jamie,Shackleton,Jamie Shackleton,2022,399,jamie-shackleton,,Leeds,,1999-10-08 00:00:00,Central Midfield,Midfield,right,168.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/534700-1551183811.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jamie-shackleton/profil/spieler/534700,GB1,Leeds United Association Football Club,2000000.0,3000000.0
542586,Illan,Meslier,Illan Meslier,2025,399,illan-meslier,France,Lorient,France,2000-03-02 00:00:00,Goalkeeper,Goalkeeper,left,197.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/542586-1677685317.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/illan-meslier/profil/spieler/542586,GB1,Leeds United Association Football Club,10000000.0,22000000.0
559800,Oliver,Casey,Oliver Casey,2020,399,oliver-casey,England,Leeds,England,2000-12-19 00:00:00,Centre-Back,Defender,right,188.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oliver-casey/profil/spieler/559800,GB1,Leeds United Association Football Club,350000.0,350000.0
559801,Niall,Huggins,Niall Huggins,2020,399,niall-huggins,England,York,Wales,2000-12-18 00:00:00,Right-Back,Defender,right,173.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/niall-huggins/profil/spieler/559801,GB1,Leeds United Association Football Club,200000.0,200000.0
587003,Lewis,Bate,Lewis Bate,2021,399,lewis-bate,England,London,England,2002-10-28 00:00:00,Central Midfield,Midfield,left,170.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/587003-1574325615.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lewis-bate/profil/spieler/587003,GB1,Leeds United Association Football Club,1200000.0,1200000.0
614082,Liam,McCarron,Liam McCarron,2021,399,liam-mccarron,England,Preston,Scotland,2001-03-07 00:00:00,Left-Back,Defender,left,175.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/liam-mccarron/profil/spieler/614082,GB1,Leeds United Association Football Club,250000.0,500000.0
624264,Charlie,Allen,Charlie Allen,2022,399,charlie-allen,Northern Ireland,Belfast,Northern Ireland,2003-11-22 00:00:00,Central Midfield,Midfield,,,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/charlie-allen/profil/spieler/624264,GB1,Leeds United Association Football Club,,
627626,Wilfried,Gnonto,Wilfried Gnonto,2025,399,wilfried-gnonto,Italy,Verbania,Italy,2003-11-05 00:00:00,Right Winger,Attack,right,170.0,2028-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/627626-1647955561.jpg?lm=1,17.0,5.0,,https://www.transfermarkt.co.uk/wilfried-gnonto/profil/spieler/627626,GB1,Leeds United Association Football Club,18000000.0,22000000.0
661208,Leo Fuhr,Hjelde,Leo Fuhr Hjelde,2022,399,leo-fuhr-hjelde,England,Nottingham,Norway,2003-08-26 00:00:00,Centre-Back,Defender,left,190.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/661208-1648481718.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leo-fuhr-hjelde/profil/spieler/661208,GB1,Leeds United Association Football Club,1500000.0,1500000.0
663264,Darko,Gyabi,Darko Gyabi,2022,399,darko-gyabi,England,London,England,2004-02-18 00:00:00,Central Midfield,Midfield,right,196.0,2026-06-30 00:00:00,Marquee Talent Group,https://img.a.transfermarkt.technology/portrait/header/663264-1656928941.jpg?lm=1,,,,https://www.transfermarkt.co.uk/darko-gyabi/profil/spieler/663264,GB1,Leeds United Association Football Club,2000000.0,3000000.0
670877,Sonny,Perkins,Sonny Perkins,2022,399,sonny-perkins,England,London,England,2004-02-10 00:00:00,Centre-Forward,Attack,left,178.0,2025-06-30 00:00:00,10Ten Football,https://img.a.transfermarkt.technology/portrait/header/670877-1637915626.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sonny-perkins/profil/spieler/670877,GB1,Leeds United Association Football Club,1200000.0,1200000.0
719681,Jeremiah,Chilokoa-Mullen,Jeremiah Chilokoa-Mullen,2022,399,jeremiah-chilokoa-mullen,,,Scotland,2004-06-17 00:00:00,Centre-Back,Defender,,,2025-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jeremiah-chilokoa-mullen/profil/spieler/719681,GB1,Leeds United Association Football Club,,
733308,Amari,Miller,Amari Miller,2022,399,amari-miller,England,Birmingham,England,2002-11-04 00:00:00,Left Winger,Attack,left,174.0,2025-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/amari-miller/profil/spieler/733308,GB1,Leeds United Association Football Club,,
734375,Jack,Jenkins,Jack Jenkins,2021,399,jack-jenkins,,,England,2002-03-23 00:00:00,Defensive Midfield,Midfield,right,190.0,2023-05-31 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jack-jenkins/profil/spieler/734375,GB1,Leeds United Association Football Club,150000.0,150000.0
745692,Joe,Snowdon,Joe Snowdon,2022,399,joe-snowdon,England,Oldham,England,2004-02-14 00:00:00,Central Midfield,Midfield,,,2024-06-30 00:00:00,GG Sports LTD,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joe-snowdon/profil/spieler/745692,GB1,Leeds United Association Football Club,,
746067,Kris,Moore,Kris Moore,2022,399,kris-moore,,,England,2003-11-13 00:00:00,Centre-Back,Defender,right,,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kris-moore/profil/spieler/746067,GB1,Leeds United Association Football Club,,
883539,Charlie,Crew,Charlie Crew,2025,399,charlie-crew,Wales,Cardiff,Wales,2006-06-15 00:00:00,Defensive Midfield,Midfield,right,185.0,2028-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/883539-1747518597.jpg?lm=1,8.0,0.0,,https://www.transfermarkt.co.uk/charlie-crew/profil/spieler/883539,GB1,Leeds United Association Football Club,150000.0,150000.0
906891,James,Debayo,James Debayo,2022,399,james-debayo,England,London,England,2005-07-11 00:00:00,Centre-Back,Defender,,,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/james-debayo/profil/spieler/906891,GB1,Leeds United Association Football Club,,
983989,Facundo,Buonanotte,Facundo Buonanotte,2025,399,facundo-buonanotte,Argentina,Pérez,Argentina,2004-12-23 00:00:00,Attacking Midfield,Midfield,left,174.0,2026-06-30 00:00:00,KMB,https://img.a.transfermarkt.technology/portrait/header/983989-1682588141.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/facundo-buonanotte/profil/spieler/983989,GB1,Leeds United Association Football Club,16000000.0,22000000.0
