player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
2998,Robert,Huth,Robert Huth,2017,1003,robert-huth,East Germany (GDR),Berlin,Germany,1984-08-18 00:00:00,Centre-Back,Defender,,,,Christian Nilles,https://img.a.transfermarkt.technology/portrait/header/2998-1463997450.jpg?lm=1,,,,https://www.transfermarkt.co.uk/robert-huth/profil/spieler/2998,GB1,Leicester City,2500000.0,8900000.0
3273,Matthew,Upson,Matthew Upson,2014,1003,matthew-upson,England,Hartismere,England,1979-04-18 00:00:00,Centre-Back,Defender,left,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3273_379_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matthew-upson/profil/spieler/3273,GB1,Leicester City,250000.0,9000000.0
3296,Paul,Konchesky,Paul Konchesky,2015,1003,paul-konchesky,England,London,England,1981-05-15 00:00:00,Left-Back,Defender,left,178.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/3296-1406794775.jpg?lm=1,,,,https://www.transfermarkt.co.uk/paul-konchesky/profil/spieler/3296,GB1,Leicester City,250000.0,9500000.0
3357,Mark,Schwarzer,Mark Schwarzer,2015,1003,mark-schwarzer,Australia,Sydney,Australia,1972-10-06 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/3357-1461241916.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mark-schwarzer/profil/spieler/3357,GB1,Leicester City,500000.0,5000000.0
6636,Christian,Fuchs,Christian Fuchs,2020,1003,christian-fuchs,Austria,Neunkirchen,Austria,1986-04-07 00:00:00,Left-Back,Defender,left,187.0,,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/6636-1646522420.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-fuchs/profil/spieler/6636,GB1,Leicester City,400000.0,7500000.0
10003,Wes,Morgan,Wes Morgan,2020,1003,wes-morgan,England,Nottingham,Jamaica,1984-01-21 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/10003-1405438663.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wes-morgan/profil/spieler/10003,GB1,Leicester City,400000.0,3500000.0
10501,Paul,Gallagher,Paul Gallagher,2014,1003,paul-gallagher,Scotland,Glasgow,Scotland,1984-09-08 00:00:00,Central Midfield,Midfield,right,185.0,,KIN Partners,https://img.a.transfermarkt.technology/portrait/header/10501-1477567558.jpg?lm=1,,,,https://www.transfermarkt.co.uk/paul-gallagher/profil/spieler/10501,GB1,Leicester City,250000.0,1750000.0
16947,Marcin,Wasilewski,Marcin Wasilewski,2016,1003,marcin-wasilewski,Poland,Kraków,Poland,1980-06-09 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/16947-1605875946.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcin-wasilewski/profil/spieler/16947,GB1,Leicester City,50000.0,3000000.0
27053,Conrad,Logan,Conrad Logan,2014,1003,conrad-logan,Ireland,Ramelton,Ireland,1986-04-18 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/conrad-logan/profil/spieler/27053,GB1,Leicester City,200000.0,250000.0
33065,Dean,Hammond,Dean Hammond,2015,1003,dean-hammond,England,Hastings,England,1983-03-07 00:00:00,Central Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_33065_180_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dean-hammond/profil/spieler/33065,GB1,Leicester City,500000.0,750000.0
33754,Alex,Smithies,Alex Smithies,2022,1003,alex-smithies,England,Huddersfield,England,1990-03-05 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2024-06-30 00:00:00,World in Motion,https://img.a.transfermarkt.technology/portrait/header/33754-1467882120.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alex-smithies/profil/spieler/33754,GB1,Leicester City,500000.0,3500000.0
37442,Danny,Simpson,Danny Simpson,2018,1003,danny-simpson,England,Eccles,England,1987-01-04 00:00:00,Right-Back,Defender,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/37442-1469615760.jpg?lm=1,,,,https://www.transfermarkt.co.uk/danny-simpson/profil/spieler/37442,GB1,Leicester City,300000.0,5500000.0
