player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
2514,Bastian,Schweinsteiger,Bastian Schweinsteiger,2016,985,bastian-schweinsteiger,Germany,Kolbermoor,Germany,1984-08-01 00:00:00,Central Midfield,Midfield,,,,BS Family Office,https://img.a.transfermarkt.technology/portrait/header/2514-1551256967.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bastian-schweinsteiger/profil/spieler/2514,GB1,Manchester United Football Club,1000000.0,40000000.0
3332,Wayne,Rooney,Wayne Rooney,2017,985,wayne-rooney,England,Liverpool,England,1985-10-24 00:00:00,Centre-Forward,Attack,right,176.0,,Triple S Sports,https://img.a.transfermarkt.technology/portrait/header/3332-1551295290.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wayne-rooney/profil/spieler/3332,GB1,Manchester United Football Club,2000000.0,65000000.0
3397,Paul,Scholes,Paul Scholes,2012,985,paul-scholes,England,Salford,England,1974-11-16 00:00:00,Central Midfield,Midfield,right,168.0,,,https://img.a.transfermarkt.technology/portrait/header/3397-1595498527.jpg?lm=1,,,,https://www.transfermarkt.co.uk/paul-scholes/profil/spieler/3397,GB1,Manchester United Football Club,1000000.0,25000000.0
3406,Ryan,Giggs,Ryan Giggs,2013,985,ryan-giggs,Wales,Cardiff,Wales,1973-11-29 00:00:00,Left Midfield,Midfield,left,179.0,,,https://img.a.transfermarkt.technology/portrait/header/3406-1589198838.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ryan-giggs/profil/spieler/3406,GB1,Manchester United Football Club,1000000.0,25000000.0
3878,Michael,Carrick,Michael Carrick,2017,985,michael-carrick,England,Wallsend,England,1981-07-28 00:00:00,Defensive Midfield,Midfield,right,189.0,,10Ten Football,https://img.a.transfermarkt.technology/portrait/header/3878-1666625002.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michael-carrick/profil/spieler/3878,GB1,Manchester United Football Club,1000000.0,26500000.0
13460,Lee,Grant,Lee Grant,2021,985,lee-grant,England,Hemel Hempstead,England,1983-01-27 00:00:00,Goalkeeper,Goalkeeper,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/s_13460_22_2013_09_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lee-grant/profil/spieler/13460,GB1,Manchester United Football Club,250000.0,1000000.0
16306,,Casemiro,Casemiro,2025,985,casemiro,Brazil,São José dos Campos,Brazil,1992-02-23 00:00:00,Defensive Midfield,Midfield,right,185.0,2026-06-30 00:00:00,Best of You,https://img.a.transfermarkt.technology/portrait/header/16306-1699018876.jpg?lm=1,83.0,8.0,,https://www.transfermarkt.co.uk/casemiro/profil/spieler/16306,GB1,Manchester United Football Club,8000000.0,80000000.0
31645,,Anderson,Anderson,2014,985,anderson,Brazil,Porto Alegre,Brazil,1988-04-13 00:00:00,Central Midfield,Midfield,left,175.0,,MEC Management,https://img.a.transfermarkt.technology/portrait/header/31645-1447748712.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anderson/profil/spieler/31645,GB1,Manchester United Football Club,300000.0,31500000.0
33544,Antonio,Valencia,Antonio Valencia,2018,985,antonio-valencia,Ecuador,Nueva Loja,Ecuador,1985-08-04 00:00:00,Right-Back,Defender,right,180.0,,JP PACHON SPORTS,https://img.a.transfermarkt.technology/portrait/header/33544-1484662583.jpg?lm=1,,,,https://www.transfermarkt.co.uk/antonio-valencia/profil/spieler/33544,GB1,Manchester United Football Club,1800000.0,27500000.0
34130,Tom,Heaton,Tom Heaton,2025,985,tom-heaton,England,Chester,England,1986-04-15 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/34130-1688121718.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/tom-heaton/profil/spieler/34130,GB1,Manchester United Football Club,150000.0,6000000.0
