player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3118,Kieron,Dyer,Kieron Dyer,2012,1039,kieron-dyer,England,Ipswich,England,1978-12-29 00:00:00,Right Midfield,Midfield,right,170.0,,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/s_3118_379_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kieron-dyer/profil/spieler/3118,GB1,Queens Park Rangers,500000.0,16000000.0
3235,Rio,Ferdinand,Rio Ferdinand,2014,1039,rio-ferdinand,England,London,England,1978-11-07 00:00:00,Centre-Back,Defender,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/3235-1592469934.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235,GB1,Queens Park Rangers,1000000.0,35000000.0
3271,Luke,Young,Luke Young,2012,1039,luke-young,England,Harlow,England,1979-07-19 00:00:00,Right-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3271_405_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luke-young/profil/spieler/3271,GB1,Queens Park Rangers,500000.0,7000000.0
3461,Jermaine,Jenas,Jermaine Jenas,2012,1039,jermaine-jenas,England,Nottingham,England,1983-02-18 00:00:00,Central Midfield,Midfield,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/3461-1598621230.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jermaine-jenas/profil/spieler/3461,GB1,Queens Park Rangers,1500000.0,15000000.0
3467,Shaun,Wright-Phillips,Shaun Wright-Phillips,2014,1039,shaun-wright-phillips,England,London,England,1981-10-25 00:00:00,Right Winger,Attack,right,166.0,,Darren Dein,https://img.a.transfermarkt.technology/portrait/header/3467-1464131724.jpg?lm=1,,,,https://www.transfermarkt.co.uk/shaun-wright-phillips/profil/spieler/3467,GB1,Queens Park Rangers,100000.0,31500000.0
3807,Richard,Dunne,Richard Dunne,2014,1039,richard-dunne,Ireland,Dublin,Ireland,1979-09-21 00:00:00,Centre-Back,Defender,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3807_405_2012_11_12_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/richard-dunne/profil/spieler/3807,GB1,Queens Park Rangers,500000.0,12000000.0
4205,Bobby,Zamora,Bobby Zamora,2014,1039,bobby-zamora,England,London,England,1981-01-16 00:00:00,Centre-Forward,Attack,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/4205-1598528728.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bobby-zamora/profil/spieler/4205,GB1,Queens Park Rangers,750000.0,8000000.0
8188,Jay,Bothroyd,Jay Bothroyd,2012,1039,jay-bothroyd,England,London,England,1982-05-07 00:00:00,Centre-Forward,Attack,left,190.0,,,https://img.a.transfermarkt.technology/portrait/header/8188-1615024675.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jay-bothroyd/profil/spieler/8188,GB1,Queens Park Rangers,125000.0,2500000.0
9980,Rob,Hulse,Rob Hulse,2012,1039,rob-hulse,England,Crewe,England,1979-10-25 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rob-hulse/profil/spieler/9980,GB1,Queens Park Rangers,250000.0,3750000.0
13582,Karl,Henry,Karl Henry,2014,1039,karl-henry,England,Wolverhampton,England,1982-11-26 00:00:00,Defensive Midfield,Midfield,right,184.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/s_13582_543_2013_05_22_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/karl-henry/profil/spieler/13582,GB1,Queens Park Rangers,500000.0,3500000.0
