player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
488,Gerhard,Tremmel,Gerhard Tremmel,2016,2288,gerhard-tremmel,Germany,München,Germany,1978-11-16 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/s_488_2288_2013_10_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gerhard-tremmel/profil/spieler/488,GB1,Swansea City,250000.0,2200000.0
4111,Garry,Monk,Garry Monk,2013,2288,garry-monk,England,Bedford,England,1979-03-06 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_4111_2288_2013_02_07_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/garry-monk/profil/spieler/4111,GB1,Swansea City,500000.0,1250000.0
7337,Alan,Tate,Alan Tate,2014,2288,alan-tate,England,Easington,England,1982-09-02 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/7337-1649239791.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alan-tate/profil/spieler/7337,GB1,Swansea City,500000.0,1000000.0
14066,Wayne,Routledge,Wayne Routledge,2017,2288,wayne-routledge,England,London,England,1985-01-07 00:00:00,Left Winger,Attack,right,170.0,,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/s_14066_2288_2013_10_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wayne-routledge/profil/spieler/14066,GB1,Swansea City,250000.0,5000000.0
20975,Leroy,Lita,Leroy Lita,2013,2288,leroy-lita,Zaire,Kinshasa,England,1984-12-28 00:00:00,Centre-Forward,Attack,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/s_20975_2288_2013_09_27_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leroy-lita/profil/spieler/20975,GB1,Swansea City,200000.0,2750000.0
29356,Dwight,Tiendalli,Dwight Tiendalli,2014,2288,dwight-tiendalli,Suriname,Paramaribo,Netherlands,1985-10-21 00:00:00,Right-Back,Defender,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/s_29356_2288_2013_09_27_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dwight-tiendalli/profil/spieler/29356,GB1,Swansea City,100000.0,2500000.0
35035,Roland,Lamah,Roland Lamah,2013,2288,roland-lamah,Cote d'Ivoire,Abidjan,Belgium,1987-12-31 00:00:00,Left Winger,Attack,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/35035-1550078364.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roland-lamah/profil/spieler/35035,GB1,Swansea City,150000.0,2500000.0
37011,Nathan,Dyer,Nathan Dyer,2017,2288,nathan-dyer,England,Trowbridge,England,1987-11-29 00:00:00,Right Winger,Attack,right,165.0,,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/s_37011_2288_2013_09_27_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nathan-dyer/profil/spieler/37011,GB1,Swansea City,350000.0,5500000.0
39700,Mark,Gower,Mark Gower,2012,2288,mark-gower,England,Edmonton,England,1978-10-05 00:00:00,Central Midfield,Midfield,both,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_39700_2288_2013_03_07_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mark-gower/profil/spieler/39700,GB1,Swansea City,250000.0,750000.0
40043,Leon,Britton,Leon Britton,2017,2288,leon-britton,England,London,England,1982-09-16 00:00:00,Central Midfield,Midfield,right,167.0,,,https://img.a.transfermarkt.technology/portrait/header/40043-1483520021.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leon-britton/profil/spieler/40043,GB1,Swansea City,1000000.0,4500000.0
66219,Kyle,Naughton,Kyle Naughton,2017,2288,kyle-naughton,England,Sheffield,England,1988-11-17 00:00:00,Right-Back,Defender,right,181.0,2023-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/s_66219_148_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kyle-naughton/profil/spieler/66219,GB1,Swansea City,300000.0,6000000.0
66550,Ángel,Rangel,Ángel Rangel,2017,2288,angel-rangel,Spain,Sant Carles de la Ràpita,Spain,1982-11-28 00:00:00,Right-Back,Defender,right,188.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/s_66550_2288_2013_09_27_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/angel-rangel/profil/spieler/66550,GB1,Swansea City,300000.0,3500000.0
89648,David,Cornell,David Cornell,2014,2288,david-cornell,Wales,Waunarlwydd,Wales,1991-03-28 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/89648-1669625706.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-cornell/profil/spieler/89648,GB1,Swansea City,250000.0,500000.0
111059,Darnel,Situ,Darnel Situ,2012,2288,darnel-situ,France,Rouen,France,1992-03-18 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/s_111059_826_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/darnel-situ/profil/spieler/111059,GB1,Swansea City,50000.0,250000.0
121279,Tom,Carroll,Tom Carroll,2017,2288,tom-carroll,England,Watford,England,1992-05-28 00:00:00,Central Midfield,Midfield,left,177.0,,,https://img.a.transfermarkt.technology/portrait/header/121279-1484671611.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tom-carroll/profil/spieler/121279,GB1,Swansea City,1000000.0,7000000.0
122223,Sam,Clucas,Sam Clucas,2017,2288,sam-clucas,England,Lincoln,England,1990-09-25 00:00:00,Central Midfield,Midfield,left,178.0,2023-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/122223-1520417888.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sam-clucas/profil/spieler/122223,GB1,Swansea City,400000.0,8000000.0
130216,Daniel,Alfei,Daniel Alfei,2015,2288,daniel-alfei,Wales,Swansea,Wales,1992-02-23 00:00:00,Right-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/130216-1407316459.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-alfei/profil/spieler/130216,GB1,Swansea City,50000.0,50000.0
164389,Rory,Donnelly,Rory Donnelly,2014,2288,rory-donnelly,Northern Ireland,Belfast,Northern Ireland,1992-02-18 00:00:00,Centre-Forward,Attack,right,188.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rory-donnelly/profil/spieler/164389,GB1,Swansea City,150000.0,250000.0
171260,Jay,Fulton,Jay Fulton,2017,2288,jay-fulton,England,Bolton,Scotland,1994-04-04 00:00:00,Central Midfield,Midfield,right,185.0,2026-06-30 00:00:00,MMH Career Planning,https://img.a.transfermarkt.technology/portrait/header/171260-1476877372.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jay-fulton/profil/spieler/171260,GB1,Swansea City,1200000.0,3500000.0
173584,Raheem,Hanley,Raheem Hanley,2014,2288,raheem-hanley,England,Blackburn,St. Kitts & Nevis,1994-02-24 00:00:00,Left-Back,Defender,left,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_173584_9258_2012_12_03_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/raheem-hanley/profil/spieler/173584,GB1,Swansea City,75000.0,75000.0
183837,Gregor,Zabret,Gregor Zabret,2013,2288,gregor-zabret,Slovenia,Ljubljana,Slovenia,1995-08-18 00:00:00,Goalkeeper,Goalkeeper,,187.0,,Neil Thompson,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gregor-zabret/profil/spieler/183837,GB1,Swansea City,25000.0,75000.0
197910,Liam,Shephard,Liam Shephard,2015,2288,liam-shephard,Wales,Pentre,Wales,1994-11-22 00:00:00,Right-Back,Defender,right,178.0,2023-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/liam-shephard/profil/spieler/197910,GB1,Swansea City,200000.0,200000.0
240083,George,Byers,George Byers,2017,2288,george-byers,England,Ilford,Scotland,1996-05-29 00:00:00,Central Midfield,Midfield,right,180.0,2023-06-30 00:00:00,Two Touch Agency,https://img.a.transfermarkt.technology/portrait/header/240083-1551181266.jpg?lm=1,,,,https://www.transfermarkt.co.uk/george-byers/profil/spieler/240083,GB1,Swansea City,400000.0,2000000.0
242681,Josh,Vickers,Josh Vickers,2015,2288,josh-vickers,England,Brentwood,England,1995-12-01 00:00:00,Goalkeeper,Goalkeeper,,193.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/242681-1649405323.jpg?lm=1,,,,https://www.transfermarkt.co.uk/josh-vickers/profil/spieler/242681,GB1,Swansea City,300000.0,400000.0
243591,Lawrence,Vigouroux,Lawrence Vigouroux,2025,2288,lawrence-vigouroux,England,London,Chile,1993-11-19 00:00:00,Goalkeeper,Goalkeeper,left,194.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/243591-1724941751.jpg?lm=1,5.0,0.0,3700.0,https://www.transfermarkt.co.uk/lawrence-vigouroux/profil/spieler/243591,GB1,Swansea City,300000.0,300000.0
255788,Cameron,Burgess,Cameron Burgess,2025,2288,cameron-burgess,Scotland,Aberdeen,Australia,1995-10-21 00:00:00,Centre-Back,Defender,left,194.0,2028-06-30 00:00:00,Murdock Sports Group,https://img.a.transfermarkt.technology/portrait/header/255788-1664180001.jpg?lm=1,23.0,0.0,3433.0,https://www.transfermarkt.co.uk/cameron-burgess/profil/spieler/255788,GB1,Swansea City,500000.0,500000.0
256652,Adnan,Maric,Adnan Maric,2017,2288,adnan-maric,Sweden,Göteborg,Sweden,1997-02-17 00:00:00,Defensive Midfield,Midfield,,181.0,2025-12-31 00:00:00,Simul Management,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/adnan-maric/profil/spieler/256652,GB1,Swansea City,225000.0,250000.0
265471,Matt,Grimes,Matt Grimes,2017,2288,matt-grimes,England,Exeter,England,1995-07-15 00:00:00,Central Midfield,Midfield,left,178.0,2025-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/265471-1439814383.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matt-grimes/profil/spieler/265471,GB1,Swansea City,7000000.0,7000000.0
296978,Liam,Cullen,Liam Cullen,2025,2288,liam-cullen,Wales,Tenby,Wales,1999-04-23 00:00:00,Attacking Midfield,Midfield,left,178.0,2028-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/296978-1679675846.jpg?lm=1,14.0,2.0,3864.0,https://www.transfermarkt.co.uk/liam-cullen/profil/spieler/296978,GB1,Swansea City,,
298231,Courtney,Baker-Richardson,Courtney Baker-Richardson,2017,2288,courtney-baker-richardson,England,Coventry,England,1995-12-05 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/298231-1543411139.jpg?lm=1,,,,https://www.transfermarkt.co.uk/courtney-baker-richardson/profil/spieler/298231,GB1,Swansea City,250000.0,350000.0
433991,Ethan,Galbraith,Ethan Galbraith,2025,2288,ethan-galbraith,Northern Ireland,Glengormley,Northern Ireland,2001-05-11 00:00:00,Central Midfield,Midfield,right,175.0,2028-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/433991-1629189986.jpg?lm=1,12.0,0.0,5674.0,https://www.transfermarkt.co.uk/ethan-galbraith/profil/spieler/433991,GB1,Swansea City,600000.0,1000000.0
434223,Adam,Idah,Adam Idah,2025,2288,adam-idah,Ireland,Cork,Ireland,2001-02-11 00:00:00,Centre-Forward,Attack,right,190.0,2030-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/434223-1706829362.jpg?lm=1,37.0,6.0,3509.0,https://www.transfermarkt.co.uk/adam-idah/profil/spieler/434223,GB1,Swansea City,7000000.0,7000000.0
496659,Ben,Cabango,Ben Cabango,2025,2288,ben-cabango,Wales,Cardiff,Wales,2000-05-30 00:00:00,Centre-Back,Defender,right,186.0,2028-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/496659-1668519719.jpg?lm=1,15.0,0.0,3864.0,https://www.transfermarkt.co.uk/ben-cabango/profil/spieler/496659,GB1,Swansea City,,
506942,Žan,Vipotnik,Žan Vipotnik,2025,2288,zan-vipotnik,Slovenia,Celje,Slovenia,2002-03-18 00:00:00,Centre-Forward,Attack,both,185.0,2028-06-30 00:00:00,BOLA CONSULTING,https://img.a.transfermarkt.technology/portrait/header/506942-1716317342.jpg?lm=1,22.0,3.0,3588.0,https://www.transfermarkt.co.uk/zan-vipotnik/profil/spieler/506942,GB1,Swansea City,,
579295,Melker,Widell,Melker Widell,2025,2288,melker-widell,Sweden,Billeberga,Sweden,2002-04-19 00:00:00,Central Midfield,Midfield,right,181.0,2029-06-30 00:00:00,FPA,https://img.a.transfermarkt.technology/portrait/header/579295-1704806053.jpg?lm=1,1.0,0.0,3557.0,https://www.transfermarkt.co.uk/melker-widell/profil/spieler/579295,GB1,Swansea City,1500000.0,1500000.0
617018,Marko,Stamenić,Marko Stamenić,2025,2288,marko-stamenic,New Zealand,Wellington,New Zealand,2002-02-19 00:00:00,Central Midfield,Midfield,right,188.0,2029-06-30 00:00:00,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/617018-1728417778.png?lm=1,35.0,3.0,9171.0,https://www.transfermarkt.co.uk/marko-stamenic/profil/spieler/617018,GB1,Swansea City,3000000.0,5000000.0
674054,Leo,Walta,Leo Walta,2025,2288,leo-walta,Finland,Vantaa,Finland,2003-06-24 00:00:00,Attacking Midfield,Midfield,right,170.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/674054-1743175488.jpg?lm=1,10.0,1.0,3443.0,https://www.transfermarkt.co.uk/leo-walta/profil/spieler/674054,GB1,Swansea City,350000.0,600000.0
706968,Ji-sung,Eom,Ji-sung Eom,2025,2288,ji-sung-eom,"Korea, South","Gimje, Jeonbuk","Korea, South",2002-05-09 00:00:00,Left Winger,Attack,right,176.0,2028-06-30 00:00:00,LW Sports Agency,https://img.a.transfermarkt.technology/portrait/header/706968-1615445061.jpg?lm=1,6.0,2.0,3589.0,https://www.transfermarkt.co.uk/ji-sung-eom/profil/spieler/706968,GB1,Swansea City,,
