player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3151,Carlo,Cudicini,Carlo Cudicini,2012,148,carlo-cudicini,Italy,Milano,Italy,1973-09-06 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3151_148_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carlo-cudicini/profil/spieler/3151,GB1,Tottenham Hotspur Football Club,500000.0,4000000.0
3156,William,Gallas,William Gallas,2012,148,william-gallas,France,Asnières-sur-Seine,France,1977-08-17 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/3156-1598621730.jpg?lm=1,,,,https://www.transfermarkt.co.uk/william-gallas/profil/spieler/3156,GB1,Tottenham Hotspur Football Club,500000.0,19000000.0
3476,Brad,Friedel,Brad Friedel,2014,148,brad-friedel,United States,"Lakewood, Ohio",United States,1971-05-18 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/3476-1505749201.jpg?lm=1,,,,https://www.transfermarkt.co.uk/brad-friedel/profil/spieler/3476,GB1,Tottenham Hotspur Football Club,750000.0,4000000.0
19368,Mousa,Dembélé,Mousa Dembélé,2018,148,mousa-dembele,Belgium,Antwerpen,Belgium,1987-07-16 00:00:00,Central Midfield,Midfield,left,185.0,,A-GROUP,https://img.a.transfermarkt.technology/portrait/header/19368-1563265500.png?lm=1,,,,https://www.transfermarkt.co.uk/mousa-dembele/profil/spieler/19368,GB1,Tottenham Hotspur Football Club,400000.0,21000000.0
26276,Michel,Vorm,Michel Vorm,2019,148,michel-vorm,Netherlands,IJsselstein,Netherlands,1983-10-20 00:00:00,Goalkeeper,Goalkeeper,right,183.0,,Prime11,https://img.a.transfermarkt.technology/portrait/header/26276-1520416447.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michel-vorm/profil/spieler/26276,GB1,Tottenham Hotspur Football Club,800000.0,8500000.0
77760,Victor,Wanyama,Victor Wanyama,2019,148,victor-wanyama,Kenya,Nairobi,Kenya,1991-06-25 00:00:00,Defensive Midfield,Midfield,right,184.0,2024-12-31 00:00:00,CCC,https://img.a.transfermarkt.technology/portrait/header/77760-1678564856.jpg?lm=1,,,,https://www.transfermarkt.co.uk/victor-wanyama/profil/spieler/77760,GB1,Tottenham Hotspur Football Club,2500000.0,30000000.0
82215,Bongani,Khumalo,Bongani Khumalo,2014,148,bongani-khumalo,Swaziland,Manzini,South Africa,1987-01-06 00:00:00,Centre-Back,Defender,right,189.0,,FOOTBOOK,https://img.a.transfermarkt.technology/portrait/header/82215-1617212285.png?lm=1,,,,https://www.transfermarkt.co.uk/bongani-khumalo/profil/spieler/82215,GB1,Tottenham Hotspur Football Club,300000.0,1000000.0
103487,Dean,Parrett,Dean Parrett,2012,148,dean-parrett,England,London,England,1991-11-16 00:00:00,Central Midfield,Midfield,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dean-parrett/profil/spieler/103487,GB1,Tottenham Hotspur Football Club,50000.0,200000.0
124845,Grant,Hall,Grant Hall,2014,148,grant-hall,England,Brighton,England,1991-10-29 00:00:00,Centre-Back,Defender,right,192.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/124845-1407314899.jpg?lm=1,,,,https://www.transfermarkt.co.uk/grant-hall/profil/spieler/124845,GB1,Tottenham Hotspur Football Club,500000.0,1500000.0
183168,Kenny,McEvoy,Kenny McEvoy,2013,148,kenny-mcevoy,Ireland,Waterford,Ireland,1994-09-04 00:00:00,Right Winger,Attack,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/s_183168_9254_2013_08_05_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kenny-mcevoy/profil/spieler/183168,GB1,Tottenham Hotspur Football Club,,
183301,Luke,McGee,Luke McGee,2016,148,luke-mcgee,England,Edgware,England,1995-09-02 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2023-05-31 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/183301-1471936818.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luke-mcgee/profil/spieler/183301,GB1,Tottenham Hotspur Football Club,200000.0,200000.0
192765,Ben,Davies,Ben Davies,2025,148,ben-davies,Wales,Neath,Wales,1993-04-24 00:00:00,Centre-Back,Defender,left,181.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/192765-1668520095.jpg?lm=1,100.0,3.0,,https://www.transfermarkt.co.uk/ben-davies/profil/spieler/192765,GB1,Tottenham Hotspur Football Club,5000000.0,25000000.0
223027,Laste,Dombaxe,Laste Dombaxe,2013,148,laste-dombaxe,Angola,Luanda,England,1995-05-15 00:00:00,Central Midfield,Midfield,,171.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/laste-dombaxe/profil/spieler/223027,GB1,Tottenham Hotspur Football Club,,
