player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3668,Lloyd,Dyer,Lloyd Dyer,2015,1010,lloyd-dyer,England,Birmingham,England,1982-09-13 00:00:00,Left Midfield,Midfield,left,173.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lloyd-dyer/profil/spieler/3668,GB1,Watford FC,250000.0,1000000.0
9966,Almen,Abdi,Almen Abdi,2015,1010,almen-abdi,Jugoslawien (SFR),Prizren,Switzerland,1986-10-21 00:00:00,Central Midfield,Midfield,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/s_9966_1010_2013_09_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/almen-abdi/profil/spieler/9966,GB1,Watford FC,750000.0,3500000.0
13572,Ben,Foster,Ben Foster,2021,1010,ben-foster,England,Leamington Spa,England,1983-04-03 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/13572-1681399137.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ben-foster/profil/spieler/13572,GB1,Watford FC,300000.0,5500000.0
14081,Ben,Watson,Ben Watson,2017,1010,ben-watson,England,London,England,1985-07-09 00:00:00,Central Midfield,Midfield,right,178.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/14081-1541149342.JPG?lm=1,,,,https://www.transfermarkt.co.uk/ben-watson/profil/spieler/14081,GB1,Watford FC,250000.0,4000000.0
19059,Heurelho,Gomes,Heurelho Gomes,2019,1010,heurelho-gomes,Brazil,João Pinheiro,Brazil,1981-02-15 00:00:00,Goalkeeper,Goalkeeper,right,191.0,,Velop4 Sports Ltd.,https://img.a.transfermarkt.technology/portrait/header/19059-1578326011.jpg?lm=1,,,,https://www.transfermarkt.co.uk/heurelho-gomes/profil/spieler/19059,GB1,Watford FC,400000.0,10000000.0
27114,Younès,Kaboul,Younès Kaboul,2017,1010,younes-kaboul,France,Saint-Julien-en-Genevois,France,1986-01-04 00:00:00,Centre-Back,Defender,right,192.0,,On Fire,https://img.a.transfermarkt.technology/portrait/header/s_27114_148_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/younes-kaboul/profil/spieler/27114,GB1,Watford FC,1500000.0,15000000.0
35583,Daniel,Pudil,Daniel Pudil,2015,1010,daniel-pudil,CSSR,Praha,Czech Republic,1985-09-27 00:00:00,Left-Back,Defender,left,184.0,,CHOVANECSPORT,https://img.a.transfermarkt.technology/portrait/header/35583-1464947420.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-pudil/profil/spieler/35583,GB1,Watford FC,300000.0,2200000.0
37941,Camilo,Zúñiga,Camilo Zúñiga,2016,1010,camilo-zuniga,Colombia,Chigorodó,Colombia,1985-12-14 00:00:00,Right-Back,Defender,right,172.0,,Riccardo Calleri,https://img.a.transfermarkt.technology/portrait/header/37941-1418292035.jpg?lm=1,,,,https://www.transfermarkt.co.uk/camilo-zuniga/profil/spieler/37941,GB1,Watford FC,500000.0,13000000.0
38145,Adrian,Mariappa,Adrian Mariappa,2019,1010,adrian-mariappa,England,London,Jamaica,1986-10-03 00:00:00,Centre-Back,Defender,right,179.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/38145-1520606805.jpg?lm=1,,,,https://www.transfermarkt.co.uk/adrian-mariappa/profil/spieler/38145,GB1,Watford FC,100000.0,4000000.0
39037,Rob,Elliot,Rob Elliot,2021,1010,rob-elliot,England,London,Ireland,1986-04-30 00:00:00,Goalkeeper,Goalkeeper,left,190.0,,,https://img.a.transfermarkt.technology/portrait/header/39037-1518793959.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rob-elliot/profil/spieler/39037,GB1,Watford FC,200000.0,1500000.0
44983,Dan,Gosling,Dan Gosling,2021,1010,dan-gosling,England,Brixham,England,1990-02-01 00:00:00,Central Midfield,Midfield,right,180.0,2023-06-30 00:00:00,Kick & Law,https://img.a.transfermarkt.technology/portrait/header/44983-1518794379.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dan-gosling/profil/spieler/44983,GB1,Watford FC,250000.0,3500000.0
50174,Danny,Rose,Danny Rose,2021,1010,danny-rose,England,Doncaster,England,1990-07-02 00:00:00,Left-Back,Defender,left,173.0,,Gea World,https://img.a.transfermarkt.technology/portrait/header/50174-1518794758.jpg?lm=1,,,,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174,GB1,Watford FC,500000.0,30000000.0
59606,Craig,Cathcart,Craig Cathcart,2021,1010,craig-cathcart,Northern Ireland,Belfast,Northern Ireland,1989-02-06 00:00:00,Centre-Back,Defender,right,189.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/59606-1452002771.jpg?lm=1,,,,https://www.transfermarkt.co.uk/craig-cathcart/profil/spieler/59606,GB1,Watford FC,600000.0,5000000.0
65477,Troy,Deeney,Troy Deeney,2021,1010,troy-deeney,England,Birmingham,England,1988-06-29 00:00:00,Centre-Forward,Attack,right,184.0,2023-06-30 00:00:00,Pinnacle Sports,https://img.a.transfermarkt.technology/portrait/header/65477-1467382766.jpg?lm=1,,,,https://www.transfermarkt.co.uk/troy-deeney/profil/spieler/65477,GB1,Watford FC,400000.0,11000000.0
66518,Rene,Gilmartin,Rene Gilmartin,2016,1010,rene-gilmartin,Ireland,Dublin,Ireland,1987-05-31 00:00:00,Goalkeeper,Goalkeeper,,197.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rene-gilmartin/profil/spieler/66518,GB1,Watford FC,100000.0,250000.0
69001,Giedrius,Arlauskis,Giedrius Arlauskis,2016,1010,giedrius-arlauskis,UdSSR,Telšiai,Lithuania,1987-12-01 00:00:00,Goalkeeper,Goalkeeper,left,191.0,,TG World,https://img.a.transfermarkt.technology/portrait/header/69001-1676880471.png?lm=1,,,,https://www.transfermarkt.co.uk/giedrius-arlauskis/profil/spieler/69001,GB1,Watford FC,200000.0,2500000.0
69912,Joel,Ekstrand,Joel Ekstrand,2015,1010,joel-ekstrand,Sweden,Lund,Sweden,1989-02-04 00:00:00,Centre-Back,Defender,right,188.0,,MD Management,https://img.a.transfermarkt.technology/portrait/header/69912-1486027474.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joel-ekstrand/profil/spieler/69912,GB1,Watford FC,100000.0,1500000.0
73484,Tom,Cleverley,Tom Cleverley,2021,1010,tom-cleverley,England,Basingstoke,England,1989-08-12 00:00:00,Central Midfield,Midfield,right,175.0,2023-06-30 00:00:00,Pinnacle Sports,https://img.a.transfermarkt.technology/portrait/header/73484-1410950625.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tom-cleverley/profil/spieler/73484,GB1,Watford FC,400000.0,14000000.0
74943,Juraj,Kucka,Juraj Kucka,2021,1010,juraj-kucka,CSSR,Bojnice,Slovakia,1987-02-26 00:00:00,Central Midfield,Midfield,right,186.0,2024-06-30 00:00:00,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/74943-1534677079.png?lm=1,,,,https://www.transfermarkt.co.uk/juraj-kucka/profil/spieler/74943,GB1,Watford FC,1200000.0,9000000.0
76799,Miguel,Britos,Miguel Britos,2018,1010,miguel-britos,Uruguay,Maldonado,Uruguay,1985-07-17 00:00:00,Centre-Back,Defender,left,189.0,,Focus Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/76799-1408609079.jpg?lm=1,,,,https://www.transfermarkt.co.uk/miguel-britos/profil/spieler/76799,GB1,Watford FC,2000000.0,7000000.0
107427,Ikechi,Anya,Ikechi Anya,2016,1010,ikechi-anya,Scotland,Glasgow,Scotland,1988-01-03 00:00:00,Left Midfield,Midfield,both,166.0,,,https://img.a.transfermarkt.technology/portrait/header/s_107427_1010_2013_08_06_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ikechi-anya/profil/spieler/107427,GB1,Watford FC,300000.0,4000000.0
