player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3692,Jussi,Jääskeläinen,Jussi Jääskeläinen,2014,379,jussi-jaaskelainen,Finland,Mikkeli,Finland,1975-04-19 00:00:00,Goalkeeper,Goalkeeper,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3692_355_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jussi-jaaskelainen/profil/spieler/3692,GB1,West Ham United Football Club,150000.0,5750000.0
3775,George,McCartney,George McCartney,2013,379,george-mccartney,Northern Ireland,Belfast,Northern Ireland,1981-04-29 00:00:00,Left-Back,Defender,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3775_289_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/george-mccartney/profil/spieler/3775,GB1,West Ham United Football Club,1000000.0,4000000.0
3950,Kevin,Nolan,Kevin Nolan,2015,379,kevin-nolan,England,Liverpool,England,1982-06-24 00:00:00,Attacking Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/3950-1482228569.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kevin-nolan/profil/spieler/3950,GB1,West Ham United Football Club,2000000.0,8000000.0
7858,Yossi,Benayoun,Yossi Benayoun,2012,379,yossi-benayoun,Israel,Dimona,Israel,1980-05-05 00:00:00,Right Winger,Attack,right,175.0,,A.B SOCCER LTD,https://img.a.transfermarkt.technology/portrait/header/s_7858_631_2013_04_25_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yossi-benayoun/profil/spieler/7858,GB1,West Ham United Football Club,250000.0,11000000.0
9218,Matthew,Taylor,Matthew Taylor,2013,379,matthew-taylor,England,Oxford,England,1981-11-27 00:00:00,Left Midfield,Midfield,left,177.0,,,https://img.a.transfermarkt.technology/portrait/header/s_9218_355_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matthew-taylor/profil/spieler/9218,GB1,West Ham United Football Club,250000.0,6500000.0
12691,James,Collins,James Collins,2017,379,james-collins,Wales,Newport,Wales,1983-08-23 00:00:00,Centre-Back,Defender,right,188.0,,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/12691-1464942849.jpg?lm=1,,,,https://www.transfermarkt.co.uk/james-collins/profil/spieler/12691,GB1,West Ham United Football Club,600000.0,7000000.0
15930,David,Martin,David Martin,2021,379,david-martin,England,London,England,1986-01-22 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/15930-1560936786.png?lm=1,,,,https://www.transfermarkt.co.uk/david-martin/profil/spieler/15930,GB1,West Ham United Football Club,75000.0,250000.0
20007,Pablo,Zabaleta,Pablo Zabaleta,2019,379,pablo-zabaleta,Argentina,Buenos Aires,Argentina,1985-01-16 00:00:00,Right-Back,Defender,right,176.0,,Entourage Sports,https://img.a.transfermarkt.technology/portrait/header/20007-1454413148.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pablo-zabaleta/profil/spieler/20007,GB1,West Ham United Football Club,800000.0,19000000.0
25742,Nikica,Jelavic,Nikica Jelavic,2015,379,nikica-jelavic,Jugoslawien (SFR),Čapljina,Croatia,1985-08-27 00:00:00,Centre-Forward,Attack,both,188.0,,Pharos Sport Agency,https://img.a.transfermarkt.technology/portrait/header/s_25742_29_2013_01_24_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikica-jelavic/profil/spieler/25742,GB1,West Ham United Football Club,50000.0,9000000.0
28260,Álvaro,Arbeloa,Álvaro Arbeloa,2016,379,alvaro-arbeloa,Spain,Salamanca,Spain,1983-01-17 00:00:00,Right-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/28260-1413206598.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alvaro-arbeloa/profil/spieler/28260,GB1,West Ham United Football Club,1500000.0,12000000.0
