player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3791,Gary,Caldwell,Gary Caldwell,2012,1071,gary-caldwell,Scotland,Stirling,Scotland,1982-04-12 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3791_1071_2013_02_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gary-caldwell/profil/spieler/3791,GB1,Wigan Athletic,500000.0,5250000.0
18871,Jean,Beausejour,Jean Beausejour,2012,1071,jean-beausejour,Chile,Santiago de Chile,Chile,1984-06-01 00:00:00,Left-Back,Defender,left,178.0,,UNOSPORTS ,https://img.a.transfermarkt.technology/portrait/header/18871-1497615523.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jean-beausejour/profil/spieler/18871,GB1,Wigan Athletic,250000.0,6000000.0
19641,Emmerson,Boyce,Emmerson Boyce,2012,1071,emmerson-boyce,England,Aylesbury,Barbados,1979-09-24 00:00:00,Right-Back,Defender,right,180.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/s_19641_1071_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emmerson-boyce/profil/spieler/19641,GB1,Wigan Athletic,200000.0,3500000.0
26633,Ali,Al-Habsi,Ali Al-Habsi,2012,1071,ali-al-habsi,Oman,Muscat,Oman,1981-12-30 00:00:00,Goalkeeper,Goalkeeper,right,194.0,,,https://img.a.transfermarkt.technology/portrait/header/26633-1483632684.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ali-al-habsi/profil/spieler/26633,GB1,Wigan Athletic,250000.0,5000000.0
32217,Mike,Pollitt,Mike Pollitt,2012,1071,mike-pollitt,England,Farnworth,England,1972-02-29 00:00:00,Goalkeeper,Goalkeeper,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/s_32217_1071_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mike-pollitt/profil/spieler/32217,GB1,Wigan Athletic,250000.0,650000.0
51536,Albert,Crusat,Albert Crusat,2012,1071,albert-crusat,Spain,Barcelona,Spain,1982-05-13 00:00:00,Left Winger,Attack,left,160.0,,,https://img.a.transfermarkt.technology/portrait/header/s_51536_1071_2013_02_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/albert-crusat/profil/spieler/51536,GB1,Wigan Athletic,750000.0,6000000.0
71096,Róger,Espinoza,Róger Espinoza,2012,1071,roger-espinoza,Honduras,Puerto Cortés,Honduras,1986-10-25 00:00:00,Central Midfield,Midfield,left,178.0,2023-12-31 00:00:00,PROSPORT Management,https://img.a.transfermarkt.technology/portrait/header/71096-1678213427.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roger-espinoza/profil/spieler/71096,GB1,Wigan Athletic,150000.0,1500000.0
90273,Román,Golobart,Román Golobart,2012,1071,roman-golobart,Spain,Barcelona,Spain,1992-03-21 00:00:00,Centre-Back,Defender,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/90273-1406672282.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roman-golobart/profil/spieler/90273,GB1,Wigan Athletic,100000.0,400000.0
104962,Filip,Orsula,Filip Orsula,2012,1071,filip-orsula,Slovakia,Sebedražie,Slovakia,1993-02-25 00:00:00,Right-Back,Defender,right,183.0,,CSM Agency,https://img.a.transfermarkt.technology/portrait/header/104962-1520622246.png?lm=1,,,,https://www.transfermarkt.co.uk/filip-orsula/profil/spieler/104962,GB1,Wigan Athletic,100000.0,300000.0
107350,Fraser,Fyvie,Fraser Fyvie,2012,1071,fraser-fyvie,Scotland,Aberdeen,Scotland,1993-03-27 00:00:00,Central Midfield,Midfield,right,172.0,2024-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_107350_972_2013_10_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fraser-fyvie/profil/spieler/107350,GB1,Wigan Athletic,200000.0,1000000.0
126249,Adam,Buxton,Adam Buxton,2012,1071,adam-buxton,England,Liverpool,England,1992-05-12 00:00:00,Right-Back,Defender,right,185.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_126249_3688_2014_04_09_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/adam-buxton/profil/spieler/126249,GB1,Wigan Athletic,50000.0,50000.0
126258,Lee,Nicholls,Lee Nicholls,2012,1071,lee-nicholls,England,Liverpool,England,1992-10-05 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2026-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/126258-1656928435.png?lm=1,,,,https://www.transfermarkt.co.uk/lee-nicholls/profil/spieler/126258,GB1,Wigan Athletic,900000.0,900000.0
