player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
12888,Vlasis,Kazakis,Vlasis Kazakis,2013,28956,vlasis-kazakis,Greece,Komotini,Greece,1983-06-17 00:00:00,Centre-Forward,Attack,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vlasis-kazakis/profil/spieler/12888,GR1,AEL Kalloni,200000.0,550000.0
13849,Anestis,Agritis,Anestis Agritis,2014,28956,anestis-agritis,Greece,Mytilini,Greece,1981-04-16 00:00:00,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anestis-agritis/profil/spieler/13849,GR1,AEL Kalloni,150000.0,2000000.0
15803,Jonan,García,Jonan García,2013,28956,jonan-garcia,Spain,Bilbao,Spain,1983-01-08 00:00:00,Attacking Midfield,Midfield,right,171.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jonan-garcia/profil/spieler/15803,GR1,AEL Kalloni,150000.0,850000.0
18397,Salim,Arrache,Salim Arrache,2014,28956,salim-arrache,France,Marseille,Algeria,1982-07-14 00:00:00,Left Winger,Attack,left,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/salim-arrache/profil/spieler/18397,GR1,AEL Kalloni,250000.0,2000000.0
22568,,Juanlu,Juanlu,2013,28956,juanlu,Spain,Málaga,Spain,1980-05-18 00:00:00,Left Midfield,Midfield,left,172.0,,Monte Areo Sports,https://img.a.transfermarkt.technology/portrait/header/s_22568_3368_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/juanlu/profil/spieler/22568,GR1,AEL Kalloni,300000.0,2500000.0
27488,Braulio,Nóbrega,Braulio Nóbrega,2015,28956,braulio-nobrega,Spain,Puerto del Rosario,Spain,1985-09-18 00:00:00,Centre-Forward,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/braulio-nobrega/profil/spieler/27488,GR1,AEL Kalloni,100000.0,1600000.0
27592,Lefteris,Mappas,Lefteris Mappas,2013,28956,lefteris-mappas,Greece,Mytilini,Greece,1982-07-29 00:00:00,Goalkeeper,Goalkeeper,left,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lefteris-mappas/profil/spieler/27592,GR1,AEL Kalloni,150000.0,150000.0
32591,Krzysztof,Krol,Krzysztof Krol,2015,28956,krzysztof-krol,Poland,Wodzisław Śląski,Poland,1987-02-06 00:00:00,Left-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_32591_6112_2013_09_10_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/krzysztof-krol/profil/spieler/32591,GR1,AEL Kalloni,200000.0,325000.0
33222,Ugo,Ukah,Ugo Ukah,2015,28956,ugo-ukah,Italy,Parma,Nigeria,1984-01-18 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_33222_2300_2013_09_10_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ugo-ukah/profil/spieler/33222,GR1,AEL Kalloni,200000.0,600000.0
34200,Christos,Pipinis,Christos Pipinis,2015,28956,christos-pipinis,Greece,Athen,Greece,1984-11-01 00:00:00,Left-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christos-pipinis/profil/spieler/34200,GR1,AEL Kalloni,150000.0,500000.0
34325,Giannis,Siderakis,Giannis Siderakis,2013,28956,giannis-siderakis,Greece,Athens,Greece,1987-11-16 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giannis-siderakis/profil/spieler/34325,GR1,AEL Kalloni,250000.0,700000.0
35328,Georgios,Chorianopoulos,Georgios Chorianopoulos,2014,28956,georgios-chorianopoulos,Greece,Naxos,Greece,1979-01-15 00:00:00,Right-Back,Defender,both,179.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georgios-chorianopoulos/profil/spieler/35328,GR1,AEL Kalloni,100000.0,350000.0
41788,Ljubomir,Stevanovic,Ljubomir Stevanovic,2014,28956,ljubomir-stevanovic,Jugoslawien (SFR),Zrenjanin,Serbia,1986-08-08 00:00:00,Central Midfield,Midfield,left,172.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ljubomir-stevanovic/profil/spieler/41788,GR1,AEL Kalloni,10000.0,400000.0
41990,Gabriel,Zakuani,Gabriel Zakuani,2013,28956,gabriel-zakuani,Zaire,Kinshasa,DR Congo,1986-05-31 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/s_41990_1072_2013_09_23_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gabriel-zakuani/profil/spieler/41990,GR1,AEL Kalloni,300000.0,1500000.0
42940,Kyriakos,Stratilatis,Kyriakos Stratilatis,2015,28956,kyriakos-stratilatis,Greece,Kavala,Greece,1988-01-05 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kyriakos-stratilatis/profil/spieler/42940,GR1,AEL Kalloni,150000.0,600000.0
45985,Stratos,Valios,Stratos Valios,2015,28956,stratos-valios,Greece,Mytilini,Greece,1989-01-09 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stratos-valios/profil/spieler/45985,GR1,AEL Kalloni,250000.0,350000.0
46955,Nikola,Mikic,Nikola Mikic,2015,28956,nikola-mikic,Jugoslawien (SFR),Kraljevo,Serbia,1985-09-13 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/46955-1489330692.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/nikola-mikic/profil/spieler/46955,GR1,AEL Kalloni,50000.0,1000000.0
47431,Michalis,Kripintiris,Michalis Kripintiris,2014,28956,michalis-kripintiris,Greece,Mytilini,Greece,1981-03-08 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michalis-kripintiris/profil/spieler/47431,GR1,AEL Kalloni,100000.0,400000.0
