player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
7821,David,Aganzo,David Aganzo,2013,605,david-aganzo,Spain,Madrid,Spain,1981-01-10 00:00:00,Centre-Forward,Attack,both,177.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-aganzo/profil/spieler/7821,GR1,Aris Thessalonikis,200000.0,2000000.0
15568,Bruno,Gama,Bruno Gama,2021,605,bruno-gama,Portugal,Vila Verde,Portugal,1987-11-15 00:00:00,Left Winger,Attack,right,175.0,2023-05-31 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/s_15568_897_2012_3.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bruno-gama/profil/spieler/15568,GR1,Aris Thessalonikis,200000.0,4000000.0
16186,Georgios,Kantimiris,Georgios Kantimiris,2018,605,georgios-kantimiris,Greece,Rhodos,Greece,1982-09-19 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,ES SPORT,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georgios-kantimiris/profil/spieler/16186,GR1,Aris Thessalonikis,100000.0,400000.0
17225,Konstantinos,Kapetanos,Konstantinos Kapetanos,2012,605,konstantinos-kapetanos,Greece,Ptolemaida,Greece,1984-10-27 00:00:00,Left Midfield,Midfield,left,176.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/konstantinos-kapetanos/profil/spieler/17225,GR1,Aris Thessalonikis,200000.0,750000.0
22972,Rubén,Pulido,Rubén Pulido,2013,605,ruben-pulido,Spain,Madrid,Spain,1979-02-02 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ruben-pulido/profil/spieler/22972,GR1,Aris Thessalonikis,200000.0,3000000.0
26200,Kristi,Vangjeli,Kristi Vangjeli,2013,605,kristi-vangjeli,Albania,Korçë,Albania,1985-09-05 00:00:00,Centre-Back,Defender,both,177.0,,,https://img.a.transfermarkt.technology/portrait/header/26200-1577735510.JPG?lm=1,,,,https://www.transfermarkt.co.uk/kristi-vangjeli/profil/spieler/26200,GR1,Aris Thessalonikis,25000.0,1000000.0
27292,Daniel,Larsson,Daniel Larsson,2019,605,daniel-larsson,Sweden,Göteborg,Sweden,1987-01-25 00:00:00,Centre-Forward,Attack,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_27292_366_2013_10_17_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-larsson/profil/spieler/27292,GR1,Aris Thessalonikis,175000.0,2500000.0
33042,Migjen,Basha,Migjen Basha,2019,605,migjen-basha,Switzerland,Lausanne,Albania,1987-01-05 00:00:00,Defensive Midfield,Midfield,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/33042-1516967026.png?lm=1,,,,https://www.transfermarkt.co.uk/migjen-basha/profil/spieler/33042,GR1,Aris Thessalonikis,100000.0,1500000.0
33481,,Gervinho,Gervinho,2022,605,gervinho,Cote d'Ivoire,Anyama,Cote d'Ivoire,1987-05-27 00:00:00,Left Winger,Attack,right,179.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/33481-1630525113.png?lm=1,,,,https://www.transfermarkt.co.uk/gervinho/profil/spieler/33481,GR1,Aris Thessalonikis,300000.0,18500000.0
34281,Rok,Elsner,Rok Elsner,2013,605,rok-elsner,Jugoslawien (SFR),Ljubljana,Slovenia,1986-01-25 00:00:00,Defensive Midfield,Midfield,right,186.0,,UGSA,https://img.a.transfermarkt.technology/portrait/header/s_34281_759_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rok-elsner/profil/spieler/34281,GR1,Aris Thessalonikis,100000.0,1000000.0
34283,Lazaros,Christodoulopoulos,Lazaros Christodoulopoulos,2023,605,lazaros-christodoulopoulos,Greece,Thessaloniki,Greece,1986-12-19 00:00:00,Attacking Midfield,Midfield,right,183.0,,SPORTS CONNECTION,https://img.a.transfermarkt.technology/portrait/header/34283-1448965371.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lazaros-christodoulopoulos/profil/spieler/34283,GR1,Aris Thessalonikis,150000.0,3500000.0
34944,Konstantinos,Mitroglou,Konstantinos Mitroglou,2021,605,konstantinos-mitroglou,Greece,Kavala,Greece,1988-03-12 00:00:00,Centre-Forward,Attack,both,188.0,,SPORTS ACTION,https://img.a.transfermarkt.technology/portrait/header/34944-1554904582.jpg?lm=1,,,,https://www.transfermarkt.co.uk/konstantinos-mitroglou/profil/spieler/34944,GR1,Aris Thessalonikis,200000.0,12000000.0
38267,Mergim,Mavraj,Mergim Mavraj,2018,605,mergim-mavraj,Germany,Hanau,Albania,1986-06-09 00:00:00,Centre-Back,Defender,left,189.0,,,https://img.a.transfermarkt.technology/portrait/header/38267-1627323195.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mergim-mavraj/profil/spieler/38267,GR1,Aris Thessalonikis,125000.0,2500000.0
47426,Petros,Kaminiotis,Petros Kaminiotis,2013,605,petros-kaminiotis,Greece,Karditsa,Greece,1989-05-13 00:00:00,Central Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/47426-1489007830.png?lm=1,,,,https://www.transfermarkt.co.uk/petros-kaminiotis/profil/spieler/47426,GR1,Aris Thessalonikis,125000.0,300000.0
50477,Yohan,Benalouane,Yohan Benalouane,2021,605,yohan-benalouane,France,Bagnols-sur-Cèze,Tunisia,1987-03-28 00:00:00,Centre-Back,Defender,right,185.0,2023-06-30 00:00:00,Playeleven,https://img.a.transfermarkt.technology/portrait/header/50477-1665739954.png?lm=1,,,,https://www.transfermarkt.co.uk/yohan-benalouane/profil/spieler/50477,GR1,Aris Thessalonikis,125000.0,3500000.0
63422,David,Moberg Karlsson,David Moberg Karlsson,2023,605,david-moberg-karlsson,Sweden,Mariestad,Sweden,1994-03-20 00:00:00,Right Winger,Attack,left,179.0,2026-12-31 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/63422-1724965649.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-moberg-karlsson/profil/spieler/63422,GR1,Aris Thessalonikis,750000.0,2200000.0
68645,Martín,Montoya,Martín Montoya,2024,605,martin-montoya,Spain,Gavà,Spain,1991-04-14 00:00:00,Right-Back,Defender,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/68645-1691487947.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/martin-montoya/profil/spieler/68645,GR1,Aris Thessalonikis,350000.0,15000000.0
