player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
4241,Joleon,Lescott,Joleon Lescott,2016,2441,joleon-lescott,England,Birmingham,England,1982-08-16 00:00:00,Centre-Back,Defender,left,191.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/s_4241_281_2013_10_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joleon-lescott/profil/spieler/4241,GR1,Athlitiki Enosi Konstantinoupoleos,1000000.0,17000000.0
9824,Hugo,Almeida,Hugo Almeida,2017,2441,hugo-almeida,Portugal,Figueira da Foz,Portugal,1984-05-23 00:00:00,Centre-Forward,Attack,left,191.0,,,https://img.a.transfermarkt.technology/portrait/header/9824-1407752279.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hugo-almeida/profil/spieler/9824,GR1,Athlitiki Enosi Konstantinoupoleos,50000.0,8500000.0
15798,César,Arzo,César Arzo,2015,2441,cesar-arzo,Spain,Vila-real,Spain,1986-01-21 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/15798-1619076156.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cesar-arzo/profil/spieler/15798,GR1,Athlitiki Enosi Konstantinoupoleos,200000.0,4600000.0
20903,Rafik,Djebbour,Rafik Djebbour,2015,2441,rafik-djebbour,France,Grenoble,Algeria,1984-03-08 00:00:00,Centre-Forward,Attack,both,185.0,,Elite Soccer Sarl,https://img.a.transfermarkt.technology/portrait/header/s_20903_3614_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rafik-djebbour/profil/spieler/20903,GR1,Athlitiki Enosi Konstantinoupoleos,250000.0,6000000.0
26574,Masoud,Shojaei,Masoud Shojaei,2017,2441,masoud-shojaei,Iran,"Shiraz, Fars",Iran,1984-06-09 00:00:00,Attacking Midfield,Midfield,right,187.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/26574-1405082816.jpg?lm=1,,,,https://www.transfermarkt.co.uk/masoud-shojaei/profil/spieler/26574,GR1,Athlitiki Enosi Konstantinoupoleos,100000.0,4000000.0
34291,Fotis,Karagiolidis,Fotis Karagiolidis,2015,2441,fotis-karagiolidis,Greece,Ptolemaida,Greece,1987-08-28 00:00:00,Goalkeeper,Goalkeeper,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fotis-karagiolidis/profil/spieler/34291,GR1,Athlitiki Enosi Konstantinoupoleos,75000.0,150000.0
36423,Roger,Guerreiro,Roger Guerreiro,2012,2441,roger-guerreiro,Brazil,São Paulo,Poland,1982-05-25 00:00:00,Attacking Midfield,Midfield,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/36423-1623853091.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roger-guerreiro/profil/spieler/36423,GR1,Athlitiki Enosi Konstantinoupoleos,400000.0,4000000.0
37795,Astrit,Ajdarevic,Astrit Ajdarevic,2018,2441,astrit-ajdarevic,Jugoslawien (SFR),Prishtina,Albania,1990-04-17 00:00:00,Central Midfield,Midfield,left,192.0,,,https://img.a.transfermarkt.technology/portrait/header/37795-1479731314.jpg?lm=1,,,,https://www.transfermarkt.co.uk/astrit-ajdarevic/profil/spieler/37795,GR1,Athlitiki Enosi Konstantinoupoleos,125000.0,1000000.0
37875,Antonis,Rikka,Antonis Rikka,2012,2441,antonis-rikka,France,Marseille,Greece,1986-03-03 00:00:00,Defensive Midfield,Midfield,both,178.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/antonis-rikka/profil/spieler/37875,GR1,Athlitiki Enosi Konstantinoupoleos,150000.0,1500000.0
39089,,Furtado,Furtado,2012,2441,furtado,Cape Verde,Praia,Portugal,1983-03-14 00:00:00,Centre-Forward,Attack,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/39089-1655554405.png?lm=1,,,,https://www.transfermarkt.co.uk/furtado/profil/spieler/39089,GR1,Athlitiki Enosi Konstantinoupoleos,100000.0,500000.0
45646,Diego,Buonanotte,Diego Buonanotte,2015,2441,diego-buonanotte,Argentina,Teodelina,Argentina,1988-04-19 00:00:00,Attacking Midfield,Midfield,left,161.0,2023-12-31 00:00:00,Eleven Talent Group,https://img.a.transfermarkt.technology/portrait/header/s_45646_1084_2012_10_25_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/diego-buonanotte/profil/spieler/45646,GR1,Athlitiki Enosi Konstantinoupoleos,200000.0,6500000.0
46083,Domagoj,Vida,Domagoj Vida,2025,2441,domagoj-vida,Jugoslawien (SFR),Nasice,Croatia,1989-04-29 00:00:00,Centre-Back,Defender,right,184.0,2026-06-30 00:00:00,GPA Turkey,https://img.a.transfermarkt.technology/portrait/header/46083-1754428878.png?lm=1,105.0,4.0,,https://www.transfermarkt.co.uk/domagoj-vida/profil/spieler/46083,GR1,Athlitiki Enosi Konstantinoupoleos,600000.0,12000000.0
46260,Ilias,Vouras,Ilias Vouras,2016,2441,ilias-vouras,Greece,Thessaloniki,Greece,1988-02-20 00:00:00,Goalkeeper,Goalkeeper,right,186.0,,Carlos Urrutia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ilias-vouras/profil/spieler/46260,GR1,Athlitiki Enosi Konstantinoupoleos,250000.0,250000.0
55619,Nordin,Amrabat,Nordin Amrabat,2024,2441,nordin-amrabat,Netherlands,Naarden,Morocco,1987-03-31 00:00:00,Right Winger,Attack,right,178.0,,11MANGMT,https://img.a.transfermarkt.technology/portrait/header/55619-1728416194.png?lm=1,64.0,7.0,,https://www.transfermarkt.co.uk/nordin-amrabat/profil/spieler/55619,GR1,Athlitiki Enosi Konstantinoupoleos,125000.0,6000000.0
56790,Nenad,Krsticic,Nenad Krsticic,2020,2441,nenad-krsticic,Jugoslawien (SFR),Belgrad,Serbia,1990-07-03 00:00:00,Central Midfield,Midfield,left,182.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/56790-1663922765.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nenad-krsticic/profil/spieler/56790,GR1,Athlitiki Enosi Konstantinoupoleos,100000.0,3300000.0
57021,Michalis,Pavlis,Michalis Pavlis,2012,2441,michalis-pavlis,Greece,Mytilini,Greece,1989-09-22 00:00:00,Centre-Forward,Attack,both,171.0,,MAGOS MANAGEMENT,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michalis-pavlis/profil/spieler/57021,GR1,Athlitiki Enosi Konstantinoupoleos,300000.0,1000000.0
58778,Miguel Ángel,Cordero,Miguel Ángel Cordero,2015,2441,miguel-angel-cordero,Spain,Lebrija,Spain,1987-09-10 00:00:00,Central Midfield,Midfield,right,178.0,2023-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/58778-1666730747.jpg?lm=1,,,,https://www.transfermarkt.co.uk/miguel-angel-cordero/profil/spieler/58778,GR1,Athlitiki Enosi Konstantinoupoleos,100000.0,1000000.0
65321,Yago,Fernández,Yago Fernández,2012,2441,yago-fernandez,Portugal,Lisboa,Portugal,1988-01-05 00:00:00,Centre-Back,Defender,right,194.0,,,https://img.a.transfermarkt.technology/portrait/header/65321-1508838381.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yago-fernandez/profil/spieler/65321,GR1,Athlitiki Enosi Konstantinoupoleos,50000.0,650000.0
65986,Juan,Díaz,Juan Díaz,2016,2441,juan-diaz,Uruguay,Montevideo,Uruguay,1987-10-28 00:00:00,Left-Back,Defender,left,181.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/juan-diaz/profil/spieler/65986,GR1,Athlitiki Enosi Konstantinoupoleos,400000.0,2000000.0
67542,Erik,Morán,Erik Morán,2018,2441,erik-moran,Spain,Portugalete,Spain,1991-05-25 00:00:00,Defensive Midfield,Midfield,right,187.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/67542-1447152011.jpg?lm=1,,,,https://www.transfermarkt.co.uk/erik-moran/profil/spieler/67542,GR1,Athlitiki Enosi Konstantinoupoleos,400000.0,1000000.0
68405,Xenofon,Fetsis,Xenofon Fetsis,2012,2441,xenofon-fetsis,Greece,Athens,Greece,1991-05-05 00:00:00,Defensive Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_68405_2441_2013_04_02_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/xenofon-fetsis/profil/spieler/68405,GR1,Athlitiki Enosi Konstantinoupoleos,350000.0,350000.0
77547,Ehsan,Hajsafi,Ehsan Hajsafi,2024,2441,ehsan-hajsafi,Iran,"Kashan, Isfahan",Iran,1990-02-25 00:00:00,Left-Back,Defender,left,178.0,2026-06-30 00:00:00,SA Sport Agency,https://img.a.transfermarkt.technology/portrait/header/77547-1728415346.png?lm=1,142.0,7.0,,https://www.transfermarkt.co.uk/ehsan-hajsafi/profil/spieler/77547,GR1,Athlitiki Enosi Konstantinoupoleos,275000.0,1500000.0
100586,Dimitrios,Anastasopoulos,Dimitrios Anastasopoulos,2012,2441,dimitrios-anastasopoulos,Greece,Athen,Greece,1990-04-11 00:00:00,Defensive Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/s_100586_109_2014_01_07_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dimitrios-anastasopoulos/profil/spieler/100586,GR1,Athlitiki Enosi Konstantinoupoleos,150000.0,350000.0
