player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
45335,Alberto,Bueno,Alberto Bueno,2021,553,alberto-bueno,Spain,Madrid,Spain,1988-03-20 00:00:00,Second Striker,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/45335-1542121266.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alberto-bueno/profil/spieler/45335,GR1,Ionikos Nikeas,150000.0,7500000.0
52397,Lefteris,Matsoukas,Lefteris Matsoukas,2021,553,lefteris-matsoukas,Greece,Athen,Greece,1990-03-07 00:00:00,Right Winger,Attack,both,176.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/52397-1552771804.JPG?lm=1,,,,https://www.transfermarkt.co.uk/lefteris-matsoukas/profil/spieler/52397,GR1,Ionikos Nikeas,75000.0,350000.0
56324,Vullnet,Basha,Vullnet Basha,2021,553,vullnet-basha,Switzerland,Lausanne,Albania,1990-07-11 00:00:00,Defensive Midfield,Midfield,right,176.0,2024-06-30 00:00:00,Emartsoccer,https://img.a.transfermarkt.technology/portrait/header/56324-1670964595.png?lm=1,,,,https://www.transfermarkt.co.uk/vullnet-basha/profil/spieler/56324,GR1,Ionikos Nikeas,50000.0,1150000.0
69609,José Alberto,Cañas,José Alberto Cañas,2022,553,jose-alberto-canas,Spain,Rota,Spain,1987-05-27 00:00:00,Central Midfield,Midfield,right,178.0,2023-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/69609-1447228436.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jose-alberto-canas/profil/spieler/69609,GR1,Ionikos Nikeas,100000.0,5000000.0
77248,Nejc,Vidmar,Nejc Vidmar,2021,553,nejc-vidmar,Jugoslawien (SFR),Ljubljana,Slovenia,1989-03-31 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2023-06-30 00:00:00,GrupoKontinental,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nejc-vidmar/profil/spieler/77248,GR1,Ionikos Nikeas,50000.0,600000.0
83253,Reagy,Ofosu,Reagy Ofosu,2022,553,reagy-ofosu,Germany,Hamburg,Germany,1991-09-20 00:00:00,Left Winger,Attack,both,175.0,,DS-Management,https://img.a.transfermarkt.technology/portrait/header/83253-1613765350.jpg?lm=1,,,,https://www.transfermarkt.co.uk/reagy-ofosu/profil/spieler/83253,GR1,Ionikos Nikeas,150000.0,700000.0
96464,Vangelis,Platellas,Vangelis Platellas,2021,553,vangelis-platellas,Greece,Athens,Greece,1988-12-01 00:00:00,Right Winger,Attack,left,165.0,2023-06-30 00:00:00,Oberta,https://img.a.transfermarkt.technology/portrait/header/96464-1585132513.png?lm=1,,,,https://www.transfermarkt.co.uk/vangelis-platellas/profil/spieler/96464,GR1,Ionikos Nikeas,150000.0,900000.0
126413,Jerson,Cabral,Jerson Cabral,2022,553,jerson-cabral,Netherlands,Rotterdam,Cape Verde,1991-01-03 00:00:00,Left Winger,Attack,left,177.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/126413-1658512332.png?lm=1,,,,https://www.transfermarkt.co.uk/jerson-cabral/profil/spieler/126413,GR1,Ionikos Nikeas,200000.0,1500000.0
129212,Georgios,Valerianos,Georgios Valerianos,2022,553,georgios-valerianos,,Piraeus,,1992-02-13 00:00:00,Left-Back,Defender,left,180.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_129212_683_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georgios-valerianos/profil/spieler/129212,GR1,Ionikos Nikeas,300000.0,500000.0
136642,Spyros,Fourlanos,Spyros Fourlanos,2021,553,spyros-fourlanos,Greece,Athens,Greece,1993-11-19 00:00:00,Defensive Midfield,Midfield,left,185.0,2023-06-30 00:00:00,OIS,https://img.a.transfermarkt.technology/portrait/header/136642-1682831028.JPG?lm=1,,,,https://www.transfermarkt.co.uk/spyros-fourlanos/profil/spieler/136642,GR1,Ionikos Nikeas,200000.0,300000.0
152176,,Sebá,Sebá,2022,553,seba,Brazil,Salvador,Brazil,1992-06-08 00:00:00,Left Winger,Attack,left,182.0,,TFM Agency,https://img.a.transfermarkt.technology/portrait/header/152176-1493733604.jpg?lm=1,,,,https://www.transfermarkt.co.uk/seba/profil/spieler/152176,GR1,Ionikos Nikeas,450000.0,4500000.0
182685,Nikolaos,Ioannidis,Nikolaos Ioannidis,2022,553,nikolaos-ioannidis,Germany,Remscheid,Greece,1994-04-26 00:00:00,Centre-Forward,Attack,right,188.0,2024-06-30 00:00:00,Kakuzo Agency,https://img.a.transfermarkt.technology/portrait/header/182685-1507065110.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikolaos-ioannidis/profil/spieler/182685,GR1,Ionikos Nikeas,300000.0,600000.0
