player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
9856,Nikolaos,Pourtoulidis,Nikolaos Pourtoulidis,2015,47,nikolaos-pourtoulidis,Greece,Kavala,Greece,1983-10-07 00:00:00,Central Midfield,Midfield,right,168.0,,ES SPORT,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikolaos-pourtoulidis/profil/spieler/9856,GR1,Iraklis Thessaloniki,100000.0,450000.0
16600,Georgios,Makris,Georgios Makris,2015,47,georgios-makris,Greece,Kavala,Greece,1984-11-15 00:00:00,Defensive Midfield,Midfield,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/16600-1469110878.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georgios-makris/profil/spieler/16600,GR1,Iraklis Thessaloniki,75000.0,800000.0
18350,Dusan,Pernis,Dusan Pernis,2016,47,dusan-pernis,CSSR,Nitra,Slovakia,1984-11-28 00:00:00,Goalkeeper,Goalkeeper,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/18350-1613148152.png?lm=1,,,,https://www.transfermarkt.co.uk/dusan-pernis/profil/spieler/18350,GR1,Iraklis Thessaloniki,10000.0,500000.0
33563,,Carlitos,Carlitos,2015,47,carlitos,Portugal,Almada,Cape Verde,1985-04-23 00:00:00,Right-Back,Defender,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carlitos/profil/spieler/33563,GR1,Iraklis Thessaloniki,50000.0,400000.0
44714,Costin,Lazar,Costin Lazar,2015,47,costin-lazar,Romania,Bukarest,Romania,1981-04-24 00:00:00,Central Midfield,Midfield,right,179.0,,Ioan Becali,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/costin-lazar/profil/spieler/44714,GR1,Iraklis Thessaloniki,50000.0,2750000.0
69382,Diego,Romano,Diego Romano,2015,47,diego-romano,Argentina,Rosario,Argentina,1980-03-11 00:00:00,Attacking Midfield,Midfield,right,165.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/diego-romano/profil/spieler/69382,GR1,Iraklis Thessaloniki,150000.0,1000000.0
85554,Jorge,Monteiro,Jorge Monteiro,2016,47,jorge-monteiro,Portugal,Porto,Portugal,1988-08-15 00:00:00,Left Winger,Attack,right,171.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_85554_2423_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jorge-monteiro/profil/spieler/85554,GR1,Iraklis Thessaloniki,400000.0,600000.0
114931,Kerem,Bulut,Kerem Bulut,2015,47,kerem-bulut,Australia,Sydney,Australia,1992-02-03 00:00:00,Centre-Forward,Attack,,,,Soccerpool,https://img.a.transfermarkt.technology/portrait/header/114931-1427794859.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kerem-bulut/profil/spieler/114931,GR1,Iraklis Thessaloniki,150000.0,250000.0
130149,Giannis,Pasas,Giannis Pasas,2016,47,giannis-pasas,Greece,Agrinio,Greece,1990-10-07 00:00:00,Centre-Forward,Attack,left,184.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giannis-pasas/profil/spieler/130149,GR1,Iraklis Thessaloniki,175000.0,400000.0
136513,Vasilios,Karagounis,Vasilios Karagounis,2016,47,vasilios-karagounis,Greece,Lamia,Greece,1994-01-18 00:00:00,Defensive Midfield,Midfield,both,176.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/136513-1649405954.png?lm=1,,,,https://www.transfermarkt.co.uk/vasilios-karagounis/profil/spieler/136513,GR1,Iraklis Thessaloniki,150000.0,300000.0
157536,Angelos,Chanti,Angelos Chanti,2015,47,angelos-chanti,Greece,Pyrgos,Jordan,1989-09-07 00:00:00,Attacking Midfield,Midfield,left,186.0,2023-06-30 00:00:00,Bengal Soccer,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/angelos-chanti/profil/spieler/157536,GR1,Iraklis Thessaloniki,150000.0,500000.0
169642,Tryfon,Gioudas,Tryfon Gioudas,2016,47,tryfon-gioudas,Germany,Berlin,Greece,1993-02-18 00:00:00,Goalkeeper,Goalkeeper,left,192.0,,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/169642-1412894619.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tryfon-gioudas/profil/spieler/169642,GR1,Iraklis Thessaloniki,50000.0,50000.0
182695,Dimitrios,Vosnakidis,Dimitrios Vosnakidis,2016,47,dimitrios-vosnakidis,Greece,Komotini,Greece,1994-02-14 00:00:00,Centre-Back,Defender,left,187.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dimitrios-vosnakidis/profil/spieler/182695,GR1,Iraklis Thessaloniki,50000.0,200000.0
196003,Nikolaos,Ziabaris,Nikolaos Ziabaris,2016,47,nikolaos-ziabaris,Greece,Serres,Greece,1991-02-18 00:00:00,Centre-Back,Defender,right,194.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikolaos-ziabaris/profil/spieler/196003,GR1,Iraklis Thessaloniki,125000.0,400000.0
206430,Albert,Roussos,Albert Roussos,2016,47,albert-roussos,Greece,Rhodos,Greece,1996-02-22 00:00:00,Defensive Midfield,Midfield,right,184.0,2023-06-30 00:00:00,Footballplanet,https://img.a.transfermarkt.technology/portrait/header/206430-1413554606.png?lm=1,,,,https://www.transfermarkt.co.uk/albert-roussos/profil/spieler/206430,GR1,Iraklis Thessaloniki,175000.0,250000.0
227938,Argyris,Barettas,Argyris Barettas,2016,47,argyris-barettas,Greece,Kavala,Greece,1994-05-06 00:00:00,Left Winger,Attack,left,180.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/argyris-barettas/profil/spieler/227938,GR1,Iraklis Thessaloniki,150000.0,200000.0
231907,Dimitrios,Grontis,Dimitrios Grontis,2016,47,dimitrios-grontis,Greece,Distomo,Greece,1994-08-21 00:00:00,Attacking Midfield,Midfield,left,173.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dimitrios-grontis/profil/spieler/231907,GR1,Iraklis Thessaloniki,200000.0,300000.0
242630,Michalis,Iliadis,Michalis Iliadis,2015,47,michalis-iliadis,Greece,Drama,Greece,1996-05-29 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2023-06-30 00:00:00,SG Agency,https://img.a.transfermarkt.technology/portrait/header/242630-1476266459.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michalis-iliadis/profil/spieler/242630,GR1,Iraklis Thessaloniki,150000.0,150000.0
309784,Panagiotis,Kynigopoulos,Panagiotis Kynigopoulos,2016,47,panagiotis-kynigopoulos,,,Greece,1996-09-24 00:00:00,Right Winger,Attack,right,186.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/309784-1441294119.jpg?lm=1,,,,https://www.transfermarkt.co.uk/panagiotis-kynigopoulos/profil/spieler/309784,GR1,Iraklis Thessaloniki,400000.0,400000.0
342762,Manolis,Zambazis,Manolis Zambazis,2016,47,manolis-zambazis,Canada,"Toronto, Ontario",Canada,1997-04-24 00:00:00,Central Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/342762-1558024317.jpg?lm=1,,,,https://www.transfermarkt.co.uk/manolis-zambazis/profil/spieler/342762,GR1,Iraklis Thessaloniki,100000.0,150000.0
342913,Georgios,Bletsas,Georgios Bletsas,2016,47,georgios-bletsas,Greece,Ioannina,Greece,1995-05-02 00:00:00,Defensive Midfield,Midfield,left,184.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georgios-bletsas/profil/spieler/342913,GR1,Iraklis Thessaloniki,150000.0,200000.0
347609,Ilias,Kalfountzos,Ilias Kalfountzos,2015,47,ilias-kalfountzos,Greece,Larisa,Greece,1998-05-17 00:00:00,Left-Back,Defender,left,173.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ilias-kalfountzos/profil/spieler/347609,GR1,Iraklis Thessaloniki,50000.0,50000.0
354146,Giannis,Tsotras,Giannis Tsotras,2016,47,giannis-tsotras,Greece,Filyro,Greece,1996-04-30 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giannis-tsotras/profil/spieler/354146,GR1,Iraklis Thessaloniki,75000.0,100000.0
381356,Vasilios,Amarantidis,Vasilios Amarantidis,2016,47,vasilios-amarantidis,,,Greece,1997-04-02 00:00:00,Right Winger,Attack,right,172.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vasilios-amarantidis/profil/spieler/381356,GR1,Iraklis Thessaloniki,75000.0,75000.0
391023,Panagiotis,Avramidis,Panagiotis Avramidis,2015,47,panagiotis-avramidis,Greece,Edessa,Greece,1997-02-19 00:00:00,Centre-Back,Defender,right,184.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/panagiotis-avramidis/profil/spieler/391023,GR1,Iraklis Thessaloniki,50000.0,50000.0
460246,Nikolaos,Bikiaris,Nikolaos Bikiaris,2016,47,nikolaos-bikiaris,Greece,Thessaloniki,Greece,1996-06-19 00:00:00,Central Midfield,Midfield,,173.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikolaos-bikiaris/profil/spieler/460246,GR1,Iraklis Thessaloniki,50000.0,50000.0
