player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3534,Roy,Carroll,Roy Carroll,2013,683,roy-carroll,Northern Ireland,Enniskillen,Northern Ireland,1977-09-30 00:00:00,Goalkeeper,Goalkeeper,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/3534-1464948583.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roy-carroll/profil/spieler/3534,GR1,Olympiakos Syndesmos Filathlon Peiraios,150000.0,2700000.0
5283,Éric,Abidal,Éric Abidal,2014,683,eric-abidal,France,Lyon,France,1979-09-11 00:00:00,Left-Back,Defender,left,186.0,,JCRsport,https://img.a.transfermarkt.technology/portrait/header/5283-1528384866.jpg?lm=1,,,,https://www.transfermarkt.co.uk/eric-abidal/profil/spieler/5283,GR1,Olympiakos Syndesmos Filathlon Peiraios,1000000.0,20000000.0
7520,Esteban,Cambiasso,Esteban Cambiasso,2016,683,esteban-cambiasso,Argentina,San Fernando,Argentina,1980-08-18 00:00:00,Defensive Midfield,Midfield,left,177.0,,,https://img.a.transfermarkt.technology/portrait/header/7520-1462280899.jpg?lm=1,,,,https://www.transfermarkt.co.uk/esteban-cambiasso/profil/spieler/7520,GR1,Olympiakos Syndesmos Filathlon Peiraios,500000.0,31000000.0
12979,Avraam,Papadopoulos,Avraam Papadopoulos,2021,683,avraam-papadopoulos,Australia,Melbourne,Greece,1984-12-03 00:00:00,Centre-Back,Defender,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/12979-1411396560.jpg?lm=1,,,,https://www.transfermarkt.co.uk/avraam-papadopoulos/profil/spieler/12979,GR1,Olympiakos Syndesmos Filathlon Peiraios,200000.0,4500000.0
13091,Yaya,Touré,Yaya Touré,2018,683,yaya-toure,Cote d'Ivoire,Bouaké,Cote d'Ivoire,1983-05-13 00:00:00,Central Midfield,Midfield,right,188.0,,FA Sport,https://img.a.transfermarkt.technology/portrait/header/13091-1544797025.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yaya-toure/profil/spieler/13091,GR1,Olympiakos Syndesmos Filathlon Peiraios,100000.0,36500000.0
14520,Pablo,Contreras,Pablo Contreras,2012,683,pablo-contreras,Chile,Santiago de Chile,Chile,1978-09-11 00:00:00,Centre-Back,Defender,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/s_14520_683_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pablo-contreras/profil/spieler/14520,GR1,Olympiakos Syndesmos Filathlon Peiraios,1000000.0,5000000.0
18958,Alejandro,Domínguez,Alejandro Domínguez,2016,683,alejandro-dominguez,Argentina,Lanús,Argentina,1981-06-10 00:00:00,Attacking Midfield,Midfield,both,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_18958_367_2012_10_24_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alejandro-dominguez/profil/spieler/18958,GR1,Olympiakos Syndesmos Filathlon Peiraios,300000.0,14000000.0
19719,Marko,Pantelic,Marko Pantelic,2012,683,marko-pantelic,Jugoslawien (SFR),Belgrade,Serbia,1978-09-15 00:00:00,Centre-Forward,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_19719_683_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marko-pantelic/profil/spieler/19719,GR1,Olympiakos Syndesmos Filathlon Peiraios,1000000.0,8000000.0
24977,Vasilios,Torosidis,Vasilios Torosidis,2019,683,vasilios-torosidis,Greece,Xanthi,Greece,1985-06-10 00:00:00,Right-Back,Defender,right,186.0,,Only4Stars,https://img.a.transfermarkt.technology/portrait/header/24977-1459341419.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vasilios-torosidis/profil/spieler/24977,GR1,Olympiakos Syndesmos Filathlon Peiraios,400000.0,8000000.0
33947,,Rafinha,Rafinha,2020,683,rafinha,Brazil,Londrina,Brazil,1985-09-07 00:00:00,Right-Back,Defender,right,172.0,2023-12-31 00:00:00,R13 Fussball,https://img.a.transfermarkt.technology/portrait/header/33947-1669394578.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rafinha/profil/spieler/33947,GR1,Olympiakos Syndesmos Filathlon Peiraios,200000.0,12000000.0
