player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
14521,Anestis,Anastasiadis,Anestis Anastasiadis,2018,3999,anestis-anastasiadis,Greece,Ptolemaida,Greece,1983-01-21 00:00:00,Centre-Back,Defender,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anestis-anastasiadis/profil/spieler/14521,GR1,PAS Lamia 1964,100000.0,550000.0
16458,Loukas,Vyntra,Loukas Vyntra,2021,3999,loukas-vyntra,CSSR,Město Albrechtice,Greece,1981-02-05 00:00:00,Centre-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_16458_3368_2013_10_17_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/loukas-vyntra/profil/spieler/16458,GR1,PAS Lamia 1964,100000.0,3500000.0
16597,Christos,Karypidis,Christos Karypidis,2018,3999,christos-karypidis,Greece,Thessaloniki,Greece,1982-12-02 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christos-karypidis/profil/spieler/16597,GR1,PAS Lamia 1964,100000.0,2000000.0
18429,Denis,Epstein,Denis Epstein,2018,3999,denis-epstein,Germany,Köln,Germany,1986-07-02 00:00:00,Left Winger,Attack,left,180.0,,AWM,https://img.a.transfermarkt.technology/portrait/header/18429-1438162307.jpg?lm=1,,,,https://www.transfermarkt.co.uk/denis-epstein/profil/spieler/18429,GR1,PAS Lamia 1964,100000.0,2250000.0
18975,Alexandre,D'Acol,Alexandre D'Acol,2017,3999,alexandre-dacol,Brazil,São Paulo,Brazil,1986-07-18 00:00:00,Centre-Forward,Attack,both,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexandre-dacol/profil/spieler/18975,GR1,PAS Lamia 1964,200000.0,550000.0
24226,Georgios,Bantis,Georgios Bantis,2018,3999,georgios-bantis,Greece,Ierissos,Greece,1985-04-30 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georgios-bantis/profil/spieler/24226,GR1,PAS Lamia 1964,100000.0,400000.0
27583,Markos,Vellidis,Markos Vellidis,2019,3999,markos-vellidis,Greece,Kastoria,Greece,1987-04-04 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/markos-vellidis/profil/spieler/27583,GR1,PAS Lamia 1964,100000.0,1250000.0
29390,Elmar,Bjarnason,Elmar Bjarnason,2020,3999,elmar-bjarnason,Iceland,Reykjavík,Iceland,1987-03-04 00:00:00,Central Midfield,Midfield,right,183.0,2023-10-16 00:00:00,Abdul Samet Süner,https://img.a.transfermarkt.technology/portrait/header/29390-1506107789.jpg?lm=1,,,,https://www.transfermarkt.co.uk/elmar-bjarnason/profil/spieler/29390,GR1,PAS Lamia 1964,50000.0,1300000.0
31696,Dimitrios,Koutromanos,Dimitrios Koutromanos,2017,3999,dimitrios-koutromanos,Greece,Agrinio,Greece,1987-02-25 00:00:00,Right-Back,Defender,right,177.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dimitrios-koutromanos/profil/spieler/31696,GR1,PAS Lamia 1964,100000.0,650000.0
34186,Vasilios,Pliatsikas,Vasilios Pliatsikas,2019,3999,vasilios-pliatsikas,Greece,Athen,Greece,1988-04-14 00:00:00,Centre-Back,Defender,both,177.0,,,https://img.a.transfermarkt.technology/portrait/header/s_34186_52_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vasilios-pliatsikas/profil/spieler/34186,GR1,PAS Lamia 1964,200000.0,1750000.0
34193,Christos,Aravidis,Christos Aravidis,2019,3999,christos-aravidis,Greece,Athen,Greece,1987-03-13 00:00:00,Centre-Forward,Attack,both,177.0,2023-06-30 00:00:00,AC86,https://img.a.transfermarkt.technology/portrait/header/34193-1489390405.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christos-aravidis/profil/spieler/34193,GR1,PAS Lamia 1964,75000.0,1000000.0
36109,Damir,Kahriman,Damir Kahriman,2019,3999,damir-kahriman,Jugoslawien (SFR),Belgrad,Serbia,1984-11-19 00:00:00,Goalkeeper,Goalkeeper,right,192.0,,Socceragent24,https://img.a.transfermarkt.technology/portrait/header/s_36109_2227_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/damir-kahriman/profil/spieler/36109,GR1,PAS Lamia 1964,25000.0,1500000.0
36845,Bojan,Saranov,Bojan Saranov,2022,3999,bojan-saranov,Jugoslawien (SFR),Vršac,Serbia,1987-10-22 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/36845-1572862438.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bojan-saranov/profil/spieler/36845,GR1,PAS Lamia 1964,150000.0,1500000.0
46180,Zoran,Tosic,Zoran Tosic,2023,3999,zoran-tosic,Jugoslawien (SFR),Zrenjanin,Serbia,1987-04-28 00:00:00,Right Winger,Attack,left,171.0,,,https://img.a.transfermarkt.technology/portrait/header/46180-1620991703.png?lm=1,,,,https://www.transfermarkt.co.uk/zoran-tosic/profil/spieler/46180,GR1,PAS Lamia 1964,100000.0,10000000.0
46687,Marko,Blazic,Marko Blazic,2018,3999,marko-blazic,Jugoslawien (SFR),Mladenovac,Serbia,1985-08-02 00:00:00,Central Midfield,Midfield,right,178.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marko-blazic/profil/spieler/46687,GR1,PAS Lamia 1964,10000.0,750000.0
46728,Savvas,Gentsoglou,Savvas Gentsoglou,2021,3999,savvas-gentsoglou,Greece,Kavala,Greece,1990-09-19 00:00:00,Defensive Midfield,Midfield,right,185.0,2023-06-30 00:00:00,SPORTS ACTION,https://img.a.transfermarkt.technology/portrait/header/46728-1448881245.jpg?lm=1,,,,https://www.transfermarkt.co.uk/savvas-gentsoglou/profil/spieler/46728,GR1,PAS Lamia 1964,200000.0,1500000.0
51984,Elini,Dimoutsos,Elini Dimoutsos,2019,3999,elini-dimoutsos,Albania,Lushnjë,Greece,1988-06-18 00:00:00,Central Midfield,Midfield,right,177.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/elini-dimoutsos/profil/spieler/51984,GR1,PAS Lamia 1964,75000.0,1500000.0
52101,Abdul,Osman,Abdul Osman,2018,3999,abdul-osman,Ghana,Accra,Ghana,1987-02-27 00:00:00,Central Midfield,Midfield,right,183.0,,BG Agency,https://img.a.transfermarkt.technology/portrait/header/s_52101_1042_2013_09_23_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/abdul-osman/profil/spieler/52101,GR1,PAS Lamia 1964,100000.0,550000.0
52403,Dimitrios,Siovas,Dimitrios Siovas,2024,3999,dimitrios-siovas,Greece,Drama,Greece,1988-09-16 00:00:00,Centre-Back,Defender,left,191.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/52403-1728393929.png?lm=1,20.0,1.0,,https://www.transfermarkt.co.uk/dimitrios-siovas/profil/spieler/52403,GR1,PAS Lamia 1964,50000.0,6000000.0
