player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3771,Raúl,Bravo,Raúl Bravo,2015,2079,raul-bravo,Spain,Gandia,Spain,1981-04-14 00:00:00,Centre-Back,Defender,left,181.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/raul-bravo/profil/spieler/3771,GR1,Veria NPS,100000.0,4000000.0
9684,Pantelis,Kafes,Pantelis Kafes,2012,2079,pantelis-kafes,Greece,Thessaloniki,Greece,1978-06-24 00:00:00,Central Midfield,Midfield,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/9684-1678385861.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pantelis-kafes/profil/spieler/9684,GR1,Veria NPS,300000.0,4000000.0
9871,Nikolaos,Georgeas,Nikolaos Georgeas,2012,2079,nikolaos-georgeas,Greece,Kalamata,Greece,1976-12-27 00:00:00,Right-Back,Defender,right,173.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikolaos-georgeas/profil/spieler/9871,GR1,Veria NPS,100000.0,1500000.0
13612,Wayne,Thomas,Wayne Thomas,2012,2079,wayne-thomas,England,Gloucester,England,1979-05-17 00:00:00,Centre-Back,Defender,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wayne-thomas/profil/spieler/13612,GR1,Veria NPS,50000.0,400000.0
14523,Konstantinos,Barbas,Konstantinos Barbas,2013,2079,konstantinos-barbas,Greece,Nea Efkarpia,Greece,1983-04-22 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/konstantinos-barbas/profil/spieler/14523,GR1,Veria NPS,200000.0,450000.0
14542,Zvonimir,Vukic,Zvonimir Vukic,2014,2079,zvonimir-vukic,Jugoslawien (SFR),Zrenjanin,Serbia,1979-07-19 00:00:00,Attacking Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/14542-1671118365.png?lm=1,,,,https://www.transfermarkt.co.uk/zvonimir-vukic/profil/spieler/14542,GR1,Veria NPS,250000.0,4500000.0
15432,Pantelis,Kapetanos,Pantelis Kapetanos,2016,2079,pantelis-kapetanos,Greece,Ptolemaida,Greece,1983-06-08 00:00:00,Centre-Forward,Attack,right,188.0,,Sportseleven Berlin,https://img.a.transfermarkt.technology/portrait/header/s_15432_7769_2013_08_10_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pantelis-kapetanos/profil/spieler/15432,GR1,Veria NPS,300000.0,3250000.0
16230,Mohamadou,Sissoko,Mohamadou Sissoko,2016,2079,mohamadou-sissoko,France,Paris,France,1988-08-08 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mohamadou-sissoko/profil/spieler/16230,GR1,Veria NPS,100000.0,400000.0
17220,Miroslaw,Sznaucner,Miroslaw Sznaucner,2012,2079,miroslaw-sznaucner,Poland,Bedzin,Poland,1979-05-09 00:00:00,Right-Back,Defender,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/miroslaw-sznaucner/profil/spieler/17220,GR1,Veria NPS,250000.0,1600000.0
18923,Alexandros,Vergonis,Alexandros Vergonis,2015,2079,alexandros-vergonis,Greece,Veria,Greece,1985-12-01 00:00:00,Central Midfield,Midfield,left,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexandros-vergonis/profil/spieler/18923,GR1,Veria NPS,100000.0,400000.0
18929,Stelios,Iliadis,Stelios Iliadis,2016,2079,stelios-iliadis,Greece,Thessaloniki,Greece,1986-06-03 00:00:00,Defensive Midfield,Midfield,right,180.0,2023-06-30 00:00:00,ES SPORT,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stelios-iliadis/profil/spieler/18929,GR1,Veria NPS,250000.0,2000000.0
22810,Vangelis,Nastos,Vangelis Nastos,2015,2079,vangelis-nastos,Greece,Thessaloniki,Greece,1980-09-13 00:00:00,Right-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vangelis-nastos/profil/spieler/22810,GR1,Veria NPS,200000.0,1000000.0
23959,Marcus,Mokaké,Marcus Mokaké,2012,2079,marcus-mokake,Cameroon,Limbé,Cameroon,1981-11-30 00:00:00,Attacking Midfield,Midfield,right,168.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcus-mokake/profil/spieler/23959,GR1,Veria NPS,300000.0,900000.0
25395,,Orestes,Orestes,2013,2079,orestes,Brazil,Lavras,Brazil,1981-03-24 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/s_25395_4814_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/orestes/profil/spieler/25395,GR1,Veria NPS,400000.0,2000000.0
25633,Petr,Trapp,Petr Trapp,2013,2079,petr-trapp,CSSR,Most,Czech Republic,1985-12-06 00:00:00,Defensive Midfield,Midfield,,184.0,,PML,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/petr-trapp/profil/spieler/25633,GR1,Veria NPS,100000.0,850000.0
25684,Christos,Melissis,Christos Melissis,2016,2079,christos-melissis,Greece,Edessa,Greece,1982-12-01 00:00:00,Centre-Back,Defender,right,185.0,,MAGOS MANAGEMENT,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christos-melissis/profil/spieler/25684,GR1,Veria NPS,150000.0,2500000.0
28289,Filipe,da Costa,Filipe da Costa,2013,2079,filipe-da-costa,Portugal,Lissabon,Portugal,1984-08-30 00:00:00,Left Winger,Attack,left,181.0,,,https://img.a.transfermarkt.technology/portrait/header/28289-1638216054.png?lm=1,,,,https://www.transfermarkt.co.uk/filipe-da-costa/profil/spieler/28289,GR1,Veria NPS,350000.0,800000.0
28594,Sasa,Kajkut,Sasa Kajkut,2015,2079,sasa-kajkut,Jugoslawien (SFR),Banja Luka,Bosnia-Herzegovina,1984-07-07 00:00:00,Centre-Forward,Attack,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/28594-1639748135.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sasa-kajkut/profil/spieler/28594,GR1,Veria NPS,50000.0,400000.0
30834,Pablo,Vitti,Pablo Vitti,2016,2079,pablo-vitti,Argentina,Rosario,Argentina,1985-07-09 00:00:00,Centre-Forward,Attack,both,179.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pablo-vitti/profil/spieler/30834,GR1,Veria NPS,400000.0,3250000.0
34226,Djamel,Abdoun,Djamel Abdoun,2015,2079,djamel-abdoun,France,Montreuil,Algeria,1986-02-14 00:00:00,Right Winger,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/s_34226_703_2013_09_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/djamel-abdoun/profil/spieler/34226,GR1,Veria NPS,600000.0,3500000.0
37340,Antonio,Tomás,Antonio Tomás,2016,2079,antonio-tomas,Spain,Torrelavega,Spain,1985-01-13 00:00:00,Central Midfield,Midfield,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/antonio-tomas/profil/spieler/37340,GR1,Veria NPS,150000.0,3000000.0
39209,Frantz,Bertin,Frantz Bertin,2012,2079,frantz-bertin,France,Paris,Haiti,1983-05-30 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/frantz-bertin/profil/spieler/39209,GR1,Veria NPS,150000.0,450000.0
40417,Cyril,Kali,Cyril Kali,2016,2079,cyril-kali,France,Besançon,Saint-Martin,1984-01-21 00:00:00,Centre-Back,Defender,left,179.0,,ES SPORT,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cyril-kali/profil/spieler/40417,GR1,Veria NPS,50000.0,500000.0
43630,,Neto,Neto,2015,2079,neto,Brazil,São José do Rio Preto,Brazil,1981-02-07 00:00:00,Right-Back,Defender,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/43630-1600852130.jpg?lm=1,,,,https://www.transfermarkt.co.uk/neto/profil/spieler/43630,GR1,Veria NPS,50000.0,2800000.0
44170,,Zé Vítor,Zé Vítor,2012,2079,ze-vitor,Portugal,Funchal,Portugal,1982-02-11 00:00:00,Right Midfield,Midfield,left,176.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ze-vitor/profil/spieler/44170,GR1,Veria NPS,300000.0,600000.0
45042,Radoslaw,Majewski,Radoslaw Majewski,2015,2079,radoslaw-majewski,Poland,Pruszków,Poland,1986-12-15 00:00:00,Attacking Midfield,Midfield,right,170.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/45042-1550589763.jpg?lm=1,,,,https://www.transfermarkt.co.uk/radoslaw-majewski/profil/spieler/45042,GR1,Veria NPS,350000.0,2500000.0
45566,Tijani,Belaid,Tijani Belaid,2016,2079,tijani-belaid,France,Paris,Tunisia,1987-09-06 00:00:00,Attacking Midfield,Midfield,right,180.0,2023-06-30 00:00:00,PLAYERSAGENCY,https://img.a.transfermarkt.technology/portrait/header/45566-1619024137.png?lm=1,,,,https://www.transfermarkt.co.uk/tijani-belaid/profil/spieler/45566,GR1,Veria NPS,100000.0,1200000.0
46064,Giannis,Papadopoulos,Giannis Papadopoulos,2016,2079,giannis-papadopoulos,Greece,Thessaloniki,Greece,1989-03-09 00:00:00,Central Midfield,Midfield,left,180.0,,PPA WORLD,https://img.a.transfermarkt.technology/portrait/header/s_46064_129_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giannis-papadopoulos/profil/spieler/46064,GR1,Veria NPS,100000.0,1600000.0
51713,Sisi,González,Sisi González,2016,2079,sisi-gonzalez,Spain,Albacete,Spain,1986-04-22 00:00:00,Attacking Midfield,Midfield,right,168.0,,IFM,https://img.a.transfermarkt.technology/portrait/header/s_51713_331_2013_10_17_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sisi-gonzalez/profil/spieler/51713,GR1,Veria NPS,200000.0,4000000.0
52042,Dimitrios,Kottaridis,Dimitrios Kottaridis,2013,2079,dimitrios-kottaridis,Greece,Kozani,Greece,1981-05-29 00:00:00,Goalkeeper,Goalkeeper,left,191.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dimitrios-kottaridis/profil/spieler/52042,GR1,Veria NPS,100000.0,400000.0
52063,Toni,Calvo,Toni Calvo,2016,2079,toni-calvo,Spain,Barcelona,Spain,1987-03-28 00:00:00,Right Winger,Attack,right,171.0,,,https://img.a.transfermarkt.technology/portrait/header/52063-1674330182.png?lm=1,,,,https://www.transfermarkt.co.uk/toni-calvo/profil/spieler/52063,GR1,Veria NPS,350000.0,2500000.0
53871,Javier,Cámpora,Javier Cámpora,2014,2079,javier-campora,Argentina,Rosario,Argentina,1980-01-07 00:00:00,Centre-Forward,Attack,right,172.0,,,https://img.a.transfermarkt.technology/portrait/header/53871-1586261453.jpg?lm=1,,,,https://www.transfermarkt.co.uk/javier-campora/profil/spieler/53871,GR1,Veria NPS,250000.0,2000000.0
54820,Roberto,Battión,Roberto Battión,2015,2079,roberto-battion,Argentina,Santa Fé de la Vera Cruz,Argentina,1982-03-01 00:00:00,Central Midfield,Midfield,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roberto-battion/profil/spieler/54820,GR1,Veria NPS,200000.0,2200000.0
55978,Giorgi,Merebashvili,Giorgi Merebashvili,2015,2079,giorgi-merebashvili,UdSSR,Tiflis,Georgia,1986-08-15 00:00:00,Left Winger,Attack,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/55978-1668889814.png?lm=1,,,,https://www.transfermarkt.co.uk/giorgi-merebashvili/profil/spieler/55978,GR1,Veria NPS,25000.0,1500000.0
58064,Jonathan,López,Jonathan López,2016,2079,jonathan-lopez,Spain,Riaño,Spain,1981-04-16 00:00:00,Goalkeeper,Goalkeeper,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jonathan-lopez/profil/spieler/58064,GR1,Veria NPS,100000.0,600000.0
61258,David,Vázquez,David Vázquez,2014,2079,david-vazquez,Spain,Madrid,Spain,1986-03-21 00:00:00,Central Midfield,Midfield,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-vazquez/profil/spieler/61258,GR1,Veria NPS,150000.0,300000.0
62460,Georgios,Georgiadis,Georgios Georgiadis,2015,2079,georgios-georgiadis,Greece,Serres,Greece,1987-11-14 00:00:00,Right Winger,Attack,both,178.0,2023-06-30 00:00:00,PPA WORLD,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georgios-georgiadis/profil/spieler/62460,GR1,Veria NPS,100000.0,2500000.0
62966,Jokin,Esparza,Jokin Esparza,2014,2079,jokin-esparza,Spain,Pamplona,Spain,1988-06-15 00:00:00,Right Winger,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jokin-esparza/profil/spieler/62966,GR1,Veria NPS,100000.0,500000.0
