player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
5768,Rubén,Olivera,Rubén Olivera,2013,430,ruben-olivera,Uruguay,Montevideo,Uruguay,1983-05-04 00:00:00,Central Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/5768-1451058178.png?lm=1,,,,https://www.transfermarkt.co.uk/ruben-olivera/profil/spieler/5768,IT1,Associazione Calcio Fiorentina,100000.0,8000000.0
5818,Massimo,Ambrosini,Massimo Ambrosini,2013,430,massimo-ambrosini,Italy,Pesaro,Italy,1977-05-29 00:00:00,Central Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5818_430_2013_08_14_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/massimo-ambrosini/profil/spieler/5818,IT1,Associazione Calcio Fiorentina,500000.0,11000000.0
5896,David,Pizarro,David Pizarro,2014,430,david-pizarro,Chile,Valparaíso,Chile,1979-09-11 00:00:00,Central Midfield,Midfield,right,168.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5896_430_2013_03_12_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-pizarro/profil/spieler/5896,IT1,Associazione Calcio Fiorentina,300000.0,15000000.0
5908,Cristiano,Lupatelli,Cristiano Lupatelli,2014,430,cristiano-lupatelli,Italy,Perugia,Italy,1978-06-21 00:00:00,Goalkeeper,Goalkeeper,left,189.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5908_430_2013_03_12_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cristiano-lupatelli/profil/spieler/5908,IT1,Associazione Calcio Fiorentina,100000.0,2500000.0
6442,Antonio,Rosati,Antonio Rosati,2021,430,antonio-rosati,Italy,Tivoli,Italy,1983-06-26 00:00:00,Goalkeeper,Goalkeeper,right,195.0,,World Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/6442-1464097998.jpg?lm=1,,,,https://www.transfermarkt.co.uk/antonio-rosati/profil/spieler/6442,IT1,Associazione Calcio Fiorentina,100000.0,2800000.0
9091,Gustavo,Munúa,Gustavo Munúa,2013,430,gustavo-munua,Uruguay,Montevideo,Uruguay,1978-01-27 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,corner association,https://img.a.transfermarkt.technology/portrait/header/s_9091_3368_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gustavo-munua/profil/spieler/9091,IT1,Associazione Calcio Fiorentina,100000.0,5000000.0
19998,Gonzalo,Rodríguez,Gonzalo Rodríguez,2016,430,gonzalo-rodriguez,Argentina,Buenos Aires,Argentina,1984-04-10 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/19998-1455552310.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gonzalo-rodriguez/profil/spieler/19998,IT1,Associazione Calcio Fiorentina,200000.0,14000000.0
26456,Mauro,Zárate,Mauro Zárate,2016,430,mauro-zarate,Argentina,Morón,Argentina,1987-03-18 00:00:00,Centre-Forward,Attack,right,175.0,2023-06-30 00:00:00,Keyscout Football,https://img.a.transfermarkt.technology/portrait/header/26456-1676018324.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mauro-zarate/profil/spieler/26456,IT1,Associazione Calcio Fiorentina,250000.0,17500000.0
29316,Cyril,Théréau,Cyril Théréau,2019,430,cyril-thereau,France,Privas,France,1983-04-24 00:00:00,Second Striker,Attack,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/29316-1449133143.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cyril-thereau/profil/spieler/29316,IT1,Associazione Calcio Fiorentina,200000.0,3000000.0
37918,Matías,Fernández,Matías Fernández,2017,430,matias-fernandez,Argentina,Caballito,Chile,1986-05-15 00:00:00,Attacking Midfield,Midfield,right,176.0,,AIM fútbol,https://img.a.transfermarkt.technology/portrait/header/37918-1448527391.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matias-fernandez/profil/spieler/37918,IT1,Associazione Calcio Fiorentina,125000.0,14000000.0
40372,Borja,Valero,Borja Valero,2020,430,borja-valero,Spain,Madrid,Spain,1985-01-12 00:00:00,Central Midfield,Midfield,right,175.0,2023-06-30 00:00:00,Footfeel ISM  ,https://img.a.transfermarkt.technology/portrait/header/40372-1448527157.jpg?lm=1,,,,https://www.transfermarkt.co.uk/borja-valero/profil/spieler/40372,IT1,Associazione Calcio Fiorentina,900000.0,23000000.0
55997,José María,Basanta,José María Basanta,2015,430,jose-maria-basanta,Argentina,Buenos Aires,Argentina,1984-04-03 00:00:00,Centre-Back,Defender,left,188.0,,,https://img.a.transfermarkt.technology/portrait/header/s_55997_2407_2013_10_10_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jose-maria-basanta/profil/spieler/55997,IT1,Associazione Calcio Fiorentina,500000.0,3500000.0
59377,David,de Gea,David de Gea,2025,430,david-de-gea,Spain,Madrid,Spain,1990-11-07 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/59377-1667548362.jpg?lm=1,45.0,0.0,,https://www.transfermarkt.co.uk/david-de-gea/profil/spieler/59377,IT1,Associazione Calcio Fiorentina,3500000.0,70000000.0
87210,Davide,Astori,Davide Astori,2017,430,davide-astori,Italy,San Giovanni Bianco,Italy,1987-01-07 00:00:00,Centre-Back,Defender,left,189.0,,,https://img.a.transfermarkt.technology/portrait/header/87210-1520162249.jpg?lm=1,,,,https://www.transfermarkt.co.uk/davide-astori/profil/spieler/87210,IT1,Associazione Calcio Fiorentina,7500000.0,11000000.0
