player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
7825,Pepe,Reina,Pepe Reina,2024,1047,pepe-reina,Spain,Madrid,Spain,1982-08-31 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,Manuel García Quilón,https://img.a.transfermarkt.technology/portrait/header/7825-1724826388.jpg?lm=1,36.0,0.0,,https://www.transfermarkt.co.uk/pepe-reina/profil/spieler/7825,IT1,Calcio Como,600000.0,22000000.0
85370,Sergi,Roberto,Sergi Roberto,2025,1047,sergi-roberto,Spain,Reus,Spain,1992-02-07 00:00:00,Central Midfield,Midfield,right,178.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/85370-1662585931.jpg?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/sergi-roberto/profil/spieler/85370,IT1,Calcio Como,1500000.0,60000000.0
88595,Mauro,Vigorito,Mauro Vigorito,2025,1047,mauro-vigorito,Italy,Macomer,Italy,1990-05-22 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2026-06-30 00:00:00,TUR_SA,https://img.a.transfermarkt.technology/portrait/header/88595-1757604061.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mauro-vigorito/profil/spieler/88595,IT1,Calcio Como,150000.0,800000.0
128223,Álvaro,Morata,Álvaro Morata,2025,1047,alvaro-morata,Spain,Madrid,Spain,1992-10-23 00:00:00,Centre-Forward,Attack,right,189.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/128223-1719989301.jpg?lm=1,87.0,37.0,,https://www.transfermarkt.co.uk/alvaro-morata/profil/spieler/128223,IT1,Calcio Como,8000000.0,65000000.0
130360,Simone,Verdi,Simone Verdi,2024,1047,simone-verdi,Italy,Broni,Italy,1992-07-12 00:00:00,Attacking Midfield,Midfield,both,174.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/130360-1663671979.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/simone-verdi/profil/spieler/130360,IT1,Calcio Como,500000.0,25000000.0
134883,Daniele,Baselli,Daniele Baselli,2024,1047,daniele-baselli,Italy,Manerbio,Italy,1992-03-12 00:00:00,Central Midfield,Midfield,right,182.0,2026-06-30 00:00:00,GR Sports,https://img.a.transfermarkt.technology/portrait/header/134883-1630509123.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/daniele-baselli/profil/spieler/134883,IT1,Calcio Como,250000.0,10000000.0
160938,Marc Oliver,Kempf,Marc Oliver Kempf,2025,1047,marc-oliver-kempf,Germany,Lich,Germany,1995-01-28 00:00:00,Centre-Back,Defender,left,186.0,2027-06-30 00:00:00,FOKUS,https://img.a.transfermarkt.technology/portrait/header/160938-1753445146.jpg?lm=1,7.0,1.0,,https://www.transfermarkt.co.uk/marc-oliver-kempf/profil/spieler/160938,IT1,Calcio Como,3500000.0,8000000.0
164770,Raphaël,Varane,Raphaël Varane,2024,1047,raphael-varane,France,Lille,France,1993-04-25 00:00:00,Centre-Back,Defender,right,191.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/164770-1727257324.jpg?lm=1,93.0,5.0,,https://www.transfermarkt.co.uk/raphael-varane/profil/spieler/164770,IT1,Calcio Como,20000000.0,80000000.0
165873,Federico,Barba,Federico Barba,2024,1047,federico-barba,Italy,Roma,Italy,1993-09-01 00:00:00,Centre-Back,Defender,left,187.0,2027-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/165873-1725528561.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/federico-barba/profil/spieler/165873,IT1,Calcio Como,500000.0,2000000.0
197751,Alberto,Cerri,Alberto Cerri,2024,1047,alberto-cerri,Italy,Parma,Italy,1996-04-16 00:00:00,Centre-Forward,Attack,right,194.0,2028-06-30 00:00:00,TMP SOCCER srl ,https://img.a.transfermarkt.technology/portrait/header/197751-1686210523.jpg?lm=1,20.0,2.0,,https://www.transfermarkt.co.uk/alberto-cerri/profil/spieler/197751,IT1,Calcio Como,600000.0,7500000.0
