player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
6012,Stefano,Lucchini,Stefano Lucchini,2014,1429,stefano-lucchini,Italy,Codogno,Italy,1980-10-02 00:00:00,Centre-Back,Defender,right,186.0,,TMP SOCCER srl ,https://img.a.transfermarkt.technology/portrait/header/6012-1475746508.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefano-lucchini/profil/spieler/6012,IT1,Cesena FC,75000.0,4300000.0
8206,Emmanuel,Cascione,Emmanuel Cascione,2014,1429,emmanuel-cascione,Italy,Catanzaro,Italy,1983-09-22 00:00:00,Central Midfield,Midfield,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/8206-1419934813.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emmanuel-cascione/profil/spieler/8206,IT1,Cesena FC,100000.0,1500000.0
13749,Gaby,Mudingayi,Gaby Mudingayi,2014,1429,gaby-mudingayi,Zaire,Kinshasa,Belgium,1981-10-01 00:00:00,Defensive Midfield,Midfield,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/13749-1478679523.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gaby-mudingayi/profil/spieler/13749,IT1,Cesena FC,50000.0,6000000.0
16888,Federico,Agliardi,Federico Agliardi,2014,1429,federico-agliardi,Italy,Brescia,Italy,1983-02-11 00:00:00,Goalkeeper,Goalkeeper,left,191.0,,,https://img.a.transfermarkt.technology/portrait/header/16888-1457696485.jpg?lm=1,,,,https://www.transfermarkt.co.uk/federico-agliardi/profil/spieler/16888,IT1,Cesena FC,75000.0,1100000.0
24305,Giuseppe,De Feudis,Giuseppe De Feudis,2014,1429,giuseppe-de-feudis,Italy,Bollate,Italy,1983-07-10 00:00:00,Defensive Midfield,Midfield,right,170.0,,Filippo Cavadini,https://img.a.transfermarkt.technology/portrait/header/24305-1568801995.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giuseppe-de-feudis/profil/spieler/24305,IT1,Cesena FC,100000.0,2000000.0
28817,Gabriele,Perico,Gabriele Perico,2014,1429,gabriele-perico,Italy,Bergamo,Italy,1984-03-11 00:00:00,Right-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/28817-1476266669.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gabriele-perico/profil/spieler/28817,IT1,Cesena FC,50000.0,900000.0
28851,Manuel,Coppola,Manuel Coppola,2014,1429,manuel-coppola,Italy,Roma,Italy,1982-05-11 00:00:00,Central Midfield,Midfield,right,172.0,,,https://img.a.transfermarkt.technology/portrait/header/28851-1476426053.jpg?lm=1,,,,https://www.transfermarkt.co.uk/manuel-coppola/profil/spieler/28851,IT1,Cesena FC,50000.0,1000000.0
29208,Davide,Succi,Davide Succi,2014,1429,davide-succi,Italy,Bologna,Italy,1981-10-11 00:00:00,Centre-Forward,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/29208-1443271997.jpg?lm=1,,,,https://www.transfermarkt.co.uk/davide-succi/profil/spieler/29208,IT1,Cesena FC,50000.0,2200000.0
29604,Riccardo,Cazzola,Riccardo Cazzola,2014,1429,riccardo-cazzola,Italy,Verona,Italy,1985-10-08 00:00:00,Defensive Midfield,Midfield,right,189.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/29604-1575187502.jpg?lm=1,,,,https://www.transfermarkt.co.uk/riccardo-cazzola/profil/spieler/29604,IT1,Cesena FC,100000.0,1000000.0
30332,Daniele,Capelli,Daniele Capelli,2014,1429,daniele-capelli,Italy,Seriate,Italy,1986-06-20 00:00:00,Centre-Back,Defender,both,186.0,,,https://img.a.transfermarkt.technology/portrait/header/30332-1571672949.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniele-capelli/profil/spieler/30332,IT1,Cesena FC,75000.0,2700000.0
38602,Nico,Pulzetti,Nico Pulzetti,2014,1429,nico-pulzetti,Italy,Rimini,Italy,1984-02-13 00:00:00,Central Midfield,Midfield,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/38602-1542313815.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nico-pulzetti/profil/spieler/38602,IT1,Cesena FC,200000.0,2500000.0
54921,Massimo,Volta,Massimo Volta,2014,1429,massimo-volta,Italy,Desenzano del Garda,Italy,1987-05-14 00:00:00,Centre-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/54921-1641771335.jpg?lm=1,,,,https://www.transfermarkt.co.uk/massimo-volta/profil/spieler/54921,IT1,Cesena FC,175000.0,1800000.0
70203,,Zé Eduardo,Zé Eduardo,2014,1429,ze-eduardo,Brazil,Uberaba,Brazil,1991-08-16 00:00:00,Defensive Midfield,Midfield,right,186.0,,S&M11,https://img.a.transfermarkt.technology/portrait/header/70203-1419935372.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ze-eduardo/profil/spieler/70203,IT1,Cesena FC,175000.0,1000000.0
221815,Constantin,Nica,Constantin Nica,2014,1429,constantin-nica,Romania,Afumaţi,Romania,1993-03-18 00:00:00,Right-Back,Defender,both,186.0,,,https://img.a.transfermarkt.technology/portrait/header/221815-1405152552.jpg?lm=1,,,,https://www.transfermarkt.co.uk/constantin-nica/profil/spieler/221815,IT1,Cesena FC,10000.0,1500000.0
288570,Davide,Mordini,Davide Mordini,2014,1429,davide-mordini,Italy,Recanati,Italy,1996-08-03 00:00:00,Left-Back,Defender,left,177.0,2024-06-30 00:00:00,BC Group,https://img.a.transfermarkt.technology/portrait/header/288570-1637252897.jpg?lm=1,,,,https://www.transfermarkt.co.uk/davide-mordini/profil/spieler/288570,IT1,Cesena FC,100000.0,150000.0
290418,Riccardo,Gaiola,Riccardo Gaiola,2014,1429,riccardo-gaiola,Italy,Padova,Italy,1996-04-01 00:00:00,Central Midfield,Midfield,right,183.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/290418-1584283395.jpg?lm=1,,,,https://www.transfermarkt.co.uk/riccardo-gaiola/profil/spieler/290418,IT1,Cesena FC,75000.0,125000.0
314369,Matteo,Gasperi,Matteo Gasperi,2014,1429,matteo-gasperi,Italy,Forlì,Italy,1997-07-17 00:00:00,Central Midfield,Midfield,,,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/314369-1583403764.png?lm=1,,,,https://www.transfermarkt.co.uk/matteo-gasperi/profil/spieler/314369,IT1,Cesena FC,150000.0,150000.0
334992,Jonathan,Klinsmann,Jonathan Klinsmann,2025,1429,jonathan-klinsmann,Germany,München,United States,1997-04-08 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2028-06-30 00:00:00,AESIR,https://img.a.transfermarkt.technology/portrait/header/334992-1678024209.jpg?lm=1,0.0,0.0,3505.0,https://www.transfermarkt.co.uk/jonathan-klinsmann/profil/spieler/334992,IT1,Cesena FC,200000.0,300000.0
908760,Cristian,Shpendi,Cristian Shpendi,2025,1429,cristian-shpendi,Italy,Ancona,Albania,2003-05-19 00:00:00,Centre-Forward,Attack,right,181.0,2028-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/908760-1689927391.jpg?lm=1,1.0,0.0,3561.0,https://www.transfermarkt.co.uk/cristian-shpendi/profil/spieler/908760,IT1,Cesena FC,,
