player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
5948,Damiano,Ferronetti,Damiano Ferronetti,2012,252,damiano-ferronetti,Italy,Albano Laziale,Italy,1984-11-01 00:00:00,Centre-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/5948-1417787458.jpg?lm=1,,,,https://www.transfermarkt.co.uk/damiano-ferronetti/profil/spieler/5948,IT1,Genoa Cricket and Football Club,200000.0,2300000.0
6046,Giuseppe,Sculli,Giuseppe Sculli,2013,252,giuseppe-sculli,Italy,Locri,Italy,1981-03-23 00:00:00,Left Winger,Attack,right,178.0,,Gea World,https://img.a.transfermarkt.technology/portrait/header/s_6046_252_2014_02_05_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giuseppe-sculli/profil/spieler/6046,IT1,Genoa Cricket and Football Club,100000.0,5000000.0
6721,Mario,Santana,Mario Santana,2014,252,mario-santana,Argentina,Comodoro Rivadavia,Argentina,1981-12-23 00:00:00,Second Striker,Attack,right,180.0,,Piccioli&Lombardi,https://img.a.transfermarkt.technology/portrait/header/6721-1570304563.png?lm=1,,,,https://www.transfermarkt.co.uk/mario-santana/profil/spieler/6721,IT1,Genoa Cricket and Football Club,25000.0,7500000.0
6792,Luca,Antonini,Luca Antonini,2014,252,luca-antonini,Italy,Milano,Italy,1982-08-04 00:00:00,Left-Back,Defender,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/6792-1445179096.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luca-antonini/profil/spieler/6792,IT1,Genoa Cricket and Football Club,150000.0,7000000.0
12563,Goran,Pandev,Goran Pandev,2021,252,goran-pandev,Jugoslawien (SFR),Strumica,North Macedonia,1983-07-27 00:00:00,Second Striker,Attack,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/12563-1630583396.jpg?lm=1,,,,https://www.transfermarkt.co.uk/goran-pandev/profil/spieler/12563,IT1,Genoa Cricket and Football Club,400000.0,18000000.0
15888,Dániel,Tőzsér,Dániel Tőzsér,2013,252,daniel-tőzser,Hungary,Szolnok,Hungary,1985-05-12 00:00:00,Central Midfield,Midfield,left,187.0,,Vladan Filipovic,https://img.a.transfermarkt.technology/portrait/header/15888-1570640813.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-tőzser/profil/spieler/15888,IT1,Genoa Cricket and Football Club,325000.0,3500000.0
19104,Giuseppe,Rossi,Giuseppe Rossi,2017,252,giuseppe-rossi,United States,"Teaneck, New Jersey",Italy,1987-02-01 00:00:00,Centre-Forward,Attack,left,173.0,2023-06-30 00:00:00,Supra Soccer Agency ,https://img.a.transfermarkt.technology/portrait/header/19104-1584043594.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giuseppe-rossi/profil/spieler/19104,IT1,Genoa Cricket and Football Club,100000.0,30000000.0
21696,Daniele,Portanova,Daniele Portanova,2014,252,daniele-portanova,Italy,Roma,Italy,1978-12-17 00:00:00,Centre-Back,Defender,right,185.0,,Matteo Materazzi,https://img.a.transfermarkt.technology/portrait/header/s_21696_252_2013_09_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniele-portanova/profil/spieler/21696,IT1,Genoa Cricket and Football Club,50000.0,2800000.0
21887,Giovanni,Marchese,Giovanni Marchese,2016,252,giovanni-marchese,Italy,Caltanissetta,Italy,1984-10-17 00:00:00,Left-Back,Defender,left,180.0,,Umberto Calaiò,https://img.a.transfermarkt.technology/portrait/header/21887-1448531212.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giovanni-marchese/profil/spieler/21887,IT1,Genoa Cricket and Football Club,50000.0,4500000.0
21905,Valon,Behrami,Valon Behrami,2021,252,valon-behrami,Jugoslawien (SFR),Mitrovicë,Switzerland,1985-04-19 00:00:00,Defensive Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/21905-1562078262.jpg?lm=1,,,,https://www.transfermarkt.co.uk/valon-behrami/profil/spieler/21905,IT1,Genoa Cricket and Football Club,300000.0,16000000.0
