player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3159,Valerio,Di Cesare,Valerio Di Cesare,2018,130,valerio-di-cesare,Italy,Roma,Italy,1983-05-23 00:00:00,Centre-Back,Defender,right,187.0,2024-06-30 00:00:00,MM-Management,https://img.a.transfermarkt.technology/portrait/header/3159-1647294099.jpg?lm=1,,,,https://www.transfermarkt.co.uk/valerio-di-cesare/profil/spieler/3159,IT1,Parma Calcio 1913,200000.0,650000.0
6722,Stefano,Morrone,Stefano Morrone,2012,130,stefano-morrone,Italy,Cosenza,Italy,1978-10-26 00:00:00,Central Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/s_6722_22045_2013_09_27_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefano-morrone/profil/spieler/6722,IT1,Parma Calcio 1913,100000.0,3500000.0
22131,Jaime,Valdés,Jaime Valdés,2013,130,jaime-valdes,Chile,Santiago de Chile,Chile,1981-01-11 00:00:00,Central Midfield,Midfield,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_22131_130_2013_09_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jaime-valdes/profil/spieler/22131,IT1,Parma Calcio 1913,150000.0,6500000.0
22210,Luca,Rigoni,Luca Rigoni,2019,130,luca-rigoni,Italy,Schio,Italy,1984-12-07 00:00:00,Central Midfield,Midfield,right,185.0,,Ballers,https://img.a.transfermarkt.technology/portrait/header/22210-1608182143.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luca-rigoni/profil/spieler/22210,IT1,Parma Calcio 1913,150000.0,6500000.0
22268,Emanuele,Calaiò,Emanuele Calaiò,2018,130,emanuele-calaio,Italy,Palermo,Italy,1982-01-08 00:00:00,Centre-Forward,Attack,left,179.0,,Umberto Calaiò,https://img.a.transfermarkt.technology/portrait/header/22268-1535016104.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emanuele-calaio/profil/spieler/22268,IT1,Parma Calcio 1913,200000.0,4000000.0
22594,Daniele,Galloppa,Daniele Galloppa,2014,130,daniele-galloppa,Italy,Roma,Italy,1985-05-15 00:00:00,Central Midfield,Midfield,left,181.0,,Davide Torchia,https://img.a.transfermarkt.technology/portrait/header/22594-1452590898.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniele-galloppa/profil/spieler/22594,IT1,Parma Calcio 1913,100000.0,7000000.0
22598,Gianni,Munari,Gianni Munari,2018,130,gianni-munari,Italy,Sassuolo,Italy,1983-06-24 00:00:00,Central Midfield,Midfield,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/22598-1455621071.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gianni-munari/profil/spieler/22598,IT1,Parma Calcio 1913,100000.0,2500000.0
25414,Fernando,Marqués,Fernando Marqués,2012,130,fernando-marques,Spain,Madrid,Spain,1984-12-04 00:00:00,Right Winger,Attack,right,177.0,,Agencia Staff,https://img.a.transfermarkt.technology/portrait/header/s_25414_130_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fernando-marques/profil/spieler/25414,IT1,Parma Calcio 1913,200000.0,1800000.0
28020,Massimo,Gobbi,Massimo Gobbi,2018,130,massimo-gobbi,Italy,Milano,Italy,1980-10-31 00:00:00,Left-Back,Defender,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/28020-1455535127.jpg?lm=1,,,,https://www.transfermarkt.co.uk/massimo-gobbi/profil/spieler/28020,IT1,Parma Calcio 1913,300000.0,4000000.0
28022,Alessandro,Lucarelli,Alessandro Lucarelli,2014,130,alessandro-lucarelli,Italy,Livorno,Italy,1977-07-22 00:00:00,Centre-Back,Defender,left,182.0,,,https://img.a.transfermarkt.technology/portrait/header/28022-1446236365.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alessandro-lucarelli/profil/spieler/28022,IT1,Parma Calcio 1913,100000.0,3500000.0
