player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
6075,Erjon,Bogdani,Erjon Bogdani,2012,1387,erjon-bogdani,Albania,Tiranë,Albania,1977-04-14 00:00:00,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/6075-1481706845.jpg?lm=1,,,,https://www.transfermarkt.co.uk/erjon-bogdani/profil/spieler/6075,IT1,Siena FC,200000.0,6500000.0
16902,Alessandro,Rosina,Alessandro Rosina,2012,1387,alessandro-rosina,Italy,Belvedere Marittimo,Italy,1984-01-31 00:00:00,Right Winger,Attack,left,168.0,,,https://img.a.transfermarkt.technology/portrait/header/16902-1476267292.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alessandro-rosina/profil/spieler/16902,IT1,Siena FC,150000.0,12500000.0
21690,Daniele,Mannini,Daniele Mannini,2012,1387,daniele-mannini,Italy,Pisa,Italy,1983-10-25 00:00:00,Right Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/21690-1478679661.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniele-mannini/profil/spieler/21690,IT1,Siena FC,200000.0,6000000.0
21701,Simone,Vergassola,Simone Vergassola,2012,1387,simone-vergassola,Italy,La Spezia,Italy,1976-01-24 00:00:00,Defensive Midfield,Midfield,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/s_21701_1387_2014_03_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/simone-vergassola/profil/spieler/21701,IT1,Siena FC,75000.0,3500000.0
21913,Andrea,Campagnolo,Andrea Campagnolo,2012,1387,andrea-campagnolo,Italy,Rosà,Italy,1978-06-17 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_21913_1429_2013_10_01_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andrea-campagnolo/profil/spieler/21913,IT1,Siena FC,150000.0,3300000.0
23364,Francesco,Parravicini,Francesco Parravicini,2012,1387,francesco-parravicini,Italy,Milano,Italy,1982-01-31 00:00:00,Defensive Midfield,Midfield,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/s_23364_6692_2013_09_27_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/francesco-parravicini/profil/spieler/23364,IT1,Siena FC,50000.0,2000000.0
23365,,Reginaldo,Reginaldo,2012,1387,reginaldo,Brazil,Jundiaí,Brazil,1983-07-31 00:00:00,Centre-Forward,Attack,right,175.0,2024-06-30 00:00:00,Soccer 3,https://img.a.transfermarkt.technology/portrait/header/23365-1666043408.png?lm=1,,,,https://www.transfermarkt.co.uk/reginaldo/profil/spieler/23365,IT1,Siena FC,10000.0,3500000.0
28026,Massimo,Paci,Massimo Paci,2012,1387,massimo-paci,Italy,Fermo,Italy,1978-05-09 00:00:00,Centre-Back,Defender,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/s_28026_19_2013_09_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/massimo-paci/profil/spieler/28026,IT1,Siena FC,75000.0,1800000.0
28935,Paolo,Dellafiore,Paolo Dellafiore,2012,1387,paolo-dellafiore,Argentina,Buenos Aires,Italy,1985-02-02 00:00:00,Centre-Back,Defender,right,186.0,,Filippo Cavadini,https://img.a.transfermarkt.technology/portrait/header/28935-1451057877.png?lm=1,,,,https://www.transfermarkt.co.uk/paolo-dellafiore/profil/spieler/28935,IT1,Siena FC,10000.0,3200000.0
30505,,Zé Love,Zé Love,2012,1387,ze-love,Brazil,Promissão,Brazil,1987-10-29 00:00:00,Centre-Forward,Attack,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/30505-1541059112.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ze-love/profil/spieler/30505,IT1,Siena FC,700000.0,4000000.0
32966,,Angelo,Angelo,2012,1387,angelo,Brazil,Salvador,Brazil,1981-06-12 00:00:00,Right-Back,Defender,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/32966-1418288763.jpg?lm=1,,,,https://www.transfermarkt.co.uk/angelo/profil/spieler/32966,IT1,Siena FC,50000.0,1500000.0
41311,Michele,Paolucci,Michele Paolucci,2012,1387,michele-paolucci,Italy,Recanati,Italy,1986-02-06 00:00:00,Centre-Forward,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_41311_22045_2014_02_06_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michele-paolucci/profil/spieler/41311,IT1,Siena FC,200000.0,3500000.0
41989,Francesco,Valiani,Francesco Valiani,2012,1387,francesco-valiani,Italy,Pistoia,Italy,1980-10-29 00:00:00,Central Midfield,Midfield,right,175.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/41989-1611836541.jpg?lm=1,,,,https://www.transfermarkt.co.uk/francesco-valiani/profil/spieler/41989,IT1,Siena FC,75000.0,2500000.0
55932,Carlos,Matheu,Carlos Matheu,2012,1387,carlos-matheu,Argentina,Quilmes,Argentina,1985-05-13 00:00:00,Centre-Back,Defender,right,182.0,,M.S.C. Management,https://img.a.transfermarkt.technology/portrait/header/55932-1637752089.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carlos-matheu/profil/spieler/55932,IT1,Siena FC,50000.0,3000000.0
63502,Matías,Martínez,Matías Martínez,2012,1387,matias-martinez,Argentina,Resistencia,Argentina,1988-03-24 00:00:00,Centre-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_63502_1387_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matias-martinez/profil/spieler/63502,IT1,Siena FC,600000.0,2500000.0
72587,Ribair,Rodríguez,Ribair Rodríguez,2012,1387,ribair-rodriguez,Uruguay,Montevideo,Uruguay,1987-10-04 00:00:00,Defensive Midfield,Midfield,right,182.0,2023-12-31 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/72587-1471615872.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ribair-rodriguez/profil/spieler/72587,IT1,Siena FC,25000.0,1200000.0
102990,Fabrizio,Grillo,Fabrizio Grillo,2012,1387,fabrizio-grillo,Italy,Roma,Italy,1987-02-02 00:00:00,Left-Back,Defender,left,177.0,,Reset Group Srl,https://img.a.transfermarkt.technology/portrait/header/102990-1457691723.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fabrizio-grillo/profil/spieler/102990,IT1,Siena FC,50000.0,700000.0
167297,Federico,Marini,Federico Marini,2012,1387,federico-marini,Italy,Siena,Italy,1994-03-28 00:00:00,Goalkeeper,Goalkeeper,right,,,,https://img.a.transfermarkt.technology/portrait/header/s_167297_1387_2013_04_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/federico-marini/profil/spieler/167297,IT1,Siena FC,25000.0,100000.0
245032,Emanuele,Geria,Emanuele Geria,2012,1387,emanuele-geria,Italy,Reggio di Calabria,Italy,1995-07-29 00:00:00,Goalkeeper,Goalkeeper,,190.0,,,https://img.a.transfermarkt.technology/portrait/header/245032-1457602285.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emanuele-geria/profil/spieler/245032,IT1,Siena FC,50000.0,100000.0
