player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
5793,Giovanni,Pasquale,Giovanni Pasquale,2015,410,giovanni-pasquale,Italy,Venaria Reale,Italy,1982-01-05 00:00:00,Left-Back,Defender,left,182.0,,,https://img.a.transfermarkt.technology/portrait/header/5793-1449132811.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giovanni-pasquale/profil/spieler/5793,IT1,Udinese Calcio,300000.0,5000000.0
5893,Giampiero,Pinzi,Giampiero Pinzi,2015,410,giampiero-pinzi,Italy,Roma,Italy,1981-03-11 00:00:00,Central Midfield,Midfield,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/5893-1542313878.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giampiero-pinzi/profil/spieler/5893,IT1,Udinese Calcio,100000.0,4000000.0
6031,Antonio,Di Natale,Antonio Di Natale,2015,410,antonio-di-natale,Italy,Napoli,Italy,1977-10-13 00:00:00,Centre-Forward,Attack,right,170.0,,,https://img.a.transfermarkt.technology/portrait/header/6031-1455531708.jpg?lm=1,,,,https://www.transfermarkt.co.uk/antonio-di-natale/profil/spieler/6031,IT1,Udinese Calcio,1000000.0,15000000.0
6033,Francesco,Lodi,Francesco Lodi,2016,410,francesco-lodi,Italy,Napoli,Italy,1984-03-23 00:00:00,Defensive Midfield,Midfield,left,183.0,2023-06-30 00:00:00,Andrea Cattoli,https://img.a.transfermarkt.technology/portrait/header/6033-1449132604.jpg?lm=1,,,,https://www.transfermarkt.co.uk/francesco-lodi/profil/spieler/6033,IT1,Udinese Calcio,25000.0,7000000.0
6750,Maurizio,Domizzi,Maurizio Domizzi,2015,410,maurizio-domizzi,Italy,Roma,Italy,1980-06-28 00:00:00,Centre-Back,Defender,left,185.0,,,https://img.a.transfermarkt.technology/portrait/header/6750-1551290675.png?lm=1,,,,https://www.transfermarkt.co.uk/maurizio-domizzi/profil/spieler/6750,IT1,Udinese Calcio,200000.0,5000000.0
7373,Albert,Riera,Albert Riera,2014,410,albert-riera,Spain,Manacor,Spain,1982-04-15 00:00:00,Left Midfield,Midfield,left,188.0,,,https://img.a.transfermarkt.technology/portrait/header/s_7373_141_2013_09_05_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/albert-riera/profil/spieler/7373,IT1,Udinese Calcio,300000.0,16000000.0
7797,Albano,Bizzarri,Albano Bizzarri,2017,410,albano-bizzarri,Argentina,Etruria,Argentina,1977-11-09 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,Matteo Materazzi,https://img.a.transfermarkt.technology/portrait/header/7797-1449062281.jpg?lm=1,,,,https://www.transfermarkt.co.uk/albano-bizzarri/profil/spieler/7797,IT1,Udinese Calcio,200000.0,3500000.0
15981,Álex,Geijo,Álex Geijo,2015,410,alex-geijo,Switzerland,Genève,Spain,1982-03-11 00:00:00,Centre-Forward,Attack,both,188.0,,,https://img.a.transfermarkt.technology/portrait/header/15981-1535524479.png?lm=1,,,,https://www.transfermarkt.co.uk/alex-geijo/profil/spieler/15981,IT1,Udinese Calcio,50000.0,2000000.0
19636,Panagiotis,Kone,Panagiotis Kone,2018,410,panagiotis-kone,Albania,Tirana,Greece,1987-07-26 00:00:00,Central Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/19636-1418723053.jpg?lm=1,,,,https://www.transfermarkt.co.uk/panagiotis-kone/profil/spieler/19636,IT1,Udinese Calcio,800000.0,6000000.0
27807,Daniele,Padelli,Daniele Padelli,2025,410,daniele-padelli,Italy,Lecco,Italy,1985-10-25 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2026-06-30 00:00:00,Mondial,https://img.a.transfermarkt.technology/portrait/header/27807-1630653305.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/daniele-padelli/profil/spieler/27807,IT1,Udinese Calcio,150000.0,2000000.0
35564,Fernando,Llorente,Fernando Llorente,2020,410,fernando-llorente,Spain,Pamplona,Spain,1985-02-26 00:00:00,Centre-Forward,Attack,right,195.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/35564-1447240179.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fernando-llorente/profil/spieler/35564,IT1,Udinese Calcio,300000.0,30000000.0
37981,Sebastian,Prödl,Sebastian Prödl,2020,410,sebastian-prodl,Austria,Graz,Austria,1987-06-21 00:00:00,Centre-Back,Defender,right,194.0,,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/37981-1522230175.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sebastian-prodl/profil/spieler/37981,IT1,Udinese Calcio,200000.0,4000000.0
43082,Nicola,Belmonte,Nicola Belmonte,2014,410,nicola-belmonte,Italy,Cosenza,Italy,1987-04-15 00:00:00,Centre-Back,Defender,right,183.0,,Matteo Materazzi,https://img.a.transfermarkt.technology/portrait/header/43082-1418722719.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nicola-belmonte/profil/spieler/43082,IT1,Udinese Calcio,250000.0,1250000.0
44368,Federico,Gerardi,Federico Gerardi,2012,410,federico-gerardi,Italy,Pordenone,Italy,1987-12-10 00:00:00,Centre-Forward,Attack,right,190.0,,MIC.CO FOOTBALL STAR,https://img.a.transfermarkt.technology/portrait/header/44368-1666043721.png?lm=1,,,,https://www.transfermarkt.co.uk/federico-gerardi/profil/spieler/44368,IT1,Udinese Calcio,100000.0,350000.0
44948,Fernando,Forestieri,Fernando Forestieri,2021,410,fernando-forestieri,Argentina,Rosario,Italy,1990-01-15 00:00:00,Second Striker,Attack,right,172.0,2023-11-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/44948-1599638135.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fernando-forestieri/profil/spieler/44948,IT1,Udinese Calcio,800000.0,7000000.0
46477,Mathias,Ranégie,Mathias Ranégie,2016,410,mathias-ranegie,Sweden,Göteborg,Sweden,1984-06-14 00:00:00,Centre-Forward,Attack,right,196.0,,,https://img.a.transfermarkt.technology/portrait/header/46477-1485960816.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mathias-ranegie/profil/spieler/46477,IT1,Udinese Calcio,250000.0,2000000.0
47513,Mato,Jajalo,Mato Jajalo,2022,410,mato-jajalo,Jugoslawien (SFR),Jajce,Bosnia-Herzegovina,1988-05-25 00:00:00,Defensive Midfield,Midfield,right,182.0,2025-06-30 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/47513-1630652559.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mato-jajalo/profil/spieler/47513,IT1,Udinese Calcio,250000.0,3500000.0
