player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
690,Ivan,Klasnic,Ivan Klasnic,2012,39,ivan-klasnic,Germany,Hamburg,Croatia,1980-01-29 00:00:00,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/690-1684327921.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ivan-klasnic/profil/spieler/690,L1,1. Fußball- und Sportverein Mainz 05,500000.0,12000000.0
892,Heinz,Müller,Heinz Müller,2013,39,heinz-muller,Germany,Frankfurt am Main,Germany,1978-05-30 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/892-1571139995.jpg?lm=1,,,,https://www.transfermarkt.co.uk/heinz-muller/profil/spieler/892,L1,1. Fußball- und Sportverein Mainz 05,200000.0,2250000.0
1139,Nikolce,Noveski,Nikolce Noveski,2014,39,nikolce-noveski,Jugoslawien (SFR),Bitola,North Macedonia,1979-04-28 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/1139-1406741263.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikolce-noveski/profil/spieler/1139,L1,1. Fußball- und Sportverein Mainz 05,500000.0,3000000.0
1784,René,Adler,René Adler,2018,39,rene-adler,East Germany (GDR),Leipzig,Germany,1985-01-15 00:00:00,Goalkeeper,Goalkeeper,,,,11WINS,https://img.a.transfermarkt.technology/portrait/header/1784-1532594587.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rene-adler/profil/spieler/1784,L1,1. Fußball- und Sportverein Mainz 05,500000.0,16000000.0
3817,Malik,Fathi,Malik Fathi,2013,39,malik-fathi,Germany,Berlin,Germany,1983-10-29 00:00:00,Left-Back,Defender,left,185.0,,ISM Matchplan GmbH,https://img.a.transfermarkt.technology/portrait/header/3817-1669393593.jpg?lm=1,,,,https://www.transfermarkt.co.uk/malik-fathi/profil/spieler/3817,L1,1. Fußball- und Sportverein Mainz 05,100000.0,4000000.0
4672,Nigel,de Jong,Nigel de Jong,2017,39,nigel-de-jong,Netherlands,Amsterdam,Netherlands,1984-11-30 00:00:00,Defensive Midfield,Midfield,right,174.0,,Juzzt Football,https://img.a.transfermarkt.technology/portrait/header/4672-1448982742.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nigel-de-jong/profil/spieler/4672,L1,1. Fußball- und Sportverein Mainz 05,400000.0,21000000.0
14974,Bo,Svensson,Bo Svensson,2013,39,bo-svensson,Denmark,Skorping,Denmark,1979-08-04 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/s_14974_39_2013_07_09_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bo-svensson/profil/spieler/14974,L1,1. Fußball- und Sportverein Mainz 05,500000.0,3000000.0
21227,Zdenek,Pospech,Zdenek Pospech,2013,39,zdenek-pospech,CSSR,Opava,Czech Republic,1978-12-14 00:00:00,Right-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/s_21227_39_2013_07_09_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/zdenek-pospech/profil/spieler/21227,L1,1. Fußball- und Sportverein Mainz 05,50000.0,2000000.0
24001,Gianluca,Curci,Gianluca Curci,2015,39,gianluca-curci,Italy,Roma,Italy,1985-07-12 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/24001-1440399555.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gianluca-curci/profil/spieler/24001,L1,1. Fußball- und Sportverein Mainz 05,400000.0,8000000.0
24856,Radoslav,Zabavnik,Radoslav Zabavnik,2012,39,radoslav-zabavnik,CSSR,Košice,Slovakia,1980-09-16 00:00:00,Left-Back,Defender,both,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_24856_39_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/radoslav-zabavnik/profil/spieler/24856,L1,1. Fußball- und Sportverein Mainz 05,150000.0,1500000.0
