player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1126,Matthias,Lehmann,Matthias Lehmann,2017,3,matthias-lehmann,Germany,Ulm,Germany,1983-05-28 00:00:00,Defensive Midfield,Midfield,,,,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/1126-1531736056.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matthias-lehmann/profil/spieler/1126,L1,1. Fußball-Club Köln,250000.0,2500000.0
5072,Thomas,Kessler,Thomas Kessler,2019,3,thomas-kessler,Germany,Köln,Germany,1986-01-20 00:00:00,Goalkeeper,Goalkeeper,right,197.0,,Robert Schneider,https://img.a.transfermarkt.technology/portrait/header/5072-1531735715.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-kessler/profil/spieler/5072,L1,1. Fußball-Club Köln,250000.0,2000000.0
6322,Patrick,Helmes,Patrick Helmes,2014,3,patrick-helmes,Germany,Köln,Germany,,Centre-Forward,Attack,both,182.0,,,https://img.a.transfermarkt.technology/portrait/header/6322-1406671929.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-helmes/profil/spieler/6322,L1,1. Fußball-Club Köln,1000000.0,10000000.0
8246,Philipp,Pentke,Philipp Pentke,2023,3,philipp-pentke,East Germany (GDR),Freiberg,Germany,1985-05-01 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2025-06-30 00:00:00,Bigpoint,https://img.a.transfermarkt.technology/portrait/header/8246-1721139872.jpg?lm=1,,,,https://www.transfermarkt.co.uk/philipp-pentke/profil/spieler/8246,L1,1. Fußball-Club Köln,300000.0,400000.0
13686,Thomas,Bröker,Thomas Bröker,2014,3,thomas-broker,Germany,Meppen,Germany,1985-01-22 00:00:00,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/13686-1500293640.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-broker/profil/spieler/13686,L1,1. Fußball-Club Köln,125000.0,1000000.0
15300,Miso,Brecko,Miso Brecko,2014,3,miso-brecko,Jugoslawien (SFR),Trbovlje,Slovenia,1984-05-01 00:00:00,Right-Back,Defender,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/15300-1499182752.jpg?lm=1,,,,https://www.transfermarkt.co.uk/miso-brecko/profil/spieler/15300,L1,1. Fußball-Club Köln,250000.0,2500000.0
16565,Daniel,Halfar,Daniel Halfar,2014,3,daniel-halfar,Germany,Mannheim,Germany,,Attacking Midfield,Midfield,left,173.0,,,https://img.a.transfermarkt.technology/portrait/header/16565-1516652514.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-halfar/profil/spieler/16565,L1,1. Fußball-Club Köln,400000.0,1750000.0
16956,Slawomir,Peszko,Slawomir Peszko,2014,3,slawomir-peszko,Poland,Jasło,Poland,1985-02-19 00:00:00,Left Winger,Attack,right,173.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/16956-1580393314.png?lm=1,,,,https://www.transfermarkt.co.uk/slawomir-peszko/profil/spieler/16956,L1,1. Fußball-Club Köln,150000.0,4000000.0
21327,Ron-Robert,Zieler,Ron-Robert Zieler,2025,3,ron-robert-zieler,Germany,Köln,Germany,1989-02-12 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/21327-1752743213.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/ron-robert-zieler/profil/spieler/21327,L1,1. Fußball-Club Köln,500000.0,9500000.0
34543,Dusan,Svento,Dusan Svento,2015,3,dusan-svento,CSSR,Ružomberok,Slovakia,1985-08-01 00:00:00,Left-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/34543-1437391476.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dusan-svento/profil/spieler/34543,L1,1. Fußball-Club Köln,300000.0,3500000.0
