player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
823,Hanno,Balitsch,Hanno Balitsch,2013,4,hanno-balitsch,Germany,Darmstadt,Germany,1981-01-02 00:00:00,Defensive Midfield,Midfield,right,182.0,,Siebert & Backs,https://img.a.transfermarkt.technology/portrait/header/s_823_4_2012_5.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hanno-balitsch/profil/spieler/823,L1,1.FC Nuremberg,200000.0,4000000.0
1094,Emanuel,Pogatetz,Emanuel Pogatetz,2013,4,emanuel-pogatetz,Austria,Graz,Austria,1983-01-16 00:00:00,Centre-Back,Defender,left,191.0,,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/1094-1500910107.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emanuel-pogatetz/profil/spieler/1094,L1,1.FC Nuremberg,200000.0,6000000.0
1150,Raphael,Schäfer,Raphael Schäfer,2013,4,raphael-schafer,Poland,Kędzierzyn-Koźle,Germany,1979-01-30 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/1150-1470048142.jpg?lm=1,,,,https://www.transfermarkt.co.uk/raphael-schafer/profil/spieler/1150,L1,1.FC Nuremberg,200000.0,5000000.0
2154,Patric,Klandt,Patric Klandt,2018,4,patric-klandt,Germany,Frankfurt am Main,Germany,1983-09-29 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/2154-1625771324.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patric-klandt/profil/spieler/2154,L1,1.FC Nuremberg,50000.0,1250000.0
7358,Javier,Pinola,Javier Pinola,2013,4,javier-pinola,Argentina,Olivos,Argentina,1983-02-24 00:00:00,Centre-Back,Defender,left,180.0,,Marcelo Carracedo,https://img.a.transfermarkt.technology/portrait/header/7358-1625770650.png?lm=1,,,,https://www.transfermarkt.co.uk/javier-pinola/profil/spieler/7358,L1,1.FC Nuremberg,125000.0,6000000.0
14334,,Marcos António,Marcos António,2012,4,marcos-antonio,Brazil,Alagoinhas,Brazil,1983-05-25 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/s_14334_4_2012_4.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcos-antonio/profil/spieler/14334,L1,1.FC Nuremberg,300000.0,1800000.0
21345,Alexander,Stephan,Alexander Stephan,2013,4,alexander-stephan,Germany,Erlangen,Germany,1986-09-15 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/21345-1437130668.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexander-stephan/profil/spieler/21345,L1,1.FC Nuremberg,50000.0,400000.0
30308,Ivo,Ilicevic,Ivo Ilicevic,2018,4,ivo-ilicevic,Germany,Aschaffenburg,Croatia,1986-11-14 00:00:00,Left Winger,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/30308-1437382894.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ivo-ilicevic/profil/spieler/30308,L1,1.FC Nuremberg,400000.0,5500000.0
40605,Enrico,Valentini,Enrico Valentini,2018,4,enrico-valentini,Germany,Nürnberg,Germany,1989-02-20 00:00:00,Right-Back,Defender,right,182.0,2023-06-30 00:00:00,Soccer-Concept AG,https://img.a.transfermarkt.technology/portrait/header/40605-1625771553.jpg?lm=1,,,,https://www.transfermarkt.co.uk/enrico-valentini/profil/spieler/40605,L1,1.FC Nuremberg,300000.0,2000000.0
42463,Timo,Gebhart,Timo Gebhart,2013,4,timo-gebhart,Germany,Memmingen,Germany,,Attacking Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/42463-1566401030.jpg?lm=1,,,,https://www.transfermarkt.co.uk/timo-gebhart/profil/spieler/42463,L1,1.FC Nuremberg,100000.0,5000000.0
51325,Georg,Margreitter,Georg Margreitter,2018,4,georg-margreitter,Austria,Bludenz,Austria,1988-11-07 00:00:00,Centre-Back,Defender,right,186.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/51325-1630734011.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georg-margreitter/profil/spieler/51325,L1,1.FC Nuremberg,100000.0,3000000.0
57091,Hanno,Behrens,Hanno Behrens,2018,4,hanno-behrens,Germany,Elmshorn,Germany,1990-03-26 00:00:00,Central Midfield,Midfield,right,188.0,2025-06-30 00:00:00,Marcus Marin,https://img.a.transfermarkt.technology/portrait/header/57091-1656943396.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hanno-behrens/profil/spieler/57091,L1,1.FC Nuremberg,250000.0,3500000.0
82361,Christian,Mathenia,Christian Mathenia,2018,4,christian-mathenia,Germany,Mainz,Germany,1992-03-31 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2024-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/82361-1659622559.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-mathenia/profil/spieler/82361,L1,1.FC Nuremberg,600000.0,2500000.0
85201,Patrick,Rakovsky,Patrick Rakovsky,2013,4,patrick-rakovsky,Germany,Olpe,Germany,1993-06-02 00:00:00,Goalkeeper,Goalkeeper,left,187.0,2023-11-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/85201-1689928836.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-rakovsky/profil/spieler/85201,L1,1.FC Nuremberg,150000.0,1000000.0
85866,Roussel,Ngankam,Roussel Ngankam,2012,4,roussel-ngankam,Cameroon,Bafang,Germany,1993-09-15 00:00:00,Centre-Forward,Attack,right,180.0,,Michael Gurski,https://img.a.transfermarkt.technology/portrait/header/85866-1632212282.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roussel-ngankam/profil/spieler/85866,L1,1.FC Nuremberg,50000.0,250000.0
86172,Mu,Kanazaki,Mu Kanazaki,2012,4,mu-kanazaki,Japan,"Tsu, Mie",Japan,1989-02-16 00:00:00,Centre-Forward,Attack,right,182.0,2024-01-31 00:00:00,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/86172-1493885103.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mu-kanazaki/profil/spieler/86172,L1,1.FC Nuremberg,200000.0,2000000.0
93534,Sebastian,Gärtner,Sebastian Gärtner,2013,4,sebastian-gartner,Germany,Nürnberg,Germany,1993-02-03 00:00:00,Defensive Midfield,Midfield,,,,,https://img.a.transfermarkt.technology/portrait/header/93534-1470245403.JPG?lm=1,,,,https://www.transfermarkt.co.uk/sebastian-gartner/profil/spieler/93534,L1,1.FC Nuremberg,75000.0,175000.0
119194,Noah,Korczowski,Noah Korczowski,2012,4,noah-korczowski,Germany,Marl,Germany,1994-01-08 00:00:00,Centre-Back,Defender,right,188.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/119194-1652816774.jpg?lm=1,,,,https://www.transfermarkt.co.uk/noah-korczowski/profil/spieler/119194,L1,1.FC Nuremberg,100000.0,350000.0
120834,Markus,Mendler,Markus Mendler,2013,4,markus-mendler,Germany,Memmingen,Germany,1993-01-07 00:00:00,Left Winger,Attack,left,173.0,2024-06-30 00:00:00,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/120834-1660850127.jpg?lm=1,,,,https://www.transfermarkt.co.uk/markus-mendler/profil/spieler/120834,L1,1.FC Nuremberg,175000.0,1000000.0
124403,Manuel,Bihr,Manuel Bihr,2013,4,manuel-bihr,Germany,Herrenberg,Thailand,1993-09-17 00:00:00,Centre-Back,Defender,right,184.0,2023-12-31 00:00:00,GLOBALL SPORTS GmbH,https://img.a.transfermarkt.technology/portrait/header/124403-1485030512.jpg?lm=1,,,,https://www.transfermarkt.co.uk/manuel-bihr/profil/spieler/124403,L1,1.FC Nuremberg,200000.0,350000.0
