player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
26,Roman,Weidenfeller,Roman Weidenfeller,2017,16,roman-weidenfeller,Germany,Diez,Germany,1980-08-06 00:00:00,Goalkeeper,Goalkeeper,left,190.0,,Neubauer 13 GmbH,https://img.a.transfermarkt.technology/portrait/header/26-1502448725.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roman-weidenfeller/profil/spieler/26,L1,Borussia Dortmund,750000.0,8000000.0
410,Sebastian,Kehl,Sebastian Kehl,2014,16,sebastian-kehl,Germany,Fulda,Germany,1980-02-13 00:00:00,Defensive Midfield,Midfield,left,187.0,,,https://img.a.transfermarkt.technology/portrait/header/410-1521112298.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sebastian-kehl/profil/spieler/410,L1,Borussia Dortmund,1000000.0,9000000.0
1073,Manuel,Friedrich,Manuel Friedrich,2013,16,manuel-friedrich,Germany,Bad Kreuznach,Germany,1979-09-13 00:00:00,Centre-Back,Defender,,,,Dr. Michael Becker,https://img.a.transfermarkt.technology/portrait/header/s_1073_15_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/manuel-friedrich/profil/spieler/1073,L1,Borussia Dortmund,500000.0,5500000.0
2150,Oliver,Kirch,Oliver Kirch,2014,16,oliver-kirch,Germany,Soest,Germany,1982-08-21 00:00:00,Defensive Midfield,Midfield,right,182.0,,Dirk Hebel,https://img.a.transfermarkt.technology/portrait/header/2150-1437469739.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oliver-kirch/profil/spieler/2150,L1,Borussia Dortmund,500000.0,1800000.0
2374,Patrick,Owomoyela,Patrick Owomoyela,2012,16,patrick-owomoyela,Germany,Hamburg,Germany,1979-11-05 00:00:00,Right-Back,Defender,right,187.0,,Uwe Kathmann,https://img.a.transfermarkt.technology/portrait/header/2374-1474018576.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-owomoyela/profil/spieler/2374,L1,Borussia Dortmund,200000.0,5000000.0
25727,Lukasz,Piszczek,Lukasz Piszczek,2020,16,lukasz-piszczek,Poland,Czechowice-Dziedzice,Poland,1985-06-03 00:00:00,Right-Back,Defender,right,184.0,,BMG-SPORT,https://img.a.transfermarkt.technology/portrait/header/25727-1534236284.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lukasz-piszczek/profil/spieler/25727,L1,Borussia Dortmund,750000.0,16000000.0
35208,Marcel,Schmelzer,Marcel Schmelzer,2021,16,marcel-schmelzer,East Germany (GDR),Magdeburg,Germany,1988-01-22 00:00:00,Left-Back,Defender,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/35208-1534236479.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcel-schmelzer/profil/spieler/35208,L1,Borussia Dortmund,500000.0,10000000.0
45685,Marc,Hornschuh,Marc Hornschuh,2014,16,marc-hornschuh,Germany,Dortmund,Germany,1991-03-02 00:00:00,Centre-Back,Defender,right,188.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/45685-1647955328.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marc-hornschuh/profil/spieler/45685,L1,Borussia Dortmund,200000.0,700000.0
47594,Zlatan,Alomerovic,Zlatan Alomerovic,2014,16,zlatan-alomerovic,Jugoslawien (SFR),Priboj,Serbia,1991-06-15 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/47594-1580389241.png?lm=1,,,,https://www.transfermarkt.co.uk/zlatan-alomerovic/profil/spieler/47594,L1,Borussia Dortmund,450000.0,500000.0
76158,Alexander,Meyer,Alexander Meyer,2025,16,alexander-meyer,Germany,Bad Oldesloe,Germany,1991-04-13 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2027-06-30 00:00:00,AKA Global GmbH,https://img.a.transfermarkt.technology/portrait/header/76158-1716381651.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexander-meyer/profil/spieler/76158,L1,Borussia Dortmund,800000.0,1000000.0
85867,Nico,Schulz,Nico Schulz,2022,16,nico-schulz,Germany,Berlin,Germany,1993-04-01 00:00:00,Left-Back,Defender,left,180.0,2024-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/85867-1615389612.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nico-schulz/profil/spieler/85867,L1,Borussia Dortmund,800000.0,25000000.0
87645,Bálint,Bajner,Bálint Bajner,2012,16,balint-bajner,Hungary,Szombathely,Hungary,1990-11-18 00:00:00,Centre-Forward,Attack,right,197.0,,Number 1 Sports GmbH,https://img.a.transfermarkt.technology/portrait/header/s_87645_17_2013_07_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/balint-bajner/profil/spieler/87645,L1,Borussia Dortmund,25000.0,250000.0
94192,Patrick,Drewes,Patrick Drewes,2025,16,patrick-drewes,Germany,Delmenhorst,Germany,1993-02-04 00:00:00,Goalkeeper,Goalkeeper,right,194.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/94192-1721851751.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-drewes/profil/spieler/94192,L1,Borussia Dortmund,400000.0,1000000.0
104220,Hendrik,Bonmann,Hendrik Bonmann,2016,16,hendrik-bonmann,Germany,Essen,Germany,1994-01-22 00:00:00,Goalkeeper,Goalkeeper,right,194.0,2024-06-30 00:00:00,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/104220-1661533416.png?lm=1,,,,https://www.transfermarkt.co.uk/hendrik-bonmann/profil/spieler/104220,L1,Borussia Dortmund,350000.0,400000.0
105577,Tammo,Harder,Tammo Harder,2013,16,tammo-harder,Germany,Dülmen,Germany,1994-01-04 00:00:00,Second Striker,Attack,both,174.0,,,https://img.a.transfermarkt.technology/portrait/header/105577-1556228237.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tammo-harder/profil/spieler/105577,L1,Borussia Dortmund,50000.0,550000.0
106987,Marcel,Sabitzer,Marcel Sabitzer,2025,16,marcel-sabitzer,Austria,Wels,Austria,1994-03-17 00:00:00,Central Midfield,Midfield,right,178.0,2027-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/106987-1711745992.jpg?lm=1,96.0,24.0,,https://www.transfermarkt.co.uk/marcel-sabitzer/profil/spieler/106987,L1,Borussia Dortmund,7000000.0,42000000.0
111900,Ju-ho,Park,Ju-ho Park,2016,16,ju-ho-park,"Korea, South","Yongin, Gyeonggi","Korea, South",1987-01-16 00:00:00,Left-Back,Defender,left,176.0,,GSEN Inc,https://img.a.transfermarkt.technology/portrait/header/111900-1585390172.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ju-ho-park/profil/spieler/111900,L1,Borussia Dortmund,300000.0,2500000.0
119296,Emre,Can,Emre Can,2025,16,emre-can,Germany,Frankfurt am Main,Germany,1994-01-12 00:00:00,Centre-Back,Defender,right,186.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/119296-1709561046.jpg?lm=1,48.0,2.0,,https://www.transfermarkt.co.uk/emre-can/profil/spieler/119296,L1,Borussia Dortmund,4000000.0,40000000.0
