player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
886,Jens,Langeneke,Jens Langeneke,2012,38,jens-langeneke,Germany,Lippstadt,Germany,1977-03-29 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_886_38_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jens-langeneke/profil/spieler/886,L1,Fortuna Düsseldorf,100000.0,800000.0
992,Christian,Weber,Christian Weber,2012,38,christian-weber,Germany,Saarbrücken,Germany,1983-09-15 00:00:00,Right-Back,Defender,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/992-1406701002.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-weber/profil/spieler/992,L1,Fortuna Düsseldorf,50000.0,1500000.0
1568,Stefan,Reisinger,Stefan Reisinger,2012,38,stefan-reisinger,Germany,Landshut,Germany,1981-09-14 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_1568_38_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefan-reisinger/profil/spieler/1568,L1,Fortuna Düsseldorf,500000.0,1500000.0
1772,Du-ri,Cha,Du-ri Cha,2012,38,du-ri-cha,Germany,Frankfurt am Main,"Korea, South",1980-07-25 00:00:00,Right-Back,Defender,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/s_1772_38_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/du-ri-cha/profil/spieler/1772,L1,Fortuna Düsseldorf,825000.0,1500000.0
2421,Michael,Rensing,Michael Rensing,2019,38,michael-rensing,Germany,Lingen,Germany,1984-05-14 00:00:00,Goalkeeper,Goalkeeper,right,190.0,,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/2421-1531731363.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michael-rensing/profil/spieler/2421,L1,Fortuna Düsseldorf,300000.0,4500000.0
2712,Nando,Rafael,Nando Rafael,2012,38,nando-rafael,Angola,Luanda,Angola,1984-01-10 00:00:00,Centre-Forward,Attack,both,180.0,,,https://img.a.transfermarkt.technology/portrait/header/2712-1438178524.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nando-rafael/profil/spieler/2712,L1,Fortuna Düsseldorf,250000.0,2000000.0
6457,Axel,Bellinghausen,Axel Bellinghausen,2012,38,axel-bellinghausen,Germany,Siegburg,Germany,1983-05-17 00:00:00,Left Midfield,Midfield,left,182.0,,Robert Schneider,https://img.a.transfermarkt.technology/portrait/header/6457-1499432216.jpg?lm=1,,,,https://www.transfermarkt.co.uk/axel-bellinghausen/profil/spieler/6457,L1,Fortuna Düsseldorf,100000.0,2000000.0
8640,Andreas,Lambertz,Andreas Lambertz,2012,38,andreas-lambertz,Germany,Dormagen,Germany,1984-10-15 00:00:00,Central Midfield,Midfield,right,172.0,,,https://img.a.transfermarkt.technology/portrait/header/8640-1537711042.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andreas-lambertz/profil/spieler/8640,L1,Fortuna Düsseldorf,25000.0,1500000.0
11268,Oliver,Fink,Oliver Fink,2019,38,oliver-fink,Germany,Hirschau,Germany,1982-06-06 00:00:00,Central Midfield,Midfield,right,187.0,,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/11268-1531730908.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oliver-fink/profil/spieler/11268,L1,Fortuna Düsseldorf,100000.0,1250000.0
12864,Jaroslav,Drobny,Jaroslav Drobny,2018,38,jaroslav-drobny,CSSR,Počátky,Czech Republic,1979-10-18 00:00:00,Goalkeeper,Goalkeeper,right,192.0,,,https://img.a.transfermarkt.technology/portrait/header/12864-1500536538.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jaroslav-drobny/profil/spieler/12864,L1,Fortuna Düsseldorf,50000.0,5500000.0
