player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1335,Steven,Cherundolo,Steven Cherundolo,2013,42,steven-cherundolo,United States,"Rockford, Illinois",United States,1979-02-19 00:00:00,Right-Back,Defender,right,172.0,,ARP Sportmarketing,https://img.a.transfermarkt.technology/portrait/header/1335-1493297939.jpg?lm=1,,,,https://www.transfermarkt.co.uk/steven-cherundolo/profil/spieler/1335,L1,Hannover 96,750000.0,4000000.0
1586,Christian,Schulz,Christian Schulz,2015,42,christian-schulz,Germany,Bassum,Germany,1983-04-01 00:00:00,Centre-Back,Defender,left,185.0,,ARP Sportmarketing,https://img.a.transfermarkt.technology/portrait/header/1586-1603735799.JPG?lm=1,,,,https://www.transfermarkt.co.uk/christian-schulz/profil/spieler/1586,L1,Hannover 96,100000.0,4500000.0
1587,Mario,Eggimann,Mario Eggimann,2012,42,mario-eggimann,Switzerland,Brugg,Switzerland,,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/1587-1406722979.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mario-eggimann/profil/spieler/1587,L1,Hannover 96,400000.0,3000000.0
2306,Markus,Miller,Markus Miller,2014,42,markus-miller,Germany,Lindenberg im Allgäu,Germany,1982-04-08 00:00:00,Goalkeeper,Goalkeeper,right,189.0,,ARP Sportmarketing,https://img.a.transfermarkt.technology/portrait/header/2306-1406703633.jpg?lm=1,,,,https://www.transfermarkt.co.uk/markus-miller/profil/spieler/2306,L1,Hannover 96,300000.0,3500000.0
2805,Christian,Pander,Christian Pander,2014,42,christian-pander,Germany,Münster,Germany,1983-08-28 00:00:00,Left-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/2805-1406703815.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-pander/profil/spieler/2805,L1,Hannover 96,250000.0,6500000.0
2950,Robert,Almer,Robert Almer,2014,42,robert-almer,Austria,Bruck/Mur,Austria,,Goalkeeper,Goalkeeper,left,194.0,,,https://img.a.transfermarkt.technology/portrait/header/2950-1500975551.jpg?lm=1,,,,https://www.transfermarkt.co.uk/robert-almer/profil/spieler/2950,L1,Hannover 96,250000.0,1000000.0
3114,Jan,Schlaudraff,Jan Schlaudraff,2014,42,jan-schlaudraff,Germany,Waldbröl,Germany,1983-07-18 00:00:00,Second Striker,Attack,right,180.0,,Christian Nilles,https://img.a.transfermarkt.technology/portrait/header/3114-1406703917.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jan-schlaudraff/profil/spieler/3114,L1,Hannover 96,750000.0,4500000.0
3816,Sofian,Chahed,Sofian Chahed,2012,42,sofian-chahed,Germany,Berlin,Tunisia,1983-04-18 00:00:00,Right-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/s_3816_42_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sofian-chahed/profil/spieler/3816,L1,Hannover 96,500000.0,2000000.0
5966,Marius,Stankevicius,Marius Stankevicius,2014,42,marius-stankevicius,UdSSR,Kaunas,Lithuania,1981-07-15 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/5966-1617204783.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marius-stankevicius/profil/spieler/5966,L1,Hannover 96,25000.0,3000000.0
14533,Pirmin,Schwegler,Pirmin Schwegler,2018,42,pirmin-schwegler,Switzerland,Ettiswil,Switzerland,1987-03-09 00:00:00,Defensive Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/14533-1532072440.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pirmin-schwegler/profil/spieler/14533,L1,Hannover 96,800000.0,6000000.0
