player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
10250,Fabio,Coltorti,Fabio Coltorti,2017,23826,fabio-coltorti,Switzerland,Kriens,Switzerland,1980-12-03 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/10250-1503302138.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fabio-coltorti/profil/spieler/10250,L1,RasenBallsport Leipzig,200000.0,2000000.0
21726,Philipp,Tschauner,Philipp Tschauner,2021,23826,philipp-tschauner,Germany,Schwabach,Germany,1985-11-03 00:00:00,Goalkeeper,Goalkeeper,right,196.0,,,https://img.a.transfermarkt.technology/portrait/header/21726-1532072651.jpg?lm=1,,,,https://www.transfermarkt.co.uk/philipp-tschauner/profil/spieler/21726,L1,RasenBallsport Leipzig,300000.0,1500000.0
53418,Kevin,Kampl,Kevin Kampl,2024,23826,kevin-kampl,Germany,Solingen,Slovenia,1990-10-09 00:00:00,Central Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/53418-1742828221.jpg?lm=1,28.0,2.0,,https://www.transfermarkt.co.uk/kevin-kampl/profil/spieler/53418,L1,RasenBallsport Leipzig,3500000.0,22000000.0
57071,Péter,Gulácsi,Péter Gulácsi,2025,23826,peter-gulacsi,Hungary,Budapest,Hungary,1990-05-06 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/57071-1719214600.jpg?lm=1,58.0,0.0,,https://www.transfermarkt.co.uk/peter-gulacsi/profil/spieler/57071,L1,RasenBallsport Leipzig,2000000.0,13000000.0
70243,Marcel,Halstenberg,Marcel Halstenberg,2022,23826,marcel-halstenberg,Germany,Laatzen,Germany,1991-09-27 00:00:00,Left-Back,Defender,left,188.0,2024-06-30 00:00:00,TrueSports GmbH,https://img.a.transfermarkt.technology/portrait/header/70243-1663686641.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcel-halstenberg/profil/spieler/70243,L1,RasenBallsport Leipzig,2500000.0,22000000.0
93740,Willi,Orbán,Willi Orbán,2025,23826,willi-orban,Germany,Kaiserslautern,Hungary,1992-11-03 00:00:00,Centre-Back,Defender,right,186.0,2027-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/93740-1724337179.jpg?lm=1,64.0,6.0,,https://www.transfermarkt.co.uk/willi-orban/profil/spieler/93740,L1,RasenBallsport Leipzig,6000000.0,20000000.0
94559,Nils,Quaschner,Nils Quaschner,2016,23826,nils-quaschner,Germany,Stralsund,Germany,1994-04-22 00:00:00,Centre-Forward,Attack,right,184.0,,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/94559-1532075298.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nils-quaschner/profil/spieler/94559,L1,RasenBallsport Leipzig,200000.0,500000.0
160971,Leopold,Zingerle,Leopold Zingerle,2025,23826,leopold-zingerle,Germany,München,Germany,1994-04-10 00:00:00,Goalkeeper,Goalkeeper,right,182.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/160971-1770713811.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/leopold-zingerle/profil/spieler/160971,L1,RasenBallsport Leipzig,400000.0,1500000.0
196822,Ken,Gipson,Ken Gipson,2016,23826,ken-gipson,Germany,Ludwigsburg,Germany,1996-02-24 00:00:00,Right-Back,Defender,right,178.0,2025-06-30 00:00:00,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/196822-1629054205.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ken-gipson/profil/spieler/196822,L1,RasenBallsport Leipzig,100000.0,200000.0
202591,Benjamin,Henrichs,Benjamin Henrichs,2025,23826,benjamin-henrichs,Germany,Bocholt,Germany,1997-02-23 00:00:00,Right-Back,Defender,right,185.0,2028-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/202591-1715858341.jpg?lm=1,19.0,0.0,,https://www.transfermarkt.co.uk/benjamin-henrichs/profil/spieler/202591,L1,RasenBallsport Leipzig,9000000.0,20000000.0
