player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1257,Michael,Ratajczak,Michael Ratajczak,2019,127,michael-ratajczak,Germany,Herne,Germany,1982-04-16 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/1257-1531727028.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michael-ratajczak/profil/spieler/1257,L1,SC Paderborn 07,50000.0,1000000.0
2201,Lukas,Kruse,Lukas Kruse,2014,127,lukas-kruse,Germany,Paderborn,Germany,1983-07-09 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,Günter Kutowski,https://img.a.transfermarkt.technology/portrait/header/2201-1500035722.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lukas-kruse/profil/spieler/2201,L1,SC Paderborn 07,100000.0,1000000.0
2453,Mahir,Saglik,Mahir Saglik,2014,127,mahir-saglik,Germany,Paderborn,Turkey,1983-01-18 00:00:00,Centre-Forward,Attack,left,178.0,,,https://img.a.transfermarkt.technology/portrait/header/2453-1626705033.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mahir-saglik/profil/spieler/2453,L1,SC Paderborn 07,50000.0,1400000.0
10503,Uwe,Hünemeier,Uwe Hünemeier,2019,127,uwe-hunemeier,Germany,Rietberg,Germany,1986-01-09 00:00:00,Centre-Back,Defender,right,189.0,2023-06-30 00:00:00,Bigpoint,https://img.a.transfermarkt.technology/portrait/header/10503-1657096731.jpg?lm=1,,,,https://www.transfermarkt.co.uk/uwe-hunemeier/profil/spieler/10503,L1,SC Paderborn 07,200000.0,2250000.0
16315,Rafa,López,Rafa López,2014,127,rafa-lopez,Spain,Peñafiel,Spain,1985-04-09 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/16315-1438173613.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rafa-lopez/profil/spieler/16315,L1,SC Paderborn 07,250000.0,3500000.0
16743,Daniel,Brückner,Daniel Brückner,2014,127,daniel-bruckner,East Germany (GDR),Rostock,Germany,1981-02-14 00:00:00,Left-Back,Defender,left,183.0,,Soccer-Concept AG,https://img.a.transfermarkt.technology/portrait/header/16743-1468592657.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-bruckner/profil/spieler/16743,L1,SC Paderborn 07,75000.0,1100000.0
32845,Moritz,Stoppelkamp,Moritz Stoppelkamp,2014,127,moritz-stoppelkamp,Germany,Duisburg,Germany,1986-12-11 00:00:00,Left Winger,Attack,right,180.0,2023-06-30 00:00:00,KL Sportsbase,https://img.a.transfermarkt.technology/portrait/header/32845-1674415694.JPG?lm=1,,,,https://www.transfermarkt.co.uk/moritz-stoppelkamp/profil/spieler/32845,L1,SC Paderborn 07,150000.0,2500000.0
34579,Srdjan,Lakic,Srdjan Lakic,2014,127,srdjan-lakic,Jugoslawien (SFR),Dubrovnik,Croatia,1983-10-02 00:00:00,Centre-Forward,Attack,,,,Dirk Hebel,https://img.a.transfermarkt.technology/portrait/header/34579-1438174672.jpg?lm=1,,,,https://www.transfermarkt.co.uk/srdjan-lakic/profil/spieler/34579,L1,SC Paderborn 07,250000.0,6000000.0
41523,Nico,Burchert,Nico Burchert,2014,127,nico-burchert,Germany,Berlin,Germany,1987-06-24 00:00:00,Goalkeeper,Goalkeeper,left,192.0,,Soccer-Concept AG,https://img.a.transfermarkt.technology/portrait/header/41523-1406754664.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nico-burchert/profil/spieler/41523,L1,SC Paderborn 07,100000.0,100000.0
48081,Christian,Strohdiek,Christian Strohdiek,2019,127,christian-strohdiek,Germany,Paderborn,Germany,1988-01-22 00:00:00,Centre-Back,Defender,right,192.0,2023-06-30 00:00:00,EMD Sports GmbH,https://img.a.transfermarkt.technology/portrait/header/48081-1630593534.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-strohdiek/profil/spieler/48081,L1,SC Paderborn 07,150000.0,1200000.0
51069,Stefan,Kutschke,Stefan Kutschke,2014,127,stefan-kutschke,East Germany (GDR),Dresden,Germany,1988-11-03 00:00:00,Centre-Forward,Attack,right,194.0,2024-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/51069-1658135313.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefan-kutschke/profil/spieler/51069,L1,SC Paderborn 07,250000.0,1200000.0
51190,Marc,Vucinovic,Marc Vucinovic,2014,127,marc-vucinovic,Germany,Hannover,Germany,,,Missing,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/51190-1468490437.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marc-vucinovic/profil/spieler/51190,L1,SC Paderborn 07,150000.0,450000.0
54964,Patrick,Ziegler,Patrick Ziegler,2014,127,patrick-ziegler,Germany,Gräfelfing,Germany,1990-02-09 00:00:00,Centre-Back,Defender,right,187.0,,Kögl & Partner GmbH,https://img.a.transfermarkt.technology/portrait/header/54964-1516652741.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-ziegler/profil/spieler/54964,L1,SC Paderborn 07,150000.0,1000000.0
75680,Thomas,Bertels,Thomas Bertels,2014,127,thomas-bertels,Germany,Geseke,Germany,1986-11-05 00:00:00,Left-Back,Defender,left,193.0,,,https://img.a.transfermarkt.technology/portrait/header/75680-1531726488.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-bertels/profil/spieler/75680,L1,SC Paderborn 07,200000.0,700000.0
93571,Florian,Hartherz,Florian Hartherz,2014,127,florian-hartherz,Germany,Offenbach am Main,Germany,1993-05-29 00:00:00,Left Midfield,Midfield,left,187.0,2023-06-30 00:00:00,Soccertalk GmbH,https://img.a.transfermarkt.technology/portrait/header/93571-1677232523.jpg?lm=1,,,,https://www.transfermarkt.co.uk/florian-hartherz/profil/spieler/93571,L1,SC Paderborn 07,250000.0,1250000.0
93841,Ben,Zolinski,Ben Zolinski,2019,127,ben-zolinski,Germany,Berlin,Germany,1992-05-03 00:00:00,Right Winger,Attack,right,181.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/93841-1660554026.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ben-zolinski/profil/spieler/93841,L1,SC Paderborn 07,350000.0,900000.0
125315,Daniel,Lück,Daniel Lück,2014,127,daniel-luck,Germany,Oberkochen,Germany,1991-05-18 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/125315-1501074366.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-luck/profil/spieler/125315,L1,SC Paderborn 07,200000.0,300000.0
151636,Marlon,Ritter,Marlon Ritter,2019,127,marlon-ritter,Germany,Essen,Germany,1994-10-15 00:00:00,Central Midfield,Midfield,right,173.0,,KL Sportsbase,https://img.a.transfermarkt.technology/portrait/header/151636-1660553516.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marlon-ritter/profil/spieler/151636,L1,SC Paderborn 07,700000.0,700000.0
159239,Dennis,Srbeny,Dennis Srbeny,2019,127,dennis-srbeny,Germany,Berlin,Germany,1994-05-05 00:00:00,Centre-Forward,Attack,right,190.0,2023-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/159239-1657097298.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dennis-srbeny/profil/spieler/159239,L1,SC Paderborn 07,800000.0,1500000.0
161060,Streli,Mamba,Streli Mamba,2019,127,streli-mamba,Germany,Göppingen,Germany,1994-06-17 00:00:00,Centre-Forward,Attack,right,177.0,2023-12-31 00:00:00,Soccer and more,https://img.a.transfermarkt.technology/portrait/header/161060-1617206090.png?lm=1,,,,https://www.transfermarkt.co.uk/streli-mamba/profil/spieler/161060,L1,SC Paderborn 07,250000.0,2000000.0
195781,Mirnes,Pepic,Mirnes Pepic,2014,127,mirnes-pepic,Yugoslavia (Republic),Podgorica,Montenegro,1995-12-19 00:00:00,Central Midfield,Midfield,right,178.0,2023-06-30 00:00:00,Clever Sports GmbH,https://img.a.transfermarkt.technology/portrait/header/195781-1500385767.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mirnes-pepic/profil/spieler/195781,L1,SC Paderborn 07,225000.0,300000.0
223572,Kai,Pröger,Kai Pröger,2019,127,kai-proger,Germany,Wilhelmshaven,Germany,1992-05-15 00:00:00,Right Winger,Attack,right,177.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/223572-1657270796.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kai-proger/profil/spieler/223572,L1,SC Paderborn 07,800000.0,1800000.0
244280,Tim,Welker,Tim Welker,2014,127,tim-welker,Germany,Kassel,Germany,1993-09-08 00:00:00,Centre-Back,Defender,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/244280-1508950420.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tim-welker/profil/spieler/244280,L1,SC Paderborn 07,25000.0,150000.0
254934,Jamilu,Collins,Jamilu Collins,2019,127,jamilu-collins,Nigeria,Kaduna,Nigeria,1994-08-05 00:00:00,Left-Back,Defender,left,183.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/254934-1611767250.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jamilu-collins/profil/spieler/254934,L1,SC Paderborn 07,800000.0,3000000.0
259150,Leon,Brüggemeier,Leon Brüggemeier,2019,127,leon-bruggemeier,Germany,Salzkotten,Germany,1997-08-23 00:00:00,Goalkeeper,Goalkeeper,both,193.0,,,https://img.a.transfermarkt.technology/portrait/header/259150-1631216735.JPG?lm=1,,,,https://www.transfermarkt.co.uk/leon-bruggemeier/profil/spieler/259150,L1,SC Paderborn 07,50000.0,100000.0
342364,Babacar,Gueye,Babacar Gueye,2019,127,babacar-gueye,Senegal,Dakar,Senegal,1994-12-31 00:00:00,Centre-Forward,Attack,right,193.0,,Alvesesportes,https://img.a.transfermarkt.technology/portrait/header/342364-1532072160.jpg?lm=1,,,,https://www.transfermarkt.co.uk/babacar-gueye/profil/spieler/342364,L1,SC Paderborn 07,350000.0,750000.0
347642,Dominik,Bilogrevic,Dominik Bilogrevic,2019,127,dominik-bilogrevic,Germany,Gummersbach,Croatia,1999-01-02 00:00:00,Defensive Midfield,Midfield,both,190.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/347642-1660071339.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/dominik-bilogrevic/profil/spieler/347642,L1,SC Paderborn 07,50000.0,75000.0
374283,Antony,Evans,Antony Evans,2019,127,antony-evans,England,Liverpool,England,1998-09-23 00:00:00,Attacking Midfield,Midfield,right,186.0,2025-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/374283-1580206028.jpg?lm=1,,,,https://www.transfermarkt.co.uk/antony-evans/profil/spieler/374283,L1,SC Paderborn 07,500000.0,500000.0
379961,Jan-Luca,Rumpf,Jan-Luca Rumpf,2019,127,jan-luca-rumpf,Germany,Wiesbaden,Germany,1999-07-08 00:00:00,Centre-Back,Defender,right,190.0,2023-06-30 00:00:00,CS,https://img.a.transfermarkt.technology/portrait/header/379961-1635533612.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jan-luca-rumpf/profil/spieler/379961,L1,SC Paderborn 07,125000.0,150000.0
598281,Adrian,Oeynhausen,Adrian Oeynhausen,2019,127,adrian-oeynhausen,Germany,Bad Driburg,Germany,2002-01-18 00:00:00,Defensive Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/598281-1600285917.jpg?lm=1,,,,https://www.transfermarkt.co.uk/adrian-oeynhausen/profil/spieler/598281,L1,SC Paderborn 07,75000.0,150000.0
