player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
532,Claudio,Pizarro,Claudio Pizarro,2019,86,claudio-pizarro,Peru,Callao,Peru,1978-10-03 00:00:00,Centre-Forward,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/532-1535124277.jpg?lm=1,,,,https://www.transfermarkt.co.uk/claudio-pizarro/profil/spieler/532,L1,Sportverein Werder Bremen von 1899,400000.0,12000000.0
643,Christian,Vander,Christian Vander,2012,86,christian-vander,Germany,Willich,Germany,1980-10-24 00:00:00,Goalkeeper,Goalkeeper,right,195.0,,,https://img.a.transfermarkt.technology/portrait/header/s_643_86_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-vander/profil/spieler/643,L1,Sportverein Werder Bremen von 1899,100000.0,600000.0
1277,Clemens,Fritz,Clemens Fritz,2016,86,clemens-fritz,East Germany (GDR),Erfurt,Germany,1980-12-07 00:00:00,Right-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/1277-1470745177.jpg?lm=1,,,,https://www.transfermarkt.co.uk/clemens-fritz/profil/spieler/1277,L1,Sportverein Werder Bremen von 1899,750000.0,7000000.0
5017,Niklas,Moisander,Niklas Moisander,2020,86,niklas-moisander,Finland,Turku,Finland,1985-09-29 00:00:00,Centre-Back,Defender,left,183.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/5017-1535124028.jpg?lm=1,,,,https://www.transfermarkt.co.uk/niklas-moisander/profil/spieler/5017,L1,Sportverein Werder Bremen von 1899,300000.0,6500000.0
31007,Zlatko,Junuzovic,Zlatko Junuzovic,2017,86,zlatko-junuzovic,Jugoslawien (SFR),Loznica,Austria,1987-09-26 00:00:00,Central Midfield,Midfield,right,172.0,,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/31007-1601103595.png?lm=1,,,,https://www.transfermarkt.co.uk/zlatko-junuzovic/profil/spieler/31007,L1,Sportverein Werder Bremen von 1899,800000.0,7000000.0
31159,Martin,Harnik,Martin Harnik,2019,86,martin-harnik,Germany,Hamburg,Austria,1987-06-10 00:00:00,Right Winger,Attack,right,185.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/31159-1630241930.jpg?lm=1,,,,https://www.transfermarkt.co.uk/martin-harnik/profil/spieler/31159,L1,Sportverein Werder Bremen von 1899,800000.0,11000000.0
32618,Assani,Lukimya,Assani Lukimya,2015,86,assani-lukimya,Zaire,Uvira,DR Congo,1986-01-25 00:00:00,Centre-Back,Defender,right,190.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/32618-1438066401.jpg?lm=1,,,,https://www.transfermarkt.co.uk/assani-lukimya/profil/spieler/32618,L1,Sportverein Werder Bremen von 1899,100000.0,2000000.0
36207,Fin,Bartels,Fin Bartels,2019,86,fin-bartels,Germany,Kiel,Germany,1987-02-07 00:00:00,Right Winger,Attack,right,176.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/36207-1657792838.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fin-bartels/profil/spieler/36207,L1,Sportverein Werder Bremen von 1899,300000.0,3750000.0
39094,Sebastian,Langkamp,Sebastian Langkamp,2019,86,sebastian-langkamp,Germany,Speyer,Germany,1988-01-15 00:00:00,Centre-Back,Defender,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/39094-1535124011.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sebastian-langkamp/profil/spieler/39094,L1,Sportverein Werder Bremen von 1899,500000.0,3000000.0
42033,Philipp,Bargfrede,Philipp Bargfrede,2020,86,philipp-bargfrede,Germany,Zeven,Germany,1989-03-03 00:00:00,Defensive Midfield,Midfield,right,174.0,2023-06-30 00:00:00,T21plus,https://img.a.transfermarkt.technology/portrait/header/42033-1660831477.jpg?lm=1,,,,https://www.transfermarkt.co.uk/philipp-bargfrede/profil/spieler/42033,L1,Sportverein Werder Bremen von 1899,150000.0,5000000.0
