player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1743,Patrick,Platins,Patrick Platins,2015,105,patrick-platins,Germany,Immenstadt im Allgäu,Germany,1983-04-19 00:00:00,Goalkeeper,Goalkeeper,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/1743-1438347193.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-platins/profil/spieler/1743,L1,SV Darmstadt 98,250000.0,500000.0
1792,Hamit,Altintop,Hamit Altintop,2016,105,hamit-altintop,Germany,Gelsenkirchen,Turkey,1982-12-08 00:00:00,Right Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/1792-1500629323.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hamit-altintop/profil/spieler/1792,L1,SV Darmstadt 98,300000.0,11000000.0
2926,György,Garics,György Garics,2015,105,gyorgy-garics,Hungary,Szombathely,Austria,1984-03-08 00:00:00,Right-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/2926-1464944981.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gyorgy-garics/profil/spieler/2926,L1,SV Darmstadt 98,100000.0,3000000.0
4691,Peter,Niemeyer,Peter Niemeyer,2016,105,peter-niemeyer,Germany,Mettingen,Germany,1983-11-22 00:00:00,Defensive Midfield,Midfield,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/4691-1500628736.jpg?lm=1,,,,https://www.transfermarkt.co.uk/peter-niemeyer/profil/spieler/4691,L1,SV Darmstadt 98,200000.0,2500000.0
11765,Aytac,Sulu,Aytac Sulu,2016,105,aytac-sulu,Germany,Heidelberg,Germany,1985-12-11 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/11765-1532513759.jpg?lm=1,,,,https://www.transfermarkt.co.uk/aytac-sulu/profil/spieler/11765,L1,SV Darmstadt 98,125000.0,2000000.0
16628,Michael,Stegmayer,Michael Stegmayer,2015,105,michael-stegmayer,Germany,Heidenheim,Germany,1985-01-12 00:00:00,Left-Back,Defender,left,176.0,,,https://img.a.transfermarkt.technology/portrait/header/16628-1438347433.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michael-stegmayer/profil/spieler/16628,L1,SV Darmstadt 98,250000.0,600000.0
16726,Markus,Steinhöfer,Markus Steinhöfer,2016,105,markus-steinhofer,Germany,Weißenburg,Germany,1986-03-07 00:00:00,Right-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/16726-1551135561.jpg?lm=1,,,,https://www.transfermarkt.co.uk/markus-steinhofer/profil/spieler/16726,L1,SV Darmstadt 98,250000.0,3000000.0
18277,Marco,Sailer,Marco Sailer,2015,105,marco-sailer,Germany,Schwäbisch Hall,Germany,1985-11-16 00:00:00,Second Striker,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/18277-1438347909.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marco-sailer/profil/spieler/18277,L1,SV Darmstadt 98,100000.0,500000.0
19736,Dominik,Stroh-Engel,Dominik Stroh-Engel,2016,105,dominik-stroh-engel,Germany,Ehringshausen,Germany,1985-11-27 00:00:00,Centre-Forward,Attack,right,197.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/19736-1471000996.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dominik-stroh-engel/profil/spieler/19736,L1,SV Darmstadt 98,50000.0,900000.0
21039,Milan,Ivana,Milan Ivana,2015,105,milan-ivana,CSSR,Kálnica,Slovakia,1983-11-26 00:00:00,Right Midfield,Midfield,right,170.0,,,https://img.a.transfermarkt.technology/portrait/header/21039-1517739113.jpg?lm=1,,,,https://www.transfermarkt.co.uk/milan-ivana/profil/spieler/21039,L1,SV Darmstadt 98,75000.0,1000000.0
31123,Benjamin,Gorka,Benjamin Gorka,2016,105,benjamin-gorka,Germany,Mannheim,Germany,1984-04-15 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/31123-1471000658.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benjamin-gorka/profil/spieler/31123,L1,SV Darmstadt 98,150000.0,400000.0
31173,Jan,Rosenthal,Jan Rosenthal,2016,105,jan-rosenthal,Germany,Sulingen,Germany,1986-04-07 00:00:00,Second Striker,Attack,right,186.0,,Siebert & Backs,https://img.a.transfermarkt.technology/portrait/header/31173-1500628749.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jan-rosenthal/profil/spieler/31173,L1,SV Darmstadt 98,125000.0,3000000.0
32273,Lukasz,Zaluska,Lukasz Zaluska,2015,105,lukasz-zaluska,Poland,Wysokie Mazowieckie,Poland,1982-06-16 00:00:00,Goalkeeper,Goalkeeper,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/32273-1550590144.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lukasz-zaluska/profil/spieler/32273,L1,SV Darmstadt 98,100000.0,2000000.0
33078,Florian,Jungwirth,Florian Jungwirth,2016,105,florian-jungwirth,Germany,Gräfelfing,Germany,1989-01-27 00:00:00,Centre-Back,Defender,right,181.0,,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/33078-1618851271.jpg?lm=1,,,,https://www.transfermarkt.co.uk/florian-jungwirth/profil/spieler/33078,L1,SV Darmstadt 98,250000.0,1500000.0
35383,Júnior,Díaz,Júnior Díaz,2016,105,junior-diaz,Costa Rica,San José,Costa Rica,1983-09-12 00:00:00,Centre-Back,Defender,left,185.0,,,https://img.a.transfermarkt.technology/portrait/header/35383-1471000628.jpg?lm=1,,,,https://www.transfermarkt.co.uk/junior-diaz/profil/spieler/35383,L1,SV Darmstadt 98,75000.0,2000000.0
35852,Victor,Obinna,Victor Obinna,2016,105,victor-obinna,Nigeria,Jos,Nigeria,1987-03-25 00:00:00,Second Striker,Attack,,,,Good Sportmanagement,https://img.a.transfermarkt.technology/portrait/header/35852-1471000959.jpg?lm=1,,,,https://www.transfermarkt.co.uk/victor-obinna/profil/spieler/35852,L1,SV Darmstadt 98,250000.0,7000000.0
40456,Sandro,Sirigu,Sandro Sirigu,2016,105,sandro-sirigu,Germany,Ulm,Germany,1988-10-07 00:00:00,Defensive Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/40456-1612076047.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sandro-sirigu/profil/spieler/40456,L1,SV Darmstadt 98,125000.0,900000.0
42072,Tobias,Kempe,Tobias Kempe,2023,105,tobias-kempe,Germany,Wesel,Germany,1989-06-27 00:00:00,Central Midfield,Midfield,right,184.0,2025-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/42072-1689058527.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tobias-kempe/profil/spieler/42072,L1,SV Darmstadt 98,500000.0,1250000.0
49737,Yannick,Stark,Yannick Stark,2016,105,yannick-stark,Germany,Darmstadt,Germany,1990-10-28 00:00:00,Defensive Midfield,Midfield,right,186.0,2024-06-30 00:00:00,Football+ CM,https://img.a.transfermarkt.technology/portrait/header/49737-1669109201.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yannick-stark/profil/spieler/49737,L1,SV Darmstadt 98,125000.0,1200000.0
54846,Fabian,Holland,Fabian Holland,2023,105,fabian-holland,Germany,Berlin,Germany,1990-07-11 00:00:00,Left-Back,Defender,left,172.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/54846-1689058137.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fabian-holland/profil/spieler/54846,L1,SV Darmstadt 98,500000.0,1000000.0
55512,Wilson,Kamavuaka,Wilson Kamavuaka,2016,105,wilson-kamavuaka,Germany,Düren,DR Congo,1990-03-29 00:00:00,Defensive Midfield,Midfield,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/55512-1532513556.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wilson-kamavuaka/profil/spieler/55512,L1,SV Darmstadt 98,100000.0,750000.0
57598,Klaus,Gjasula,Klaus Gjasula,2023,105,klaus-gjasula,Albania,Tiranë,Albania,1989-12-14 00:00:00,Defensive Midfield,Midfield,both,190.0,,,https://img.a.transfermarkt.technology/portrait/header/57598-1689058178.jpg?lm=1,,,,https://www.transfermarkt.co.uk/klaus-gjasula/profil/spieler/57598,L1,SV Darmstadt 98,400000.0,900000.0
77812,Christoph,Zimmermann,Christoph Zimmermann,2023,105,christoph-zimmermann,Germany,Düsseldorf,Germany,1993-01-12 00:00:00,Centre-Back,Defender,right,194.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/77812-1689058647.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christoph-zimmermann/profil/spieler/77812,L1,SV Darmstadt 98,1000000.0,3500000.0
