player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
162,Marc,Ziegler,Marc Ziegler,2012,79,marc-ziegler,Germany,Blieskastel,Germany,1976-06-13 00:00:00,Goalkeeper,Goalkeeper,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/s_162_79_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marc-ziegler/profil/spieler/162,L1,Verein für Bewegungsspiele Stuttgart 1893,200000.0,1250000.0
264,Tamás,Hajnal,Tamás Hajnal,2012,79,tamas-hajnal,Hungary,Esztergom,Hungary,1981-03-15 00:00:00,Attacking Midfield,Midfield,both,167.0,,,https://img.a.transfermarkt.technology/portrait/header/s_264_79_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tamas-hajnal/profil/spieler/264,L1,Verein für Bewegungsspiele Stuttgart 1893,100000.0,6500000.0
1426,,Cacau,Cacau,2013,79,cacau,Brazil,Santo André,Germany,1981-03-27 00:00:00,Centre-Forward,Attack,right,179.0,,NESS & Network,https://img.a.transfermarkt.technology/portrait/header/1426-1461328101.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cacau/profil/spieler/1426,L1,Verein für Bewegungsspiele Stuttgart 1893,350000.0,8000000.0
6131,Tobias,Rathgeb,Tobias Rathgeb,2013,79,tobias-rathgeb,Germany,Ostfildern-Ruit,Germany,1982-05-03 00:00:00,Defensive Midfield,Midfield,left,172.0,,,https://img.a.transfermarkt.technology/portrait/header/6131-1438095188.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tobias-rathgeb/profil/spieler/6131,L1,Verein für Bewegungsspiele Stuttgart 1893,100000.0,1800000.0
6288,Mario,Gómez,Mario Gómez,2018,79,mario-gomez,Germany,Riedlingen,Germany,1985-07-10 00:00:00,Centre-Forward,Attack,right,189.0,,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/6288-1683668325.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mario-gomez/profil/spieler/6288,L1,Verein für Bewegungsspiele Stuttgart 1893,800000.0,42000000.0
17885,Karim,Haggui,Karim Haggui,2014,79,karim-haggui,Tunisia,Kasserine,Tunisia,1984-01-20 00:00:00,Centre-Back,Defender,,,,ARP Sportmarketing,https://img.a.transfermarkt.technology/portrait/header/17885-1438158455.jpg?lm=1,,,,https://www.transfermarkt.co.uk/karim-haggui/profil/spieler/17885,L1,Verein für Bewegungsspiele Stuttgart 1893,350000.0,6000000.0
19354,Dennis,Aogo,Dennis Aogo,2018,79,dennis-aogo,Germany,Karlsruhe,Germany,1987-01-14 00:00:00,Left-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/19354-1567162080.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dennis-aogo/profil/spieler/19354,L1,Verein für Bewegungsspiele Stuttgart 1893,475000.0,8000000.0
20276,Florian,Klein,Florian Klein,2015,79,florian-klein,Austria,Linz,Austria,1986-11-17 00:00:00,Right-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/20276-1535373887.jpg?lm=1,,,,https://www.transfermarkt.co.uk/florian-klein/profil/spieler/20276,L1,Verein für Bewegungsspiele Stuttgart 1893,400000.0,2500000.0
28163,Francisco,Rodríguez,Francisco Rodríguez,2012,79,francisco-rodriguez,Mexico,Mazatlán,Mexico,1981-10-20 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/28163-1506524466.jpg?lm=1,,,,https://www.transfermarkt.co.uk/francisco-rodriguez/profil/spieler/28163,L1,Verein für Bewegungsspiele Stuttgart 1893,500000.0,3500000.0
44521,Kevin,Großkreutz,Kevin Großkreutz,2015,79,kevin-grosskreutz,Germany,Dortmund,Germany,1988-07-19 00:00:00,Right-Back,Defender,right,186.0,2025-06-30 00:00:00,KL Sportsbase,https://img.a.transfermarkt.technology/portrait/header/44521-1500628267.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kevin-grosskreutz/profil/spieler/44521,L1,Verein für Bewegungsspiele Stuttgart 1893,200000.0,10000000.0
