player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1726,Heiko,Westermann,Heiko Westermann,2016,610,heiko-westermann,Germany,Alzenau,Germany,1983-08-14 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,,,,https://www.transfermarkt.co.uk/heiko-westermann/profil/spieler/1726,NL1,AFC Ajax Amsterdam,400000.0,9000000.0
4311,Maarten,Stekelenburg,Maarten Stekelenburg,2022,610,maarten-stekelenburg,,Haarlem,,1982-09-22 00:00:00,Goalkeeper,Goalkeeper,right,197.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/4311-1666951999.jpg?lm=1,,,,https://www.transfermarkt.co.uk/maarten-stekelenburg/profil/spieler/4311,NL1,AFC Ajax Amsterdam,75000.0,11000000.0
4315,Johnny,Heitinga,Johnny Heitinga,2015,610,johnny-heitinga,Netherlands,Alphen aan den Rijn,Netherlands,1983-11-15 00:00:00,Centre-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/4315-1406751625.jpg?lm=1,,,,https://www.transfermarkt.co.uk/johnny-heitinga/profil/spieler/4315,NL1,AFC Ajax Amsterdam,1000000.0,12000000.0
4357,Klaas-Jan,Huntelaar,Klaas-Jan Huntelaar,2020,610,klaas-jan-huntelaar,Netherlands,Voor-Drempt,Netherlands,1983-08-12 00:00:00,Centre-Forward,Attack,right,186.0,,Soccer Vision ,https://img.a.transfermarkt.technology/portrait/header/4357-1684166367.jpg?lm=1,,,,https://www.transfermarkt.co.uk/klaas-jan-huntelaar/profil/spieler/4357,NL1,AFC Ajax Amsterdam,800000.0,20000000.0
129554,Steven,Berghuis,Steven Berghuis,2025,610,steven-berghuis,Netherlands,Apeldoorn,Netherlands,1991-12-19 00:00:00,Right Winger,Attack,left,182.0,2027-06-30 00:00:00,PUM,https://img.a.transfermarkt.technology/portrait/header/129554-1668696215.jpg?lm=1,46.0,2.0,,https://www.transfermarkt.co.uk/steven-berghuis/profil/spieler/129554,NL1,AFC Ajax Amsterdam,2500000.0,15000000.0
182932,Davy,Klaassen,Davy Klaassen,2025,610,davy-klaassen,Netherlands,Hilversum,Netherlands,1993-02-21 00:00:00,Central Midfield,Midfield,right,179.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/182932-1726562366.jpg?lm=1,41.0,10.0,,https://www.transfermarkt.co.uk/davy-klaassen/profil/spieler/182932,NL1,AFC Ajax Amsterdam,2500000.0,22000000.0
203853,Oleksandr,Zinchenko,Oleksandr Zinchenko,2025,610,oleksandr-zinchenko,Ukraine,"Radomyshl, Zhytomyr Oblast",Ukraine,1996-12-15 00:00:00,Left-Back,Defender,left,175.0,2026-06-30 00:00:00,UniqueFA,https://img.a.transfermarkt.technology/portrait/header/203853-1688658681.jpg?lm=1,75.0,12.0,,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853,NL1,AFC Ajax Amsterdam,10000000.0,42000000.0
228645,Wout,Weghorst,Wout Weghorst,2025,610,wout-weghorst,Netherlands,Borne,Netherlands,1992-08-07 00:00:00,Centre-Forward,Attack,right,197.0,2026-06-30 00:00:00,One II Agency,https://img.a.transfermarkt.technology/portrait/header/228645-1727259675.jpg?lm=1,49.0,14.0,,https://www.transfermarkt.co.uk/wout-weghorst/profil/spieler/228645,NL1,AFC Ajax Amsterdam,2500000.0,30000000.0
258353,Abdelhak,Nouri,Abdelhak Nouri,2017,610,abdelhak-nouri,Netherlands,Amsterdam,Netherlands,1997-04-02 00:00:00,Central Midfield,Midfield,right,170.0,,Muy Manero,https://img.a.transfermarkt.technology/portrait/header/258353-1476187529.jpg?lm=1,,,,https://www.transfermarkt.co.uk/abdelhak-nouri/profil/spieler/258353,NL1,AFC Ajax Amsterdam,2500000.0,2500000.0
283196,Kasper,Dolberg,Kasper Dolberg,2025,610,kasper-dolberg,Denmark,Silkeborg,Denmark,1997-10-06 00:00:00,Centre-Forward,Attack,right,187.0,2029-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/283196-1725633296.jpg?lm=1,56.0,12.0,,https://www.transfermarkt.co.uk/kasper-dolberg/profil/spieler/283196,NL1,AFC Ajax Amsterdam,10000000.0,23000000.0
