player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
55756,Agil,Etemadi,Agil Etemadi,2023,723,agil-etemadi,Iran,Tehran,Iran,1987-04-23 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,SportLife Management,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/agil-etemadi/profil/spieler/55756,NL1,Almere City FC,75000.0,250000.0
90343,Danny,Post,Danny Post,2023,723,danny-post,Netherlands,Amsterdam,Netherlands,1989-04-07 00:00:00,Defensive Midfield,Midfield,right,,,,https://img.a.transfermarkt.technology/portrait/header/90343-1692348233.jpg?lm=1,,,,https://www.transfermarkt.co.uk/danny-post/profil/spieler/90343,NL1,Almere City FC,75000.0,850000.0
140803,Anthony,Limbombe,Anthony Limbombe,2023,723,anthony-limbombe,Belgium,Mechelen,Belgium,1994-07-15 00:00:00,Left Winger,Attack,right,177.0,2025-06-30 00:00:00,KEYS M,https://img.a.transfermarkt.technology/portrait/header/140803-1714738362.png?lm=1,,,,https://www.transfermarkt.co.uk/anthony-limbombe/profil/spieler/140803,NL1,Almere City FC,700000.0,8000000.0
156887,Álvaro,Peña,Álvaro Peña,2023,723,alvaro-pena,Spain,Bilbao,Spain,1991-10-24 00:00:00,Central Midfield,Midfield,right,179.0,2025-06-30 00:00:00,Miguel Pedrajo,https://img.a.transfermarkt.technology/portrait/header/156887-1547729824.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alvaro-pena/profil/spieler/156887,NL1,Almere City FC,400000.0,600000.0
189650,Tim,Receveur,Tim Receveur,2024,723,tim-receveur,Netherlands,Amersfoort,Netherlands,1991-07-30 00:00:00,Defensive Midfield,Midfield,right,182.0,2026-06-30 00:00:00,SportLife Management,https://img.a.transfermarkt.technology/portrait/header/189650-1605445533.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tim-receveur/profil/spieler/189650,NL1,Almere City FC,100000.0,325000.0
262389,Àlex,Carbonell,Àlex Carbonell,2024,723,alex-carbonell,Spain,Cerdanyola del Vallés,Spain,1997-09-15 00:00:00,Central Midfield,Midfield,right,182.0,2027-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/262389-1725529089.jpg?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/alex-carbonell/profil/spieler/262389,NL1,Almere City FC,400000.0,600000.0
264567,Baptiste,Guillaume,Baptiste Guillaume,2024,723,baptiste-guillaume,Belgium,Brussel,Belgium,1995-06-16 00:00:00,Centre-Forward,Attack,right,189.0,2026-06-30 00:00:00,Kemari,https://img.a.transfermarkt.technology/portrait/header/264567-1725529168.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/baptiste-guillaume/profil/spieler/264567,NL1,Almere City FC,300000.0,4000000.0
272706,James,Lawrence,James Lawrence,2024,723,james-lawrence,England,Henley-on-Thames,Wales,1992-08-22 00:00:00,Centre-Back,Defender,left,188.0,2027-06-30 00:00:00,PUM,https://img.a.transfermarkt.technology/portrait/header/272706-1764076698.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/james-lawrence/profil/spieler/272706,NL1,Almere City FC,250000.0,1500000.0
290615,Thomas,Robinet,Thomas Robinet,2024,723,thomas-robinet,France,Saint-Priest,France,1996-08-18 00:00:00,Centre-Forward,Attack,right,180.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/290615-1725528453.jpg?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/thomas-robinet/profil/spieler/290615,NL1,Almere City FC,500000.0,800000.0
295624,Damil,Dankerlui,Damil Dankerlui,2024,723,damil-dankerlui,Netherlands,Almere,Suriname,1996-08-24 00:00:00,Right-Back,Defender,right,172.0,,Rebirth Soccer,https://img.a.transfermarkt.technology/portrait/header/295624-1503563451.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/damil-dankerlui/profil/spieler/295624,NL1,Almere City FC,200000.0,1000000.0
308265,Anas,Tahiri,Anas Tahiri,2024,723,anas-tahiri,Belgium,Brussel,Morocco,1995-05-15 00:00:00,Central Midfield,Midfield,right,179.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/308265-1725529405.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/anas-tahiri/profil/spieler/308265,NL1,Almere City FC,450000.0,1200000.0
332875,Adi,Nalic,Adi Nalic,2024,723,adi-nalic,Sweden,Sölvesborg,Bosnia-Herzegovina,1997-12-01 00:00:00,Attacking Midfield,Midfield,right,190.0,2027-06-30 00:00:00,FootNation,https://img.a.transfermarkt.technology/portrait/header/332875-1725528806.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/adi-nalic/profil/spieler/332875,NL1,Almere City FC,300000.0,800000.0
338632,Milan,Corryn,Milan Corryn,2023,723,milan-corryn,Belgium,Aalst,Belgium,1999-04-04 00:00:00,Attacking Midfield,Midfield,right,180.0,2026-06-30 00:00:00,Quadrans,https://img.a.transfermarkt.technology/portrait/header/338632-1669304147.png?lm=1,,,,https://www.transfermarkt.co.uk/milan-corryn/profil/spieler/338632,NL1,Almere City FC,200000.0,300000.0
361124,Joey,Jacobs,Joey Jacobs,2024,723,joey-jacobs,Netherlands,Purmerend,Netherlands,2000-04-10 00:00:00,Centre-Back,Defender,right,187.0,2026-06-30 00:00:00,Rondo Football,https://img.a.transfermarkt.technology/portrait/header/361124-1764076851.jpg?lm=1,1.0,1.0,,https://www.transfermarkt.co.uk/joey-jacobs/profil/spieler/361124,NL1,Almere City FC,350000.0,650000.0
367443,Jonas,Wendlinger,Jonas Wendlinger,2024,723,jonas-wendlinger,Austria,St. Johann in Tirol,Austria,2000-07-17 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2026-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/367443-1764076880.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jonas-wendlinger/profil/spieler/367443,NL1,Almere City FC,225000.0,250000.0
432698,Kornelius,Normann,Kornelius Normann,2024,723,kornelius-normann,Norway,Larvik,Norway,2001-05-06 00:00:00,Left Winger,Attack,right,175.0,2028-06-30 00:00:00,CLS Mundial,https://img.a.transfermarkt.technology/portrait/header/432698-1690966733.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/kornelius-normann/profil/spieler/432698,NL1,Almere City FC,600000.0,600000.0
458417,Stijn,Keller,Stijn Keller,2024,723,stijn-keller,Netherlands,Blaricum,Switzerland,2000-04-10 00:00:00,Goalkeeper,Goalkeeper,right,196.0,,,https://img.a.transfermarkt.technology/portrait/header/458417-1725528558.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/stijn-keller/profil/spieler/458417,NL1,Almere City FC,50000.0,75000.0
477249,Christopher,Mamengi,Christopher Mamengi,2024,723,christopher-mamengi,Netherlands,Amersfoort,Netherlands,2001-04-03 00:00:00,Centre-Back,Defender,left,189.0,2026-06-30 00:00:00,Prime11,https://img.a.transfermarkt.technology/portrait/header/477249-1725529532.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/christopher-mamengi/profil/spieler/477249,NL1,Almere City FC,300000.0,425000.0
