player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
4010,Dirk,Kuyt,Dirk Kuyt,2016,234,dirk-kuyt,Netherlands,Katwijk,Netherlands,1980-07-22 00:00:00,Right Winger,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/4010-1401971428.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dirk-kuyt/profil/spieler/4010,NL1,Feyenoord Rotterdam,1500000.0,20000000.0
4042,Brad,Jones,Brad Jones,2017,234,brad-jones,Australia,Armadale,Australia,1982-03-19 00:00:00,Goalkeeper,Goalkeeper,left,194.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_4042_31_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/brad-jones/profil/spieler/4042,NL1,Feyenoord Rotterdam,100000.0,2000000.0
4380,Robin,van Persie,Robin van Persie,2018,234,robin-van-persie,Netherlands,Rotterdam,Netherlands,1983-08-06 00:00:00,Centre-Forward,Attack,left,183.0,,SEG,https://img.a.transfermarkt.technology/portrait/header/4380-1516382956.jpg?lm=1,,,,https://www.transfermarkt.co.uk/robin-van-persie/profil/spieler/4380,NL1,Feyenoord Rotterdam,1500000.0,47500000.0
4489,Khalid,Boulahrouz,Khalid Boulahrouz,2014,234,khalid-boulahrouz,Netherlands,Maassluis,Netherlands,1981-12-28 00:00:00,Centre-Back,Defender,,,,Juzzt Football,https://img.a.transfermarkt.technology/portrait/header/4489-1492694475.jpg?lm=1,,,,https://www.transfermarkt.co.uk/khalid-boulahrouz/profil/spieler/4489,NL1,Feyenoord Rotterdam,400000.0,13000000.0
4563,Joris,Mathijsen,Joris Mathijsen,2014,234,joris-mathijsen,Netherlands,Goirle,Netherlands,1980-04-05 00:00:00,Centre-Back,Defender,,,,Juzzt Football,https://img.a.transfermarkt.technology/portrait/header/s_4563_234_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joris-mathijsen/profil/spieler/4563,NL1,Feyenoord Rotterdam,1000000.0,12000000.0
19342,Ronald,Graafland,Ronald Graafland,2014,234,ronald-graafland,Netherlands,Rotterdam,Netherlands,1979-04-30 00:00:00,Goalkeeper,Goalkeeper,left,190.0,,,https://img.a.transfermarkt.technology/portrait/header/s_19342_234_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ronald-graafland/profil/spieler/19342,NL1,Feyenoord Rotterdam,50000.0,600000.0
25523,Karim,El Ahmadi,Karim El Ahmadi,2017,234,karim-el-ahmadi,Netherlands,Enschede,Morocco,1985-01-27 00:00:00,Defensive Midfield,Midfield,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/25523-1523371802.jpg?lm=1,,,,https://www.transfermarkt.co.uk/karim-el-ahmadi/profil/spieler/25523,NL1,Feyenoord Rotterdam,275000.0,4500000.0
27491,Otman,Bakkal,Otman Bakkal,2013,234,otman-bakkal,Netherlands,Eindhoven,Netherlands,1985-02-27 00:00:00,Attacking Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/27491-1616147959.jpg?lm=1,,,,https://www.transfermarkt.co.uk/otman-bakkal/profil/spieler/27491,NL1,Feyenoord Rotterdam,750000.0,5500000.0
37217,Pär,Hansson,Pär Hansson,2016,234,par-hansson,Sweden,Vejbystrand,Sweden,1986-06-22 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/37217-1453794980.jpg?lm=1,,,,https://www.transfermarkt.co.uk/par-hansson/profil/spieler/37217,NL1,Feyenoord Rotterdam,300000.0,2500000.0
56601,Eric,Botteghin,Eric Botteghin,2020,234,eric-botteghin,Brazil,São Paulo,Brazil,1987-08-31 00:00:00,Centre-Back,Defender,right,193.0,2023-06-30 00:00:00,V4S,https://img.a.transfermarkt.technology/portrait/header/56601-1497885580.jpg?lm=1,,,,https://www.transfermarkt.co.uk/eric-botteghin/profil/spieler/56601,NL1,Feyenoord Rotterdam,500000.0,7500000.0
