player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
4487,Khalid,Sinouh,Khalid Sinouh,2012,467,khalid-sinouh,Netherlands,Amsterdam,Morocco,1975-05-02 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/khalid-sinouh/profil/spieler/4487,NL1,Nijmegen Eendracht Combinatie,100000.0,1200000.0
4513,Dennis,Gentenaar,Dennis Gentenaar,2013,467,dennis-gentenaar,Netherlands,Nijmegen,Netherlands,1975-09-30 00:00:00,Goalkeeper,Goalkeeper,,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_4513_467_2013_07_10_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dennis-gentenaar/profil/spieler/4513,NL1,Nijmegen Eendracht Combinatie,100000.0,2500000.0
4517,Jeffrey,Leiwakabessy,Jeffrey Leiwakabessy,2016,467,jeffrey-leiwakabessy,Netherlands,Nijmegen,Netherlands,1981-02-23 00:00:00,Left-Back,Defender,left,173.0,,Winny Haatrecht,https://img.a.transfermarkt.technology/portrait/header/4517-1447761950.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jeffrey-leiwakabessy/profil/spieler/4517,NL1,Nijmegen Eendracht Combinatie,100000.0,1200000.0
12115,Sjoerd,Ars,Sjoerd Ars,2015,467,sjoerd-ars,Netherlands,Terborg,Netherlands,1984-04-15 00:00:00,Centre-Forward,Attack,right,183.0,,Joris Coppes,https://img.a.transfermarkt.technology/portrait/header/12115-1470001928.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sjoerd-ars/profil/spieler/12115,NL1,Nijmegen Eendracht Combinatie,150000.0,600000.0
14170,Michael,Higdon,Michael Higdon,2013,467,michael-higdon,England,Liverpool,England,1983-09-02 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_14170_987_2013_02_11_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michael-higdon/profil/spieler/14170,NL1,Nijmegen Eendracht Combinatie,400000.0,750000.0
14551,Quincy,Owusu-Abeyie,Quincy Owusu-Abeyie,2016,467,quincy-owusu-abeyie,Netherlands,Amsterdam,Ghana,1986-04-15 00:00:00,Left Winger,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/14551-1550504385.jpg?lm=1,,,,https://www.transfermarkt.co.uk/quincy-owusu-abeyie/profil/spieler/14551,NL1,Nijmegen Eendracht Combinatie,800000.0,2750000.0
16120,Édgar,Barreto,Édgar Barreto,2021,467,edgar-barreto,Paraguay,Asunción,Paraguay,1984-07-15 00:00:00,Central Midfield,Midfield,right,180.0,,Riccardo Calleri,https://img.a.transfermarkt.technology/portrait/header/16120-1448965155.jpg?lm=1,,,,https://www.transfermarkt.co.uk/edgar-barreto/profil/spieler/16120,NL1,Nijmegen Eendracht Combinatie,250000.0,5500000.0
29903,Benjamin,Kirsten,Benjamin Kirsten,2015,467,benjamin-kirsten,East Germany (GDR),Riesa,Germany,1987-06-02 00:00:00,Goalkeeper,Goalkeeper,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/29903-1597051612.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benjamin-kirsten/profil/spieler/29903,NL1,Nijmegen Eendracht Combinatie,125000.0,1000000.0
33363,Kevin,Wattamaleo,Kevin Wattamaleo,2012,467,kevin-wattamaleo,Netherlands,Rotterdam,Netherlands,1989-01-22 00:00:00,Central Midfield,Midfield,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kevin-wattamaleo/profil/spieler/33363,NL1,Nijmegen Eendracht Combinatie,100000.0,300000.0
34784,Lasse,Schöne,Lasse Schöne,2024,467,lasse-schone,Denmark,Taastrup,Denmark,1986-05-27 00:00:00,Defensive Midfield,Midfield,right,178.0,,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/34784-1704798405.jpg?lm=1,51.0,3.0,,https://www.transfermarkt.co.uk/lasse-schone/profil/spieler/34784,NL1,Nijmegen Eendracht Combinatie,75000.0,7000000.0
