player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
2726,Romuald,Peiser,Romuald Peiser,2013,2990,romuald-peiser,France,Phalsbourg,France,1979-08-03 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/2726-1524315582.JPG?lm=1,,,,https://www.transfermarkt.co.uk/romuald-peiser/profil/spieler/2726,PO1,Académica Coimbra,75000.0,1600000.0
22723,Nuno,Piloto,Nuno Piloto,2015,2990,nuno-piloto,Portugal,Tondela,Portugal,1982-03-19 00:00:00,Central Midfield,Midfield,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/22723-1446646441.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nuno-piloto/profil/spieler/22723,PO1,Académica Coimbra,50000.0,1000000.0
26099,,Lino,Lino,2014,2990,lino,Brazil,São Paulo,Brazil,1977-06-01 00:00:00,Left-Back,Defender,left,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lino/profil/spieler/26099,PO1,Académica Coimbra,250000.0,1500000.0
30306,,Ivanildo,Ivanildo,2015,2990,ivanildo,Guinea-Bissau,Bissau,Guinea-Bissau,1986-01-09 00:00:00,Right Winger,Attack,left,176.0,,,https://img.a.transfermarkt.technology/portrait/header/30306-1446645462.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ivanildo/profil/spieler/30306,PO1,Académica Coimbra,500000.0,900000.0
34091,João,Real,João Real,2015,2990,joao-real,Portugal,Covilhã,Portugal,1983-05-13 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/34091-1550846583.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joao-real/profil/spieler/34091,PO1,Académica Coimbra,50000.0,800000.0
39932,Bédi,Buval,Bédi Buval,2013,2990,bedi-buval,France,Domont,Martinique,1986-06-16 00:00:00,Centre-Forward,Attack,,,,Mickael Libong,https://img.a.transfermarkt.technology/portrait/header/39932-1471612771.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bedi-buval/profil/spieler/39932,PO1,Académica Coimbra,100000.0,1700000.0
44171,Serge,N'Gal,Serge N'Gal,2012,2990,serge-ngal,Cameroon,Nkongsambaau,Cameroon,1986-01-13 00:00:00,Right Winger,Attack,right,173.0,,,https://img.a.transfermarkt.technology/portrait/header/s_44171_2990_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/serge-ngal/profil/spieler/44171,PO1,Académica Coimbra,25000.0,1200000.0
44662,,Schumacher,Schumacher,2014,2990,schumacher,Brazil,Curitiba,Brazil,1986-08-31 00:00:00,Centre-Forward,Attack,left,192.0,,,https://img.a.transfermarkt.technology/portrait/header/s_44662_14_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/schumacher/profil/spieler/44662,PO1,Académica Coimbra,100000.0,600000.0
45368,Carlos,Saleiro,Carlos Saleiro,2012,2990,carlos-saleiro,Portugal,Lisboa,Portugal,1986-02-25 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/45368-1441961856.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carlos-saleiro/profil/spieler/45368,PO1,Académica Coimbra,100000.0,2900000.0
56315,,Makelele,Makelele,2013,2990,makelele,Brazil,Salvador,Brazil,1985-02-26 00:00:00,Defensive Midfield,Midfield,right,173.0,,,https://img.a.transfermarkt.technology/portrait/header/s_56315_2990_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/makelele/profil/spieler/56315,PO1,Académica Coimbra,1300000.0,2000000.0
58228,,Marinho,Marinho,2015,2990,marinho,Portugal,Lisboa,Portugal,1983-04-26 00:00:00,Right Winger,Attack,left,166.0,,,https://img.a.transfermarkt.technology/portrait/header/58228-1550846413.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marinho/profil/spieler/58228,PO1,Académica Coimbra,25000.0,1500000.0
58268,,Rui Pedro,Rui Pedro,2015,2990,rui-pedro,Portugal,Vila Nova de Gaia,Portugal,1988-07-02 00:00:00,Attacking Midfield,Midfield,right,178.0,2023-06-30 00:00:00,PromoSport,https://img.a.transfermarkt.technology/portrait/header/58268-1572180551.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/rui-pedro/profil/spieler/58268,PO1,Académica Coimbra,200000.0,1700000.0
58455,Selim,Bouadla,Selim Bouadla,2015,2990,selim-bouadla,France,Rosny-sous-Bois,France,1988-08-26 00:00:00,Attacking Midfield,Midfield,left,171.0,,,https://img.a.transfermarkt.technology/portrait/header/58455-1669410417.png?lm=1,,,,https://www.transfermarkt.co.uk/selim-bouadla/profil/spieler/58455,PO1,Académica Coimbra,100000.0,800000.0
58988,,Emídio Rafael,Emídio Rafael,2015,2990,emidio-rafael,Portugal,Lisboa,Portugal,1986-01-24 00:00:00,Left-Back,Defender,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/58988-1446645306.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emidio-rafael/profil/spieler/58988,PO1,Académica Coimbra,750000.0,1200000.0
72283,Christopher,Oualembo,Christopher Oualembo,2015,2990,christopher-oualembo,France,Saint-Germain-en-Laye,DR Congo,1987-01-31 00:00:00,Right-Back,Defender,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/72283-1446646513.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christopher-oualembo/profil/spieler/72283,PO1,Académica Coimbra,500000.0,500000.0
76131,,Fábio Luis,Fábio Luis,2012,2990,fabio-luis,Brazil,Porto Alegre,Brazil,1983-08-02 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_76131_2990_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fabio-luis/profil/spieler/76131,PO1,Académica Coimbra,500000.0,500000.0
84700,John,Ogu,John Ogu,2013,2990,john-ogu,Nigeria,Lagos,Nigeria,1988-04-20 00:00:00,Central Midfield,Midfield,left,192.0,2024-06-30 00:00:00,1K Sportmanagement,https://img.a.transfermarkt.technology/portrait/header/s_84700_2990_2013_06_24_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/john-ogu/profil/spieler/84700,PO1,Académica Coimbra,150000.0,1500000.0
90294,Tripy,Makonda,Tripy Makonda,2015,2990,tripy-makonda,France,Paris,France,1990-01-24 00:00:00,Left-Back,Defender,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/90294-1446646906.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tripy-makonda/profil/spieler/90294,PO1,Académica Coimbra,50000.0,650000.0
94450,Carlos,Olascuaga,Carlos Olascuaga,2014,2990,carlos-olascuaga,Peru,Lima,Peru,1992-07-22 00:00:00,Left Winger,Attack,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/94450-1600582608.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carlos-olascuaga/profil/spieler/94450,PO1,Académica Coimbra,300000.0,350000.0
126203,Ricardo,Nascimento,Ricardo Nascimento,2015,2990,ricardo-nascimento,Brazil,Ilhéus,Brazil,1987-02-07 00:00:00,Centre-Back,Defender,left,191.0,,,https://img.a.transfermarkt.technology/portrait/header/126203-1613990591.JPG?lm=1,,,,https://www.transfermarkt.co.uk/ricardo-nascimento/profil/spieler/126203,PO1,Académica Coimbra,100000.0,1000000.0
139668,,Amessan,Amessan,2012,2990,amessan,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1990-09-27 00:00:00,Left Winger,Attack,left,177.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_139668_2990_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/amessan/profil/spieler/139668,PO1,Académica Coimbra,100000.0,300000.0
141210,,Lee Oliveira,Lee Oliveira,2015,2990,lee-oliveira,Brazil,São Paulo,Brazil,1988-03-09 00:00:00,Goalkeeper,Goalkeeper,both,188.0,,BeB,https://img.a.transfermarkt.technology/portrait/header/141210-1446645691.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lee-oliveira/profil/spieler/141210,PO1,Académica Coimbra,250000.0,400000.0
149244,,Afonso,Afonso,2012,2990,afonso,Brazil,Maceió,Brazil,1991-11-14 00:00:00,Centre-Forward,Attack,right,172.0,,Best Talent soccer,https://img.a.transfermarkt.technology/portrait/header/s_149244_2990_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/afonso/profil/spieler/149244,PO1,Académica Coimbra,200000.0,800000.0
151142,Júnior,Lopes,Júnior Lopes,2012,2990,junior-lopes,Brazil,Porto Velho,Brazil,1987-10-19 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/s_151142_2990_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/junior-lopes/profil/spieler/151142,PO1,Académica Coimbra,300000.0,300000.0
156965,Paulo,Grilo,Paulo Grilo,2013,2990,paulo-grilo,Portugal,Figueira da Foz,Portugal,1991-08-19 00:00:00,Defensive Midfield,Midfield,left,184.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/156965-1559767328.png?lm=1,,,,https://www.transfermarkt.co.uk/paulo-grilo/profil/spieler/156965,PO1,Académica Coimbra,100000.0,400000.0
158488,,Manoel,Manoel,2013,2990,manoel,Brazil,Porto Esperidião,Brazil,1989-02-01 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/158488-1487319957.jpg?lm=1,,,,https://www.transfermarkt.co.uk/manoel/profil/spieler/158488,PO1,Académica Coimbra,100000.0,1200000.0
