player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
13222,Tiago,Gomes,Tiago Gomes,2018,3349,tiago-gomes,Portugal,Oeiras,Portugal,1986-07-29 00:00:00,Left-Back,Defender,left,177.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/13222-1534350609.png?lm=1,,,,https://www.transfermarkt.co.uk/tiago-gomes/profil/spieler/13222,PO1,CD Feirense,150000.0,2000000.0
24946,,Cris,Cris,2018,3349,cris,Portugal,Oliveira de Azemeis,Portugal,1984-01-11 00:00:00,Defensive Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/24946-1534408040.png?lm=1,,,,https://www.transfermarkt.co.uk/cris/profil/spieler/24946,PO1,CD Feirense,25000.0,1000000.0
24956,,Barge,Barge,2017,3349,barge,Portugal,Ovar,Portugal,1984-01-04 00:00:00,Right-Back,Defender,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/24956-1501081135.jpg?lm=1,,,,https://www.transfermarkt.co.uk/barge/profil/spieler/24956,PO1,CD Feirense,100000.0,800000.0
29366,,Edinho,Edinho,2018,3349,edinho,Portugal,Aveiro,Portugal,1982-07-07 00:00:00,Centre-Forward,Attack,right,182.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/29366-1534350818.png?lm=1,,,,https://www.transfermarkt.co.uk/edinho/profil/spieler/29366,PO1,CD Feirense,25000.0,2500000.0
33735,,Peçanha,Peçanha,2016,3349,pecanha,Brazil,São Gonçalo,Brazil,1980-01-11 00:00:00,Goalkeeper,Goalkeeper,left,181.0,,,https://img.a.transfermarkt.technology/portrait/header/33735-1550846249.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pecanha/profil/spieler/33735,PO1,CD Feirense,50000.0,1100000.0
35617,Paulo,Monteiro,Paulo Monteiro,2016,3349,paulo-monteiro,Portugal,Guimarães,Portugal,1985-01-21 00:00:00,Centre-Back,Defender,right,191.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/35617-1477480340.png?lm=1,,,,https://www.transfermarkt.co.uk/paulo-monteiro/profil/spieler/35617,PO1,CD Feirense,75000.0,500000.0
40326,Herve,Tchami,Herve Tchami,2016,3349,herve-tchami,Cameroon,Fopounga,Cameroon,1988-02-20 00:00:00,Right Winger,Attack,,,,bgkdre Agency,https://img.a.transfermarkt.technology/portrait/header/40326-1477475803.png?lm=1,,,,https://www.transfermarkt.co.uk/herve-tchami/profil/spieler/40326,PO1,CD Feirense,150000.0,400000.0
45045,,Guima,Guima,2016,3349,guima,Portugal,Santa Maria da Feira,Portugal,1986-03-11 00:00:00,Centre-Forward,Attack,both,194.0,,,https://img.a.transfermarkt.technology/portrait/header/45045-1477475938.png?lm=1,,,,https://www.transfermarkt.co.uk/guima/profil/spieler/45045,PO1,CD Feirense,100000.0,700000.0
52337,Michal,Miskiewicz,Michal Miskiewicz,2017,3349,michal-miskiewicz,Poland,Kraków,Poland,1989-01-20 00:00:00,Goalkeeper,Goalkeeper,right,194.0,,,https://img.a.transfermarkt.technology/portrait/header/52337-1549464110.png?lm=1,,,,https://www.transfermarkt.co.uk/michal-miskiewicz/profil/spieler/52337,PO1,CD Feirense,200000.0,450000.0
64672,Jean Sony,Alcénat,Jean Sony Alcénat,2017,3349,jean-sony-alcenat,Haiti,Port-au-Prince,Haiti,1986-01-23 00:00:00,Right-Back,Defender,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/64672-1501081127.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jean-sony-alcenat/profil/spieler/64672,PO1,CD Feirense,200000.0,1700000.0
80462,,Babanco,Babanco,2018,3349,babanco,Cape Verde,Praia,Cape Verde,1985-07-27 00:00:00,Central Midfield,Midfield,both,177.0,2024-06-30 00:00:00,D360,https://img.a.transfermarkt.technology/portrait/header/80462-1534350876.png?lm=1,,,,https://www.transfermarkt.co.uk/babanco/profil/spieler/80462,PO1,CD Feirense,50000.0,1500000.0
85763,Ricardo,Dias,Ricardo Dias,2016,3349,ricardo-dias,Portugal,Aveiro,Portugal,1991-02-25 00:00:00,Defensive Midfield,Midfield,right,189.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/85763-1550847016.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ricardo-dias/profil/spieler/85763,PO1,CD Feirense,75000.0,1100000.0
