player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
22555,Bruno,Amaro,Bruno Amaro,2014,8024,bruno-amaro,Portugal,Penafiel,Portugal,1983-02-17 00:00:00,Central Midfield,Midfield,right,181.0,,FOOT EXPANDE,https://img.a.transfermarkt.technology/portrait/header/s_22555_1085_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bruno-amaro/profil/spieler/22555,PO1,Futebol Clube de Arouca,600000.0,1500000.0
24880,,Artur,Artur,2016,8024,artur,Portugal,Aveiro,Portugal,1984-02-18 00:00:00,Attacking Midfield,Midfield,right,175.0,2023-06-30 00:00:00,Gold World Stars,https://img.a.transfermarkt.technology/portrait/header/24880-1444138383.jpg?lm=1,,,,https://www.transfermarkt.co.uk/artur/profil/spieler/24880,PO1,Futebol Clube de Arouca,300000.0,1500000.0
33549,Marco,Soares,Marco Soares,2021,8024,marco-soares,Portugal,Setúbal,Cape Verde,1984-06-16 00:00:00,Defensive Midfield,Midfield,right,180.0,2023-06-30 00:00:00,D360,https://img.a.transfermarkt.technology/portrait/header/33549-1534408132.png?lm=1,,,,https://www.transfermarkt.co.uk/marco-soares/profil/spieler/33549,PO1,Futebol Clube de Arouca,50000.0,500000.0
34006,,Pintassilgo,Pintassilgo,2015,8024,pintassilgo,Portugal,Felgueiras,Portugal,1985-06-30 00:00:00,Right Midfield,Midfield,right,168.0,,Global Sports,https://img.a.transfermarkt.technology/portrait/header/34006-1439481589.JPG?lm=1,,,,https://www.transfermarkt.co.uk/pintassilgo/profil/spieler/34006,PO1,Futebol Clube de Arouca,125000.0,1100000.0
35554,,Ustaritz,Ustaritz,2014,8024,ustaritz,Spain,Abadiño,Spain,1983-02-16 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_35554_663_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ustaritz/profil/spieler/35554,PO1,Futebol Clube de Arouca,350000.0,2400000.0
36210,Miguel,Oliveira,Miguel Oliveira,2014,8024,miguel-oliveira,Portugal,Braga,Portugal,1983-08-18 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/36210-1442922246.jpg?lm=1,,,,https://www.transfermarkt.co.uk/miguel-oliveira/profil/spieler/36210,PO1,Futebol Clube de Arouca,75000.0,600000.0
37574,Luís,Dias,Luís Dias,2013,8024,luis-dias,Portugal,Penafiel,Portugal,1987-01-03 00:00:00,Right-Back,Defender,right,180.0,,International Foot,https://img.a.transfermarkt.technology/portrait/header/37574-1530704994.png?lm=1,,,,https://www.transfermarkt.co.uk/luis-dias/profil/spieler/37574,PO1,Futebol Clube de Arouca,100000.0,400000.0
37954,Hugo,Monteiro,Hugo Monteiro,2015,8024,hugo-monteiro,Portugal,Porto,Portugal,1985-05-09 00:00:00,Left Winger,Attack,left,176.0,,,https://img.a.transfermarkt.technology/portrait/header/37954-1444138677.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hugo-monteiro/profil/spieler/37954,PO1,Futebol Clube de Arouca,300000.0,400000.0
48756,Rui,Sampaio,Rui Sampaio,2014,8024,rui-sampaio,Portugal,Vila Pouca de Aguiar,Portugal,1987-05-29 00:00:00,Central Midfield,Midfield,right,186.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_48756_1390_2013_08_29_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rui-sampaio/profil/spieler/48756,PO1,Futebol Clube de Arouca,75000.0,1000000.0
54306,,Ânderson Luís,Ânderson Luís,2016,8024,anderson-luis,Brazil,Jales,Brazil,1988-07-31 00:00:00,Right-Back,Defender,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/54306-1446136389.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anderson-luis/profil/spieler/54306,PO1,Futebol Clube de Arouca,300000.0,2000000.0
