player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
9413,Ricardo,Vaz Tê,Ricardo Vaz Tê,2020,7378,ricardo-vaz-te,Portugal,Lisboa,Portugal,1986-10-01 00:00:00,Right Winger,Attack,right,188.0,,Pedro Restani Romão,https://img.a.transfermarkt.technology/portrait/header/9413-1500037386.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ricardo-vaz-te/profil/spieler/9413,PO1,Portimonense SC,100000.0,3000000.0
17372,Ricardo,Pessoa,Ricardo Pessoa,2017,7378,ricardo-pessoa,Portugal,Vendas Novas,Portugal,1982-02-05 00:00:00,Right-Back,Defender,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/17372-1441724727.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ricardo-pessoa/profil/spieler/17372,PO1,Portimonense SC,75000.0,500000.0
53286,,Maurício,Maurício,2023,7378,mauricio,Brazil,São José dos Campos,Brazil,1988-10-21 00:00:00,Defensive Midfield,Midfield,right,184.0,,JPF SPORTS,https://img.a.transfermarkt.technology/portrait/header/53286-1664191566.png?lm=1,,,,https://www.transfermarkt.co.uk/mauricio/profil/spieler/53286,PO1,Portimonense SC,200000.0,6500000.0
56183,Bruno,Moreira,Bruno Moreira,2020,7378,bruno-moreira,Portugal,Vila Nova de Famalicão,Portugal,1987-09-06 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/56183-1532679306.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bruno-moreira/profil/spieler/56183,PO1,Portimonense SC,50000.0,2750000.0
59508,Ricardo,Ferreira,Ricardo Ferreira,2021,7378,ricardo-ferreira,Portugal,Braga,Portugal,1989-12-03 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/59508-1658146954.png?lm=1,,,,https://www.transfermarkt.co.uk/ricardo-ferreira/profil/spieler/59508,PO1,Portimonense SC,100000.0,650000.0
74418,Jackson,Martínez,Jackson Martínez,2019,7378,jackson-martinez,Colombia,Quibdó,Colombia,1986-10-03 00:00:00,Centre-Forward,Attack,right,185.0,,Henrique Pompeo,https://img.a.transfermarkt.technology/portrait/header/74418-1447152748.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jackson-martinez/profil/spieler/74418,PO1,Portimonense SC,700000.0,35000000.0
85602,,Pires,Pires,2018,7378,pires,Portugal,Amares,Portugal,1981-04-01 00:00:00,Centre-Forward,Attack,right,179.0,,Footprojectagency,https://img.a.transfermarkt.technology/portrait/header/85602-1495781104.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pires/profil/spieler/85602,PO1,Portimonense SC,50000.0,500000.0
129725,José Francisco,Cevallos Jr.,José Francisco Cevallos Jr.,2019,7378,jose-francisco-cevallos-jr-,Ecuador,Guayaquil,Ecuador,1995-01-18 00:00:00,Attacking Midfield,Midfield,right,186.0,2023-12-31 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/129725-1527689752.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jose-francisco-cevallos-jr-/profil/spieler/129725,PO1,Portimonense SC,800000.0,2200000.0
139173,Achraf,Lazaar,Achraf Lazaar,2021,7378,achraf-lazaar,Morocco,Casablanca,Morocco,1992-01-22 00:00:00,Left-Back,Defender,left,184.0,2023-06-30 00:00:00,Gio’sport,https://img.a.transfermarkt.technology/portrait/header/139173-1676842880.png?lm=1,,,,https://www.transfermarkt.co.uk/achraf-lazaar/profil/spieler/139173,PO1,Portimonense SC,200000.0,3000000.0
166628,Uri,Rosell,Uri Rosell,2017,7378,uri-rosell,Spain,Puig-reig,Spain,1992-07-07 00:00:00,Defensive Midfield,Midfield,right,182.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/166628-1678024633.jpg?lm=1,,,,https://www.transfermarkt.co.uk/uri-rosell/profil/spieler/166628,PO1,Portimonense SC,300000.0,2000000.0
