player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
8198,,Cristiano Ronaldo,Cristiano Ronaldo,2025,18544,cristiano-ronaldo,Portugal,Funchal,Portugal,1985-02-05 00:00:00,Centre-Forward,Attack,right,188.0,2027-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/8198-1748102259.jpg?lm=1,226.0,143.0,,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,SA1,Al-Nassr Football Club,12000000.0,120000000.0
68626,Abdullah,Al-Hamdan,Abdullah Al-Hamdan,2025,18544,abdullah-al-hamdan,Saudi Arabia,Riyadh,Saudi Arabia,1999-09-12 00:00:00,Centre-Forward,Attack,,184.0,,RPM,https://img.a.transfermarkt.technology/portrait/header/68626-1697051244.png?lm=1,44.0,10.0,,https://www.transfermarkt.co.uk/abdullah-al-hamdan/profil/spieler/68626,SA1,Al-Nassr Football Club,325000.0,1000000.0
141805,Ali,Al-Hassan,Ali Al-Hassan,2025,18544,ali-al-hassan,Saudi Arabia,Hofuf,Saudi Arabia,1997-03-04 00:00:00,Defensive Midfield,Midfield,right,176.0,,RPM,https://img.a.transfermarkt.technology/portrait/header/141805-1685034153.PNG?lm=1,15.0,1.0,,https://www.transfermarkt.co.uk/ali-al-hassan/profil/spieler/141805,SA1,Al-Nassr Football Club,500000.0,650000.0
156617,Marcelo,Brozović,Marcelo Brozović,2025,18544,marcelo-brozovic,Croatia,Zagreb,Croatia,1992-11-16 00:00:00,Defensive Midfield,Midfield,both,181.0,2026-06-30 00:00:00,Epic Team,https://img.a.transfermarkt.technology/portrait/header/156617-1661352678.jpg?lm=1,99.0,7.0,,https://www.transfermarkt.co.uk/marcelo-brozovic/profil/spieler/156617,SA1,Al-Nassr Football Club,9000000.0,60000000.0
158863,Iñigo,Martínez,Iñigo Martínez,2025,18544,inigo-martinez,Spain,Ondarroa,Spain,1991-05-17 00:00:00,Centre-Back,Defender,left,182.0,2026-06-30 00:00:00,Carmelo Sánchez,https://img.a.transfermarkt.technology/portrait/header/158863-1730119186.jpg?lm=1,21.0,1.0,,https://www.transfermarkt.co.uk/inigo-martinez/profil/spieler/158863,SA1,Al-Nassr Football Club,4500000.0,32000000.0
164593,Abdulrahman,Ghareeb,Abdulrahman Ghareeb,2025,18544,abdulrahman-ghareeb,Saudi Arabia,Jeddah,Saudi Arabia,1997-03-31 00:00:00,Left Winger,Attack,right,165.0,2026-06-30 00:00:00,F16,https://img.a.transfermarkt.technology/portrait/header/164593-1685034069.PNG?lm=1,31.0,3.0,,https://www.transfermarkt.co.uk/abdulrahman-ghareeb/profil/spieler/164593,SA1,Al-Nassr Football Club,1200000.0,3000000.0
200512,Sadio,Mané,Sadio Mané,2025,18544,sadio-mane,Senegal,Bambaly,Senegal,1992-04-10 00:00:00,Left Winger,Attack,right,174.0,2026-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/200512-1767005854.jpg?lm=1,124.0,52.0,,https://www.transfermarkt.co.uk/sadio-mane/profil/spieler/200512,SA1,Al-Nassr Football Club,7000000.0,150000000.0
231289,,Otávio,Otávio,2024,18544,otavio,Brazil,João Pessoa,Portugal,1995-02-09 00:00:00,Attacking Midfield,Midfield,right,172.0,2027-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/231289-1668697777.jpg?lm=1,22.0,3.0,,https://www.transfermarkt.co.uk/otavio/profil/spieler/231289,SA1,Al-Nassr Football Club,12000000.0,35000000.0
243714,Kingsley,Coman,Kingsley Coman,2025,18544,kingsley-coman,France,Paris,France,1996-06-13 00:00:00,Left Winger,Attack,right,181.0,2028-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/243714-1700040256.jpg?lm=1,61.0,8.0,,https://www.transfermarkt.co.uk/kingsley-coman/profil/spieler/243714,SA1,Al-Nassr Football Club,22000000.0,65000000.0
324633,Abdulmajeed,Al-Sulayhim,Abdulmajeed Al-Sulayhim,2024,18544,abdulmajeed-al-sulayhim,Saudi Arabia,Riyadh,Saudi Arabia,1994-05-15 00:00:00,Central Midfield,Midfield,right,165.0,2026-06-30 00:00:00,Blue Line,https://img.a.transfermarkt.technology/portrait/header/324633-1685034030.PNG?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/abdulmajeed-al-sulayhim/profil/spieler/324633,SA1,Al-Nassr Football Club,,
