player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
21286,,Ousmane Pato,Ousmane Pato,2024,71665,ousmane-pato,Guinea,Conakry,Guinea,1991-09-27 00:00:00,Centre-Forward,Attack,right,172.0,,,https://img.a.transfermarkt.technology/portrait/header/21286-1574091933.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/ousmane-pato/profil/spieler/21286,SA1,Al-Okhdood Club,,
112813,Rakan,Al-Najjar,Rakan Al-Najjar,2025,71665,rakan-al-najjar,Saudi Arabia,-,Saudi Arabia,1995-05-30 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2026-06-30 00:00:00,NAT,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rakan-al-najjar/profil/spieler/112813,SA1,Al-Okhdood Club,125000.0,125000.0
115763,Koray,Günter,Koray Günter,2025,71665,koray-gunter,Germany,Höxter,Germany,1994-08-16 00:00:00,Centre-Back,Defender,right,185.0,2026-06-30 00:00:00,EMG Mundial,https://img.a.transfermarkt.technology/portrait/header/115763-1727796170.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/koray-gunter/profil/spieler/115763,SA1,Al-Okhdood Club,700000.0,5000000.0
120785,Knowledge,Musona,Knowledge Musona,2024,71665,knowledge-musona,Zimbabwe,Norton,Zimbabwe,1990-06-21 00:00:00,Attacking Midfield,Midfield,both,177.0,,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/120785-1680719770.jpg?lm=1,54.0,27.0,,https://www.transfermarkt.co.uk/knowledge-musona/profil/spieler/120785,SA1,Al-Okhdood Club,700000.0,2500000.0
153664,Khaled,Narey,Khaled Narey,2025,71665,khaled-narey,Germany,Neuwied,Togo,1994-07-23 00:00:00,Right Winger,Attack,both,180.0,2026-06-30 00:00:00,EMG Mundial,https://img.a.transfermarkt.technology/portrait/header/153664-1716230586.png?lm=1,8.0,1.0,,https://www.transfermarkt.co.uk/khaled-narey/profil/spieler/153664,SA1,Al-Okhdood Club,2000000.0,3000000.0
200558,,Petros,Petros,2024,71665,petros,Brazil,Juazeiro,Brazil,1989-05-29 00:00:00,Defensive Midfield,Midfield,right,182.0,,Elenko Sports Ltda.,https://img.a.transfermarkt.technology/portrait/header/200558-1716742070.png?lm=1,,,,https://www.transfermarkt.co.uk/petros/profil/spieler/200558,SA1,Al-Okhdood Club,800000.0,5000000.0
213257,Saeed,Al-Rubaie,Saeed Al-Rubaie,2024,71665,saeed-al-rubaie,Saudi Arabia,Najran,Saudi Arabia,1994-06-04 00:00:00,Centre-Back,Defender,right,180.0,2026-06-30 00:00:00,4G Sport,https://img.a.transfermarkt.technology/portrait/header/213257-1716118140.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/saeed-al-rubaie/profil/spieler/213257,SA1,Al-Okhdood Club,200000.0,750000.0
265939,Awadh,Khamis,Awadh Khamis,2024,71665,awadh-khamis,,,Saudi Arabia,1988-07-15 00:00:00,Left-Back,Defender,right,172.0,,4G Sport,https://img.a.transfermarkt.technology/portrait/header/265939-1716063165.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/awadh-khamis/profil/spieler/265939,SA1,Al-Okhdood Club,,
284701,Samuel,Portugal,Samuel Portugal,2025,71665,samuel-portugal,Brazil,Teixeira de Freitas,Brazil,1994-03-29 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2026-06-30 00:00:00,Pure Sports,https://img.a.transfermarkt.technology/portrait/header/284701-1669115006.png?lm=1,,,,https://www.transfermarkt.co.uk/samuel-portugal/profil/spieler/284701,SA1,Al-Okhdood Club,900000.0,1500000.0
295327,Saviour,Godwin,Saviour Godwin,2024,71665,saviour-godwin,Nigeria,Jos,Nigeria,1996-08-22 00:00:00,Left Winger,Attack,right,173.0,,,https://img.a.transfermarkt.technology/portrait/header/295327-1716063806.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/saviour-godwin/profil/spieler/295327,SA1,Al-Okhdood Club,2300000.0,2500000.0
