player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1368,Guy,Demel,Guy Demel,2015,1519,guy-demel,France,Orsay,Cote d'Ivoire,1981-06-13 00:00:00,Right-Back,Defender,,,,FAME US Sport Agency,https://img.a.transfermarkt.technology/portrait/header/s_1368_41_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/guy-demel/profil/spieler/1368,SC1,Dundee United Football Club,150000.0,6000000.0
4133,Richie,Ryan,Richie Ryan,2012,1519,richie-ryan,Ireland,Tipperary,Ireland,1985-01-06 00:00:00,Defensive Midfield,Midfield,both,178.0,,,https://img.a.transfermarkt.technology/portrait/header/4133-1648288446.jpg?lm=1,,,,https://www.transfermarkt.co.uk/richie-ryan/profil/spieler/4133,SC1,Dundee United Football Club,100000.0,350000.0
4216,Florent,Sinama-Pongolle,Florent Sinama-Pongolle,2015,1519,florent-sinama-pongolle,Réunion,Saint-Pierre,France,1984-10-20 00:00:00,Second Striker,Attack,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/4216-1448635837.jpg?lm=1,,,,https://www.transfermarkt.co.uk/florent-sinama-pongolle/profil/spieler/4216,SC1,Dundee United Football Club,250000.0,11000000.0
4755,Grégory,Vignal,Grégory Vignal,2012,1519,gregory-vignal,France,Montpellier,France,1981-07-19 00:00:00,Left-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/4755-1587109571.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gregory-vignal/profil/spieler/4755,SC1,Dundee United Football Club,50000.0,2000000.0
9524,Rudi,Skacel,Rudi Skacel,2012,1519,rudi-skacel,CSSR,Trutnov,Czech Republic,1979-07-17 00:00:00,Left Midfield,Midfield,,,,,https://img.a.transfermarkt.technology/portrait/header/9524-1468575585.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rudi-skacel/profil/spieler/9524,SC1,Dundee United Football Club,100000.0,2500000.0
10424,John,Rankin,John Rankin,2015,1519,john-rankin,Scotland,Bellshill,Scotland,1983-06-27 00:00:00,Central Midfield,Midfield,left,173.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/john-rankin/profil/spieler/10424,SC1,Dundee United Football Club,250000.0,575000.0
12570,Mark,Wilson,Mark Wilson,2014,1519,mark-wilson,Scotland,Glasgow,Scotland,1984-06-05 00:00:00,Right-Back,Defender,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mark-wilson/profil/spieler/12570,SC1,Dundee United Football Club,325000.0,2000000.0
12682,Neil,Alexander,Neil Alexander,2020,1519,neil-alexander,Scotland,Edinburgh,Scotland,1978-03-10 00:00:00,Goalkeeper,Goalkeeper,,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_12682_873_2013_09_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/neil-alexander/profil/spieler/12682,SC1,Dundee United Football Club,150000.0,2000000.0
16152,Jon,Daly,Jon Daly,2012,1519,jon-daly,Ireland,Dublin,Ireland,1983-01-08 00:00:00,Centre-Forward,Attack,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/s_16152_124_2014_03_12_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jon-daly/profil/spieler/16152,SC1,Dundee United Football Club,200000.0,1250000.0
21419,Mark,Reynolds,Mark Reynolds,2021,1519,mark-reynolds,Scotland,Motherwell,Scotland,1987-05-07 00:00:00,Centre-Back,Defender,left,180.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/21419-1622032094.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mark-reynolds/profil/spieler/21419,SC1,Dundee United Football Club,175000.0,1250000.0
24501,Radoslaw,Cierzniak,Radoslaw Cierzniak,2014,1519,radoslaw-cierzniak,Poland,Szamocin,Poland,1983-04-24 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/24501-1447257427.jpg?lm=1,,,,https://www.transfermarkt.co.uk/radoslaw-cierzniak/profil/spieler/24501,SC1,Dundee United Football Club,25000.0,700000.0
34652,Jaroslaw,Fojut,Jaroslaw Fojut,2014,1519,jaroslaw-fojut,Poland,Legionowo,Poland,1987-10-17 00:00:00,Centre-Back,Defender,right,188.0,,GRsport,https://img.a.transfermarkt.technology/portrait/header/34652-1565706103.png?lm=1,,,,https://www.transfermarkt.co.uk/jaroslaw-fojut/profil/spieler/34652,SC1,Dundee United Football Club,150000.0,900000.0
35099,Steven,Fletcher,Steven Fletcher,2022,1519,steven-fletcher,England,Shrewsbury,Scotland,1987-03-26 00:00:00,Centre-Forward,Attack,left,185.0,,,https://img.a.transfermarkt.technology/portrait/header/35099-1598511964.jpg?lm=1,,,,https://www.transfermarkt.co.uk/steven-fletcher/profil/spieler/35099,SC1,Dundee United Football Club,200000.0,15000000.0
35761,Edward,Ofere,Edward Ofere,2015,1519,edward-ofere,Nigeria,Enugu,Nigeria,1986-03-28 00:00:00,Centre-Forward,Attack,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/s_35761_1005_2011_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/edward-ofere/profil/spieler/35761,SC1,Dundee United Football Club,200000.0,1200000.0
