player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
4095,Matthew,Kilgallon,Matthew Kilgallon,2018,2999,matthew-kilgallon,England,York,England,1984-01-08 00:00:00,Centre-Back,Defender,,185.0,,,https://img.a.transfermarkt.technology/portrait/header/4095-1515180894.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matthew-kilgallon/profil/spieler/4095,SC1,Hamilton Academical FC,300000.0,2000000.0
5870,Massimo,Donati,Massimo Donati,2017,2999,massimo-donati,Italy,San Vito al Tagliamento,Italy,1981-03-26 00:00:00,Defensive Midfield,Midfield,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/5870-1442932953.jpg?lm=1,,,,https://www.transfermarkt.co.uk/massimo-donati/profil/spieler/5870,SC1,Hamilton Academical FC,150000.0,6000000.0
12807,Jason,Scotland,Jason Scotland,2014,2999,jason-scotland,Trinidad and Tobago,Morvant,Trinidad and Tobago,1979-02-18 00:00:00,Centre-Forward,Attack,,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_12807_349_2013_12_11_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jason-scotland/profil/spieler/12807,SC1,Hamilton Academical FC,250000.0,2000000.0
13490,Chris,Turner,Chris Turner,2015,2999,chris-turner,Northern Ireland,Ballymoney,Northern Ireland,1987-01-03 00:00:00,Left Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/s_13490_3258_2010_3.jpg?lm=1,,,,https://www.transfermarkt.co.uk/chris-turner/profil/spieler/13490,SC1,Hamilton Academical FC,250000.0,275000.0
14608,Darren,Hill,Darren Hill,2015,2999,darren-hill,Scotland,Falkirk,Scotland,1981-12-03 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/darren-hill/profil/spieler/14608,SC1,Hamilton Academical FC,50000.0,75000.0
14736,Martin,Canning,Martin Canning,2016,2999,martin-canning,Scotland,Glasgow,Scotland,1981-12-03 00:00:00,Centre-Back,Defender,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/martin-canning/profil/spieler/14736,SC1,Hamilton Academical FC,200000.0,500000.0
22613,Martin,Scott,Martin Scott,2018,2999,martin-scott,Scotland,Livingston,Scotland,1986-02-15 00:00:00,Centre-Forward,Attack,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/martin-scott/profil/spieler/22613,SC1,Hamilton Academical FC,225000.0,350000.0
24862,Kemy,Agustien,Kemy Agustien,2015,2999,kemy-agustien,Netherlands Antilles,Willemstad,Curacao,1986-08-20 00:00:00,Central Midfield,Midfield,right,178.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_24862_2288_2013_03_07_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kemy-agustien/profil/spieler/24862,SC1,Hamilton Academical FC,100000.0,1500000.0
31090,Alex,Neil,Alex Neil,2014,2999,alex-neil,Scotland,Bellshill,Scotland,1981-06-09 00:00:00,Defensive Midfield,Midfield,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alex-neil/profil/spieler/31090,SC1,Hamilton Academical FC,300000.0,500000.0
33195,Jan,Mucha,Jan Mucha,2018,2999,jan-mucha,CSSR,Belá nad Cirochou,Slovakia,1982-12-05 00:00:00,Goalkeeper,Goalkeeper,right,189.0,,Jozef Tokos,https://img.a.transfermarkt.technology/portrait/header/33195-1464946994.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jan-mucha/profil/spieler/33195,SC1,Hamilton Academical FC,150000.0,3500000.0
