player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3580,Aaron,Hughes,Aaron Hughes,2018,43,aaron-hughes,Northern Ireland,Cookstown,Northern Ireland,1979-11-08 00:00:00,Centre-Back,Defender,right,183.0,,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/3580-1464948875.jpg?lm=1,,,,https://www.transfermarkt.co.uk/aaron-hughes/profil/spieler/3580,SC1,Heart of Midlothian Football Club,200000.0,5500000.0
3719,Peter,Enckelman,Peter Enckelman,2012,43,peter-enckelman,Finland,Turku,Finland,1977-03-10 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/peter-enckelman/profil/spieler/3719,SC1,Heart of Midlothian Football Club,350000.0,1500000.0
12124,Glenn,Whelan,Glenn Whelan,2019,43,glenn-whelan,Ireland,Dublin,Ireland,1984-01-13 00:00:00,Defensive Midfield,Midfield,right,180.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/12124-1464869479.jpg?lm=1,,,,https://www.transfermarkt.co.uk/glenn-whelan/profil/spieler/12124,SC1,Heart of Midlothian Football Club,50000.0,5000000.0
12569,Paul,Gallacher,Paul Gallacher,2016,43,paul-gallacher,Scotland,Deaconsbank,Scotland,1979-08-16 00:00:00,Goalkeeper,Goalkeeper,,183.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/paul-gallacher/profil/spieler/12569,SC1,Heart of Midlothian Football Club,200000.0,750000.0
12589,Craig,Gordon,Craig Gordon,2025,43,craig-gordon,Scotland,Edinburgh,Scotland,1982-12-31 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2026-05-31 00:00:00,World in Motion,https://img.a.transfermarkt.technology/portrait/header/12589-1716378382.jpg?lm=1,83.0,0.0,,https://www.transfermarkt.co.uk/craig-gordon/profil/spieler/12589,SC1,Heart of Midlothian Football Club,50000.0,10000000.0
12610,Andy,Webster,Andy Webster,2012,43,andy-webster,Scotland,Dundee,Scotland,1982-04-23 00:00:00,Centre-Back,Defender,both,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_12610_43_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andy-webster/profil/spieler/12610,SC1,Heart of Midlothian Football Club,225000.0,1500000.0
12763,Steven,Naismith,Steven Naismith,2019,43,steven-naismith,Scotland,Irvine,Scotland,1986-09-14 00:00:00,Second Striker,Attack,right,178.0,,PMPR Excellence,https://img.a.transfermarkt.technology/portrait/header/s_12763_29_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/steven-naismith/profil/spieler/12763,SC1,Heart of Midlothian Football Club,450000.0,6000000.0
13560,Alan,Combe,Alan Combe,2012,43,alan-combe,Scotland,Edinburgh,Scotland,1974-04-03 00:00:00,Goalkeeper,Goalkeeper,,185.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alan-combe/profil/spieler/13560,SC1,Heart of Midlothian Football Club,50000.0,650000.0
13946,Steven,MacLean,Steven MacLean,2019,43,steven-maclean,Scotland,Edinburgh,Scotland,1982-08-23 00:00:00,Centre-Forward,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/steven-maclean/profil/spieler/13946,SC1,Heart of Midlothian Football Club,200000.0,800000.0
22614,Robert,Snodgrass,Robert Snodgrass,2022,43,robert-snodgrass,Scotland,Glasgow,Scotland,1987-09-07 00:00:00,Right Winger,Attack,left,182.0,,,https://img.a.transfermarkt.technology/portrait/header/22614-1543493318.jpg?lm=1,,,,https://www.transfermarkt.co.uk/robert-snodgrass/profil/spieler/22614,SC1,Heart of Midlothian Football Club,300000.0,8000000.0
