player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
4750,Kenny,Miller,Kenny Miller,2018,1241,kenny-miller,Scotland,Edinburgh,Scotland,1979-12-23 00:00:00,Centre-Forward,Attack,right,178.0,,Avid Sports Group,https://img.a.transfermarkt.technology/portrait/header/4750-1601202749.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kenny-miller/profil/spieler/4750,SC1,Livingston Football Club,50000.0,7000000.0
20980,Lee,Miller,Lee Miller,2019,1241,lee-miller,Scotland,Lanark,Scotland,1983-05-18 00:00:00,Centre-Forward,Attack,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/s_20980_1220_2013_09_24_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lee-miller/profil/spieler/20980,SC1,Livingston Football Club,200000.0,2500000.0
29391,Michael,McGovern,Michael McGovern,2023,1241,michael-mcgovern,Northern Ireland,Enniskillen,Northern Ireland,1984-07-12 00:00:00,Goalkeeper,Goalkeeper,right,190.0,,World in Motion,https://img.a.transfermarkt.technology/portrait/header/29391-1464948438.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michael-mcgovern/profil/spieler/29391,SC1,Livingston Football Club,50000.0,500000.0
45299,Alan,Lithgow,Alan Lithgow,2020,1241,alan-lithgow,Scotland,Bellshill,Scotland,1988-03-12 00:00:00,Centre-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/45299-1624630066.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alan-lithgow/profil/spieler/45299,SC1,Livingston Football Club,275000.0,300000.0
51733,Andrew,Shinnie,Andrew Shinnie,2025,1241,andrew-shinnie,Scotland,Aberdeen,Scotland,1989-07-17 00:00:00,Attacking Midfield,Midfield,right,181.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/51733-1615798330.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/andrew-shinnie/profil/spieler/51733,SC1,Livingston Football Club,50000.0,650000.0
54265,Ryan,McGowan,Ryan McGowan,2025,1241,ryan-mcgowan,Australia,Adelaide,Australia,1989-08-15 00:00:00,Centre-Back,Defender,right,191.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/54265-1497545008.jpg?lm=1,22.0,0.0,,https://www.transfermarkt.co.uk/ryan-mcgowan/profil/spieler/54265,SC1,Livingston Football Club,50000.0,900000.0
55291,Scott,Arfield,Scott Arfield,2025,1241,scott-arfield,Scotland,Livingston,Canada,1988-11-01 00:00:00,Central Midfield,Midfield,right,178.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/55291-1709368059.jpg?lm=1,19.0,2.0,,https://www.transfermarkt.co.uk/scott-arfield/profil/spieler/55291,SC1,Livingston Football Club,50000.0,3000000.0
56490,Jeremy,Bokila,Jeremy Bokila,2025,1241,jeremy-bokila,Zaire,Kinshasa,DR Congo,1988-11-14 00:00:00,Centre-Forward,Attack,left,188.0,2026-05-31 00:00:00,C_Life,https://img.a.transfermarkt.technology/portrait/header/56490-1718023355.jpg?lm=1,20.0,6.0,,https://www.transfermarkt.co.uk/jeremy-bokila/profil/spieler/56490,SC1,Livingston Football Club,50000.0,2800000.0
59830,Keaghan,Jacobs,Keaghan Jacobs,2021,1241,keaghan-jacobs,South Africa,"Johannesburg, Gauteng",South Africa,1989-09-09 00:00:00,Central Midfield,Midfield,right,170.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/59830-1610996845.jpg?lm=1,,,,https://www.transfermarkt.co.uk/keaghan-jacobs/profil/spieler/59830,SC1,Livingston Football Club,75000.0,350000.0
61030,Gregg,Wylde,Gregg Wylde,2018,1241,gregg-wylde,Scotland,Kirkintilloch,Scotland,1991-03-23 00:00:00,Left Midfield,Midfield,,178.0,2024-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gregg-wylde/profil/spieler/61030,SC1,Livingston Football Club,250000.0,2000000.0
