player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
46105,Ivan,Radovanovic,Ivan Radovanovic,2024,20887,ivan-radovanovic,Jugoslawien (SFR),Kosovska Mitrovica,Serbia,1988-08-29 00:00:00,Defensive Midfield,Midfield,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/46105-1663667701.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/ivan-radovanovic/profil/spieler/46105,SER1,FK Jedinstvo Ub,400000.0,3500000.0
90885,Uros,Matic,Uros Matic,2024,20887,uros-matic,Jugoslawien (SFR),Šabac,Serbia,1990-05-23 00:00:00,Central Midfield,Midfield,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/90885-1598164616.png?lm=1,8.0,0.0,,https://www.transfermarkt.co.uk/uros-matic/profil/spieler/90885,SER1,FK Jedinstvo Ub,200000.0,2500000.0
132999,Ivan,Rogac,Ivan Rogac,2024,20887,ivan-rogac,Yugoslavia (Republic),Nikšić,Serbia,1992-06-18 00:00:00,Centre-Back,Defender,right,192.0,,Kruna Soccer,https://img.a.transfermarkt.technology/portrait/header/132999-1747406503.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/ivan-rogac/profil/spieler/132999,SER1,FK Jedinstvo Ub,250000.0,400000.0
139691,Ivan,Jovanovic,Ivan Jovanovic,2024,20887,ivan-jovanovic,Jugoslawien (SFR),Valjevo,Serbia,1989-02-13 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/139691-1747406483.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ivan-jovanovic/profil/spieler/139691,SER1,FK Jedinstvo Ub,,
159718,Darko,Jevtic,Darko Jevtic,2024,20887,darko-jevtic,Switzerland,Basel,Switzerland,1993-02-08 00:00:00,Attacking Midfield,Midfield,left,182.0,,,https://img.a.transfermarkt.technology/portrait/header/159718-1747406543.jpg?lm=1,11.0,7.0,,https://www.transfermarkt.co.uk/darko-jevtic/profil/spieler/159718,SER1,FK Jedinstvo Ub,500000.0,2500000.0
175440,Jovan,Stojanovic,Jovan Stojanovic,2024,20887,jovan-stojanovic,Jugoslawien (SFR),Belgrade,Serbia,1992-04-21 00:00:00,Attacking Midfield,Midfield,both,191.0,,,https://img.a.transfermarkt.technology/portrait/header/175440-1677765206.png?lm=1,,,,https://www.transfermarkt.co.uk/jovan-stojanovic/profil/spieler/175440,SER1,FK Jedinstvo Ub,250000.0,1200000.0
267614,Julian,Kristoffersen,Julian Kristoffersen,2024,20887,julian-kristoffersen,Norway,Horten,Norway,1997-05-10 00:00:00,Centre-Forward,Attack,right,198.0,,,https://img.a.transfermarkt.technology/portrait/header/267614-1624460577.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/julian-kristoffersen/profil/spieler/267614,SER1,FK Jedinstvo Ub,175000.0,450000.0
355630,Simón,Moreno,Simón Moreno,2024,20887,simon-moreno,Spain,Cartaya,Spain,1997-07-02 00:00:00,Centre-Forward,Attack,right,174.0,2026-06-30 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/355630-1747406712.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/simon-moreno/profil/spieler/355630,SER1,FK Jedinstvo Ub,,
395945,Levan,Jordania,Levan Jordania,2024,20887,levan-jordania,Georgia,Tiflis,Georgia,1996-10-17 00:00:00,Central Midfield,Midfield,right,195.0,,Perfect Element BV,https://img.a.transfermarkt.technology/portrait/header/395945-1747406682.jpg?lm=1,,,,https://www.transfermarkt.co.uk/levan-jordania/profil/spieler/395945,SER1,FK Jedinstvo Ub,,
541377,Stefan,Golubovic,Stefan Golubovic,2024,20887,stefan-golubovic,Yugoslavia (Republic),Belgrad,Serbia,1999-03-08 00:00:00,Left-Back,Defender,left,174.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/541377-1747407152.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefan-golubovic/profil/spieler/541377,SER1,FK Jedinstvo Ub,,
