player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
46128,Vojo,Ubiparip,Vojo Ubiparip,2024,15276,vojo-ubiparip,Jugoslawien (SFR),Novi Sad,Serbia,1988-05-10 00:00:00,Centre-Forward,Attack,right,180.0,,Vladan Filipovic,https://img.a.transfermarkt.technology/portrait/header/46128-1702404777.jpg?lm=1,2.0,1.0,,https://www.transfermarkt.co.uk/vojo-ubiparip/profil/spieler/46128,SER1,Fudbalski Klub Spartak Ždrepčeva krv,,
93905,Muhamed,Besic,Muhamed Besic,2024,15276,muhamed-besic,Germany,Berlin,Bosnia-Herzegovina,1992-09-10 00:00:00,Defensive Midfield,Midfield,right,180.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/93905-1756375271.jpg?lm=1,47.0,0.0,,https://www.transfermarkt.co.uk/muhamed-besic/profil/spieler/93905,SER1,Fudbalski Klub Spartak Ždrepčeva krv,200000.0,6000000.0
94322,Nenad,Lukic,Nenad Lukic,2024,15276,nenad-lukic,Yugoslavia (Republic),Sremska Mitrovica,Serbia,1992-09-02 00:00:00,Centre-Forward,Attack,left,185.0,,Bence Papp,https://img.a.transfermarkt.technology/portrait/header/94322-1607354992.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/nenad-lukic/profil/spieler/94322,SER1,Fudbalski Klub Spartak Ždrepčeva krv,,
106739,Milos,Mijic,Milos Mijic,2024,15276,milos-mijic,Jugoslawien (SFR),Zemun,Serbia,1989-11-22 00:00:00,Attacking Midfield,Midfield,both,175.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/106739-1702406021.jpg?lm=1,,,,https://www.transfermarkt.co.uk/milos-mijic/profil/spieler/106739,SER1,Fudbalski Klub Spartak Ždrepčeva krv,,
315280,Nigel,Robertha,Nigel Robertha,2024,15276,nigel-robertha,Netherlands,Vlaardingen,Curacao,1998-02-13 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/315280-1678030430.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/nigel-robertha/profil/spieler/315280,SER1,Fudbalski Klub Spartak Ždrepčeva krv,1000000.0,1500000.0
337403,Dario,Pavkovic,Dario Pavkovic,2025,15276,dario-pavkovic,Germany,Karlsruhe,Croatia,1994-05-28 00:00:00,Centre-Forward,Attack,left,194.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/337403-1720554111.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/dario-pavkovic/profil/spieler/337403,SER1,Fudbalski Klub Spartak Ždrepčeva krv,100000.0,125000.0
372046,,Lincoln,Lincoln,2025,15276,lincoln,Brazil,Serra,Brazil,2000-12-16 00:00:00,Centre-Forward,Attack,right,180.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/372046-1726056890.jpg?lm=1,11.0,4.0,,https://www.transfermarkt.co.uk/lincoln/profil/spieler/372046,SER1,Fudbalski Klub Spartak Ždrepčeva krv,350000.0,6000000.0
393846,Dejan,Kerkez,Dejan Kerkez,2024,15276,dejan-kerkez,Yugoslavia (Republic),Novi Sad,Serbia,1996-01-20 00:00:00,Centre-Back,Defender,right,190.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/393846-1702405075.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/dejan-kerkez/profil/spieler/393846,SER1,Fudbalski Klub Spartak Ždrepčeva krv,800000.0,800000.0
448764,Nemanja,Calasan,Nemanja Calasan,2024,15276,nemanja-calasan,Yugoslavia (Republic),Subotica,Serbia,1996-03-17 00:00:00,Centre-Back,Defender,left,188.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/448764-1748623337.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/nemanja-calasan/profil/spieler/448764,SER1,Fudbalski Klub Spartak Ždrepčeva krv,650000.0,800000.0
522850,Yohan,Bilingi,Yohan Bilingi,2024,15276,yohan-bilingi,France,Alfortville,France,1999-02-01 00:00:00,Right-Back,Defender,right,184.0,2027-06-30 00:00:00,ND SPORTS MANAGEMENT,https://img.a.transfermarkt.technology/portrait/header/522850-1756375498.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/yohan-bilingi/profil/spieler/522850,SER1,Fudbalski Klub Spartak Ždrepčeva krv,600000.0,700000.0
