player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1896,Ahmet,Cebe,Ahmet Cebe,2015,19771,ahmet-cebe,Germany,Krefeld,Germany,1983-05-02 00:00:00,Right-Back,Defender,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/1896-1506161242.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ahmet-cebe/profil/spieler/1896,TR1,Akhisarspor,50000.0,1050000.0
3458,Lomana,LuaLua,Lomana LuaLua,2015,19771,lomana-lualua,Zaire,Kinshasa,DR Congo,1980-12-28 00:00:00,Centre-Forward,Attack,right,180.0,,D&B SPORTS,https://img.a.transfermarkt.technology/portrait/header/s_3458_1506_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lomana-lualua/profil/spieler/3458,TR1,Akhisarspor,200000.0,6000000.0
6915,Mehmet,Yilmaz,Mehmet Yilmaz,2012,19771,mehmet-yilmaz,Turkey,Trabzon,Turkey,1979-05-22 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_6915_19771_2012_11_20_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mehmet-yilmaz/profil/spieler/6915,TR1,Akhisarspor,200000.0,3000000.0
7090,Oguz,Daglaroglu,Oguz Daglaroglu,2014,19771,oguz-daglaroglu,Turkey,Istanbul,Turkey,1979-08-18 00:00:00,Goalkeeper,Goalkeeper,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/7090-1473429247.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oguz-daglaroglu/profil/spieler/7090,TR1,Akhisarspor,100000.0,1500000.0
7444,Bilal,Kisa,Bilal Kisa,2018,19771,bilal-kisa,Turkey,Amasya,Turkey,1983-06-22 00:00:00,Attacking Midfield,Midfield,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/7444-1471101229.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bilal-kisa/profil/spieler/7444,TR1,Akhisarspor,50000.0,2100000.0
10152,Cagdas,Atan,Cagdas Atan,2013,19771,cagdas-atan,Turkey,Izmir,Turkey,1980-02-28 00:00:00,Centre-Back,Defender,left,187.0,,,https://img.a.transfermarkt.technology/portrait/header/s_10152_26_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cagdas-atan/profil/spieler/10152,TR1,Akhisarspor,150000.0,3000000.0
13389,Didier,Zokora,Didier Zokora,2014,19771,didier-zokora,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1980-12-14 00:00:00,Defensive Midfield,Midfield,right,180.0,,GBL,https://img.a.transfermarkt.technology/portrait/header/13389-1408536889.jpg?lm=1,,,,https://www.transfermarkt.co.uk/didier-zokora/profil/spieler/13389,TR1,Akhisarspor,300000.0,16000000.0
13862,,Custódio,Custódio,2016,19771,custodio,Portugal,Guimarães,Portugal,1983-05-24 00:00:00,Defensive Midfield,Midfield,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/13862-1471438339.JPG?lm=1,,,,https://www.transfermarkt.co.uk/custodio/profil/spieler/13862,TR1,Akhisarspor,500000.0,4000000.0
14151,Kürsat,Duymus,Kürsat Duymus,2012,19771,kursat-duymus,Turkey,Mus,Turkey,1979-02-01 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/s_14151_19771_2012_11_20_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kursat-duymus/profil/spieler/14151,TR1,Akhisarspor,200000.0,1300000.0
22952,Caglar,Birinci,Caglar Birinci,2014,19771,caglar-birinci,Turkey,Trabzon,Turkey,1985-10-02 00:00:00,Centre-Back,Defender,left,180.0,,corner association,https://img.a.transfermarkt.technology/portrait/header/s_22952_141_2012_11_19_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/caglar-birinci/profil/spieler/22952,TR1,Akhisarspor,50000.0,2200000.0
25550,Bora,Körk,Bora Körk,2018,19771,bora-kork,Turkey,Izmir,Turkey,1980-06-09 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/25550-1554309505.png?lm=1,,,,https://www.transfermarkt.co.uk/bora-kork/profil/spieler/25550,TR1,Akhisarspor,50000.0,650000.0
28283,Emrah,Eren,Emrah Eren,2013,19771,emrah-eren,Turkey,Istanbul,Turkey,1978-11-13 00:00:00,Right-Back,Defender,both,175.0,,Haluk Canatar,https://img.a.transfermarkt.technology/portrait/header/s_28283_19771_2012_11_20_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emrah-eren/profil/spieler/28283,TR1,Akhisarspor,200000.0,2500000.0
28481,Avdija,Vrsajevic,Avdija Vrsajevic,2018,19771,avdija-vrsajevic,Jugoslawien (SFR),Tešanj,Bosnia-Herzegovina,1986-03-06 00:00:00,Right-Back,Defender,right,182.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/28481-1676401678.jpg?lm=1,,,,https://www.transfermarkt.co.uk/avdija-vrsajevic/profil/spieler/28481,TR1,Akhisarspor,50000.0,2000000.0
29387,Hasan,Kabze,Hasan Kabze,2015,19771,hasan-kabze,Turkey,Ankara,Turkey,1982-05-26 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_29387_2293_2014_02_28_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hasan-kabze/profil/spieler/29387,TR1,Akhisarspor,100000.0,3500000.0
29642,Sertan,Vardar,Sertan Vardar,2014,19771,sertan-vardar,Turkey,Izmir,Turkey,1982-08-19 00:00:00,Left Winger,Attack,left,173.0,,,https://img.a.transfermarkt.technology/portrait/header/29642-1482523975.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/sertan-vardar/profil/spieler/29642,TR1,Akhisarspor,50000.0,1000000.0
34372,Landry,N'Guémo,Landry N'Guémo,2016,19771,landry-nguemo,Cameroon,Yaoundé,Cameroon,1985-11-28 00:00:00,Defensive Midfield,Midfield,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/34372-1591187888.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/landry-nguemo/profil/spieler/34372,TR1,Akhisarspor,100000.0,5000000.0
35252,Özgür Can,Özcan,Özgür Can Özcan,2013,19771,ozgur-can-ozcan,Turkey,Antalya,Turkey,1988-04-10 00:00:00,Centre-Forward,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/35252-1667772998.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ozgur-can-ozcan/profil/spieler/35252,TR1,Akhisarspor,10000.0,1000000.0
36813,Ibrahima,Sonko,Ibrahima Sonko,2014,19771,ibrahima-sonko,Senegal,Bignona,Senegal,1981-01-22 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/s_36813_19771_2012_11_20_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ibrahima-sonko/profil/spieler/36813,TR1,Akhisarspor,250000.0,1500000.0
