player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
2148,Erdal,Kilicaslan,Erdal Kilicaslan,2016,2944,erdal-kilicaslan,Germany,München,Germany,1984-08-23 00:00:00,Left Winger,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/2148-1477319690.jpg?lm=1,,,,https://www.transfermarkt.co.uk/erdal-kilicaslan/profil/spieler/2148,TR1,Ankaraspor,400000.0,1500000.0
15676,Zydrunas,Karcemarskas,Zydrunas Karcemarskas,2017,2944,zydrunas-karcemarskas,UdSSR,Alytus,Lithuania,1983-05-24 00:00:00,Goalkeeper,Goalkeeper,right,189.0,,MV Team,https://img.a.transfermarkt.technology/portrait/header/15676-1533892407.jpg?lm=1,,,,https://www.transfermarkt.co.uk/zydrunas-karcemarskas/profil/spieler/15676,TR1,Ankaraspor,50000.0,3200000.0
16589,Pierre,Webó,Pierre Webó,2016,2944,pierre-webo,Cameroon,Bafoussam,Cameroon,1982-01-20 00:00:00,Centre-Forward,Attack,right,181.0,,BURAK SALLAK,https://img.a.transfermarkt.technology/portrait/header/16589-1536739124.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pierre-webo/profil/spieler/16589,TR1,Ankaraspor,100000.0,4800000.0
18831,Bilal Aziz,Özer,Bilal Aziz Özer,2015,2944,bilal-aziz-ozer,Lebanon,Beirut,Germany,1985-07-01 00:00:00,Left-Back,Defender,left,173.0,,TALENTWERK SOCCER,https://img.a.transfermarkt.technology/portrait/header/18831-1442396178.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bilal-aziz-ozer/profil/spieler/18831,TR1,Ankaraspor,50000.0,800000.0
34166,Görkem,Görk,Görkem Görk,2015,2944,gorkem-gork,Turkey,Istanbul,Turkey,1983-06-30 00:00:00,Centre-Back,Defender,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/34166-1465143526.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gorkem-gork/profil/spieler/34166,TR1,Ankaraspor,100000.0,450000.0
35763,Vaclav,Prochazka,Vaclav Prochazka,2017,2944,vaclav-prochazka,CSSR,Rokycany,Czech Republic,1984-05-08 00:00:00,Centre-Back,Defender,both,185.0,2023-06-30 00:00:00,SPOCS Global Sports,https://img.a.transfermarkt.technology/portrait/header/35763-1477317609.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vaclav-prochazka/profil/spieler/35763,TR1,Ankaraspor,50000.0,1000000.0
37722,Aykut,Demir,Aykut Demir,2016,2944,aykut-demir,Netherlands,Bergen op Zoom,Turkey,1988-10-22 00:00:00,Centre-Back,Defender,right,182.0,2024-06-30 00:00:00,Ince,https://img.a.transfermarkt.technology/portrait/header/37722-1588243945.JPG?lm=1,,,,https://www.transfermarkt.co.uk/aykut-demir/profil/spieler/37722,TR1,Ankaraspor,25000.0,5750000.0
37837,Mehmet,Güven,Mehmet Güven,2017,2944,mehmet-guven,Turkey,Malatya,Turkey,1987-07-30 00:00:00,Defensive Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/37837-1618391646.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/mehmet-guven/profil/spieler/37837,TR1,Ankaraspor,50000.0,2500000.0
39194,Bakary,Soro,Bakary Soro,2015,2944,bakary-soro,Cote d'Ivoire,Anyama,Cote d'Ivoire,1985-12-05 00:00:00,Centre-Back,Defender,right,185.0,,Edo Boy Management,https://img.a.transfermarkt.technology/portrait/header/39194-1442395989.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bakary-soro/profil/spieler/39194,TR1,Ankaraspor,150000.0,1000000.0
50657,Anil,Karaer,Anil Karaer,2017,2944,anil-karaer,Turkey,Istanbul,Turkey,1988-07-04 00:00:00,Centre-Back,Defender,left,185.0,,,https://img.a.transfermarkt.technology/portrait/header/50657-1604401941.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anil-karaer/profil/spieler/50657,TR1,Ankaraspor,275000.0,1000000.0
54645,Alp,Ergin,Alp Ergin,2015,2944,alp-ergin,Turkey,Izmir,Turkey,1987-02-09 00:00:00,Central Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/54645-1478384744.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alp-ergin/profil/spieler/54645,TR1,Ankaraspor,25000.0,550000.0
57854,Furkan,Özcal,Furkan Özcal,2017,2944,furkan-ozcal,Germany,München,Turkey,1990-09-03 00:00:00,Central Midfield,Midfield,right,170.0,,F-F SPORT,https://img.a.transfermarkt.technology/portrait/header/57854-1547236567.jpg?lm=1,,,,https://www.transfermarkt.co.uk/furkan-ozcal/profil/spieler/57854,TR1,Ankaraspor,150000.0,2500000.0
58378,Mehmet,Batdal,Mehmet Batdal,2017,2944,mehmet-batdal,Turkey,Izmir,Turkey,1986-02-24 00:00:00,Centre-Forward,Attack,both,195.0,,,https://img.a.transfermarkt.technology/portrait/header/58378-1526157899.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mehmet-batdal/profil/spieler/58378,TR1,Ankaraspor,50000.0,2300000.0
60710,Ahmet,Kesim,Ahmet Kesim,2016,2944,ahmet-kesim,Turkey,Artvin,Turkey,1990-01-05 00:00:00,Centre-Back,Defender,right,188.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/60710-1667085333.png?lm=1,,,,https://www.transfermarkt.co.uk/ahmet-kesim/profil/spieler/60710,TR1,Ankaraspor,25000.0,300000.0
79685,Ömer,Kulga,Ömer Kulga,2015,2944,omer-kulga,Belgium,Sint-Niklaas,Turkey,1989-01-08 00:00:00,Centre-Back,Defender,right,189.0,,Start 11,https://img.a.transfermarkt.technology/portrait/header/79685-1512259994.jpg?lm=1,,,,https://www.transfermarkt.co.uk/omer-kulga/profil/spieler/79685,TR1,Ankaraspor,50000.0,400000.0
81433,Raul,Rusescu,Raul Rusescu,2017,2944,raul-rusescu,Romania,Râmnicu Vâlcea,Romania,1988-07-09 00:00:00,Centre-Forward,Attack,right,181.0,2023-06-30 00:00:00,Ioan Becali,https://img.a.transfermarkt.technology/portrait/header/81433-1615128347.png?lm=1,,,,https://www.transfermarkt.co.uk/raul-rusescu/profil/spieler/81433,TR1,Ankaraspor,100000.0,4600000.0
91233,Tonia,Tisdell,Tonia Tisdell,2017,2944,tonia-tisdell,Liberia,Monrovia,Liberia,1992-03-20 00:00:00,Left Winger,Attack,left,177.0,,,https://img.a.transfermarkt.technology/portrait/header/91233-1442402970.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tonia-tisdell/profil/spieler/91233,TR1,Ankaraspor,250000.0,1700000.0
127768,Raheem,Lawal,Raheem Lawal,2017,2944,raheem-lawal,Nigeria,Lagos,Nigeria,1990-05-04 00:00:00,Central Midfield,Midfield,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/127768-1411138974.jpg?lm=1,,,,https://www.transfermarkt.co.uk/raheem-lawal/profil/spieler/127768,TR1,Ankaraspor,10000.0,3000000.0
132555,Payam,Sadeghian,Payam Sadeghian,2017,2944,payam-sadeghian,Iran,"Tabriz, East Azerbaijan",Iran,1992-02-29 00:00:00,Left Winger,Attack,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/132555-1533893261.jpg?lm=1,,,,https://www.transfermarkt.co.uk/payam-sadeghian/profil/spieler/132555,TR1,Ankaraspor,100000.0,800000.0
138476,Numan,Cürüksu,Numan Cürüksu,2017,2944,numan-curuksu,Turkey,Trabzon,Turkey,1984-12-02 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/138476-1562523635.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/numan-curuksu/profil/spieler/138476,TR1,Ankaraspor,50000.0,400000.0
