player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3132,Florin,Cernat,Florin Cernat,2013,126,florin-cernat,Romania,Galaţi,Romania,1980-03-10 00:00:00,Attacking Midfield,Midfield,left,168.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3132_126_2013_09_13_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/florin-cernat/profil/spieler/3132,TR1,Çaykur Rizespor Kulübü,100000.0,2800000.0
8399,Engin,Baytar,Engin Baytar,2013,126,engin-baytar,Germany,Bielefeld,Turkey,1983-07-11 00:00:00,Central Midfield,Midfield,both,176.0,,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/8399-1593128152.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/engin-baytar/profil/spieler/8399,TR1,Çaykur Rizespor Kulübü,50000.0,5500000.0
8490,Hakan,Hacibektasoglu,Hakan Hacibektasoglu,2013,126,hakan-hacibektasoglu,Turkey,Istanbul,Turkey,1984-04-23 00:00:00,Defensive Midfield,Midfield,both,181.0,,,https://img.a.transfermarkt.technology/portrait/header/s_8490_126_2013_09_13_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hakan-hacibektasoglu/profil/spieler/8490,TR1,Çaykur Rizespor Kulübü,100000.0,400000.0
10118,Aykut,Ercetin,Aykut Ercetin,2014,126,aykut-ercetin,Germany,Göppingen,Turkey,1982-09-14 00:00:00,Goalkeeper,Goalkeeper,,,,ARP Sportmarketing,https://img.a.transfermarkt.technology/portrait/header/s_10118_141_2013_09_05_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/aykut-ercetin/profil/spieler/10118,TR1,Çaykur Rizespor Kulübü,100000.0,2000000.0
12106,Ludovic,Obraniak,Ludovic Obraniak,2014,126,ludovic-obraniak,France,Longeville-lès-Metz,Poland,1984-11-10 00:00:00,Attacking Midfield,Midfield,,,,,https://img.a.transfermarkt.technology/portrait/header/12106-1411034848.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ludovic-obraniak/profil/spieler/12106,TR1,Çaykur Rizespor Kulübü,700000.0,6500000.0
14882,Cédric,Makiadi,Cédric Makiadi,2015,126,cedric-makiadi,Zaire,Kinshasa,DR Congo,1984-02-23 00:00:00,Central Midfield,Midfield,right,177.0,,Breeze Sports GmbH,https://img.a.transfermarkt.technology/portrait/header/14882-1438067436.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cedric-makiadi/profil/spieler/14882,TR1,Çaykur Rizespor Kulübü,650000.0,3500000.0
21245,Filip,Holosko,Filip Holosko,2014,126,filip-holosko,CSSR,Piestany,Slovakia,1984-01-17 00:00:00,Right Winger,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/21245-1520622312.png?lm=1,,,,https://www.transfermarkt.co.uk/filip-holosko/profil/spieler/21245,TR1,Çaykur Rizespor Kulübü,200000.0,7000000.0
29819,Mariusz,Pawelek,Mariusz Pawelek,2013,126,mariusz-pawelek,Poland,Lubomia,Poland,1981-03-17 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/29819-1448031924.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mariusz-pawelek/profil/spieler/29819,TR1,Çaykur Rizespor Kulübü,25000.0,1700000.0
33783,Armand,Traoré,Armand Traoré,2018,126,armand-traore,France,Paris,Senegal,1989-10-08 00:00:00,Left-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/33783-1554807469.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/armand-traore/profil/spieler/33783,TR1,Çaykur Rizespor Kulübü,200000.0,3500000.0
33793,Gökhan,Gönül,Gökhan Gönül,2021,126,gokhan-gonul,Turkey,Samsun,Turkey,1985-01-04 00:00:00,Right-Back,Defender,right,175.0,2023-06-30 00:00:00,Foot & Ball,https://img.a.transfermarkt.technology/portrait/header/33793-1663954627.png?lm=1,,,,https://www.transfermarkt.co.uk/gokhan-gonul/profil/spieler/33793,TR1,Çaykur Rizespor Kulübü,50000.0,12000000.0
33952,Papiss,Cissé,Papiss Cissé,2021,126,papiss-cisse,Senegal,Dakar,Senegal,1985-06-03 00:00:00,Centre-Forward,Attack,right,180.0,2023-06-30 00:00:00,Lionstep Consulting,https://img.a.transfermarkt.technology/portrait/header/33952-1603566371.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/papiss-cisse/profil/spieler/33952,TR1,Çaykur Rizespor Kulübü,200000.0,19000000.0
36661,Tevfik,Köse,Tevfik Köse,2014,126,tevfik-kose,Germany,Düsseldorf,Turkey,1988-07-12 00:00:00,Centre-Forward,Attack,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/36661-1540161031.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tevfik-kose/profil/spieler/36661,TR1,Çaykur Rizespor Kulübü,25000.0,1700000.0
37873,Aykut,Akgün,Aykut Akgün,2013,126,aykut-akgun,Germany,Karlsruhe,Turkey,1987-09-18 00:00:00,Defensive Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/37873-1604337635.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/aykut-akgun/profil/spieler/37873,TR1,Çaykur Rizespor Kulübü,25000.0,1500000.0
37977,Ümit,Korkmaz,Ümit Korkmaz,2015,126,umit-korkmaz,Austria,Wien,Austria,1985-09-17 00:00:00,Left Winger,Attack,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/37977-1487426841.jpg?lm=1,,,,https://www.transfermarkt.co.uk/umit-korkmaz/profil/spieler/37977,TR1,Çaykur Rizespor Kulübü,200000.0,2500000.0
43248,Ludovic,Sylvestre,Ludovic Sylvestre,2015,126,ludovic-sylvestre,France,Le Blanc-Mesnil,France,1984-02-05 00:00:00,Central Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_43248_126_2013_09_13_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ludovic-sylvestre/profil/spieler/43248,TR1,Çaykur Rizespor Kulübü,250000.0,1500000.0
45227,Mehmet,Uslu,Mehmet Uslu,2018,126,mehmet-uslu,Turkey,Kocaeli,Turkey,1988-02-25 00:00:00,Left-Back,Defender,left,176.0,2024-06-30 00:00:00,GPA Turkey,https://img.a.transfermarkt.technology/portrait/header/45227-1673726090.JPG?lm=1,,,,https://www.transfermarkt.co.uk/mehmet-uslu/profil/spieler/45227,TR1,Çaykur Rizespor Kulübü,50000.0,1750000.0
49292,Martin,Mutumba,Martin Mutumba,2013,126,martin-mutumba,Sweden,Stockholm,Uganda,1985-06-15 00:00:00,Left Winger,Attack,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/martin-mutumba/profil/spieler/49292,TR1,Çaykur Rizespor Kulübü,75000.0,1000000.0
51944,Necati,Yilmaz,Necati Yilmaz,2014,126,necati-yilmaz,Turkey,Izmir,Turkey,1988-01-21 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_51944_126_2013_09_11_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/necati-yilmaz/profil/spieler/51944,TR1,Çaykur Rizespor Kulübü,50000.0,250000.0
