player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
30710,Ismail,Aissati,Ismail Aissati,2020,833,ismail-aissati,Netherlands,Utrecht,Morocco,1988-08-16 00:00:00,Attacking Midfield,Midfield,right,174.0,2023-06-30 00:00:00,MSG,https://img.a.transfermarkt.technology/portrait/header/30710-1572966910.JPG?lm=1,,,,https://www.transfermarkt.co.uk/ismail-aissati/profil/spieler/30710,TR1,Denizlispor,25000.0,3800000.0
35069,Adam,Stachowiak,Adam Stachowiak,2019,833,adam-stachowiak,Poland,Poznań,Poland,1986-12-18 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/35069-1572963397.JPG?lm=1,,,,https://www.transfermarkt.co.uk/adam-stachowiak/profil/spieler/35069,TR1,Denizlispor,25000.0,850000.0
37951,Tolgahan,Acar,Tolgahan Acar,2019,833,tolgahan-acar,Turkey,Adana,Turkey,1986-06-04 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,TuncayMaldan,https://img.a.transfermarkt.technology/portrait/header/37951-1572963934.JPG?lm=1,,,,https://www.transfermarkt.co.uk/tolgahan-acar/profil/spieler/37951,TR1,Denizlispor,25000.0,500000.0
40995,Neven,Subotic,Neven Subotic,2020,833,neven-subotic,Jugoslawien (SFR),Banja Luka,Germany,1988-12-10 00:00:00,Centre-Back,Defender,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/40995-1544075864.jpg?lm=1,,,,https://www.transfermarkt.co.uk/neven-subotic/profil/spieler/40995,TR1,Denizlispor,200000.0,20000000.0
47659,Costel,Pantilimon,Costel Pantilimon,2020,833,costel-pantilimon,Romania,Bacău,Romania,1987-02-01 00:00:00,Goalkeeper,Goalkeeper,right,203.0,,Darren Dein,https://img.a.transfermarkt.technology/portrait/header/47659-1606301901.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/costel-pantilimon/profil/spieler/47659,TR1,Denizlispor,250000.0,6000000.0
52262,Özgür,Cek,Özgür Cek,2020,833,ozgur-cek,Turkey,Tokat,Turkey,1991-01-03 00:00:00,Left-Back,Defender,left,174.0,2024-06-30 00:00:00,Öner Karalar,https://img.a.transfermarkt.technology/portrait/header/52262-1675548359.png?lm=1,,,,https://www.transfermarkt.co.uk/ozgur-cek/profil/spieler/52262,TR1,Denizlispor,25000.0,2500000.0
53602,Marvin,Bakalorz,Marvin Bakalorz,2020,833,marvin-bakalorz,Germany,Offenbach am Main,Germany,1989-09-13 00:00:00,Defensive Midfield,Midfield,right,180.0,2024-06-30 00:00:00,EMG Mundial,https://img.a.transfermarkt.technology/portrait/header/53602-1674415524.JPG?lm=1,,,,https://www.transfermarkt.co.uk/marvin-bakalorz/profil/spieler/53602,TR1,Denizlispor,200000.0,2500000.0
58810,Kerem Can,Akyüz,Kerem Can Akyüz,2019,833,kerem-can-akyuz,Turkey,Istanbul,Turkey,1989-07-01 00:00:00,Left-Back,Defender,left,173.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/58810-1610208310.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kerem-can-akyuz/profil/spieler/58810,TR1,Denizlispor,10000.0,500000.0
64997,Mehmet,Akyüz,Mehmet Akyüz,2019,833,mehmet-akyuz,Turkey,Sakarya,Turkey,1986-01-02 00:00:00,Centre-Forward,Attack,right,187.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/64997-1678303685.png?lm=1,,,,https://www.transfermarkt.co.uk/mehmet-akyuz/profil/spieler/64997,TR1,Denizlispor,25000.0,900000.0
76176,Mustafa,Yumlu,Mustafa Yumlu,2020,833,mustafa-yumlu,Turkey,Trabzon,Turkey,1987-09-25 00:00:00,Centre-Back,Defender,right,191.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/76176-1680541837.png?lm=1,,,,https://www.transfermarkt.co.uk/mustafa-yumlu/profil/spieler/76176,TR1,Denizlispor,50000.0,4500000.0
