player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
109,,Dedê,Dedê,2013,825,dede,Brazil,Belo Horizonte,Brazil,1978-04-18 00:00:00,Left-Back,Defender,,,,Football Concept,https://img.a.transfermarkt.technology/portrait/header/109-1487263703.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dede/profil/spieler/109,TR1,Eskisehirspor,400000.0,9500000.0
6053,Diomansy,Kamara,Diomansy Kamara,2013,825,diomansy-kamara,France,Paris,Senegal,1980-11-08 00:00:00,Right Winger,Attack,both,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_6053_825_2013_09_06_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/diomansy-kamara/profil/spieler/6053,TR1,Eskisehirspor,250000.0,9000000.0
16402,Theofanis,Gekas,Theofanis Gekas,2015,825,theofanis-gekas,Greece,Larisa,Greece,1980-05-23 00:00:00,Centre-Forward,Attack,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/16402-1442237074.jpg?lm=1,,,,https://www.transfermarkt.co.uk/theofanis-gekas/profil/spieler/16402,TR1,Eskisehirspor,300000.0,7000000.0
26014,Emre,Güngör,Emre Güngör,2015,825,emre-gungor,Turkey,Istanbul,Turkey,1984-08-01 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/26014-1442230178.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emre-gungor/profil/spieler/26014,TR1,Eskisehirspor,100000.0,3000000.0
29411,Ergün,Teber,Ergün Teber,2014,825,ergun-teber,Turkey,Adana,Turkey,1985-09-01 00:00:00,Left-Back,Defender,left,181.0,,,https://img.a.transfermarkt.technology/portrait/header/29411-1411130001.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ergun-teber/profil/spieler/29411,TR1,Eskisehirspor,200000.0,2000000.0
38283,Patryk,Malecki,Patryk Malecki,2012,825,patryk-malecki,Poland,Suwałki,Poland,1988-08-01 00:00:00,Centre-Forward,Attack,both,170.0,,,https://img.a.transfermarkt.technology/portrait/header/38283-1669052762.png?lm=1,,,,https://www.transfermarkt.co.uk/patryk-malecki/profil/spieler/38283,TR1,Eskisehirspor,150000.0,2500000.0
43061,Sinan,Ören,Sinan Ören,2015,825,sinan-oren,Turkey,Eskisehir,Turkey,1987-11-21 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/43061-1411128891.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sinan-oren/profil/spieler/43061,TR1,Eskisehirspor,25000.0,350000.0
44997,Ediz,Bahtiyaroglu,Ediz Bahtiyaroglu,2012,825,ediz-bahtiyaroglu,Turkey,Bursa,Turkey,1986-01-02 00:00:00,Centre-Back,Defender,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ediz-bahtiyaroglu/profil/spieler/44997,TR1,Eskisehirspor,500000.0,1800000.0
51311,Anel,Hadzic,Anel Hadzic,2015,825,anel-hadzic,Jugoslawien (SFR),Velika Kladuša,Bosnia-Herzegovina,1989-08-16 00:00:00,Defensive Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/51311-1570647783.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anel-hadzic/profil/spieler/51311,TR1,Eskisehirspor,125000.0,1000000.0
53570,Abdulaziz,Solmaz,Abdulaziz Solmaz,2013,825,abdulaziz-solmaz,Turkey,Trabzon,Turkey,1988-08-07 00:00:00,Left Winger,Attack,right,177.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/53570-1502547830.jpg?lm=1,,,,https://www.transfermarkt.co.uk/abdulaziz-solmaz/profil/spieler/53570,TR1,Eskisehirspor,50000.0,500000.0
