player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
32622,Patrick,Ebert,Patrick Ebert,2022,924,patrick-ebert,East Germany (GDR),Potsdam,Germany,1987-03-17 00:00:00,Right Winger,Attack,right,175.0,,TDS SPORTS,https://img.a.transfermarkt.technology/portrait/header/32622-1531733320.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-ebert/profil/spieler/32622,TR1,Istanbulspor,75000.0,4000000.0
94037,Ferhat,Yazgan,Ferhat Yazgan,2022,924,ferhat-yazgan,Germany,Kiel,Turkey,1992-10-20 00:00:00,Central Midfield,Midfield,right,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/94037-1686672685.png?lm=1,,,,https://www.transfermarkt.co.uk/ferhat-yazgan/profil/spieler/94037,TR1,Istanbulspor,250000.0,500000.0
130756,Giannelli,Imbula,Giannelli Imbula,2023,924,giannelli-imbula,Belgium,Vilvoorde,DR Congo,1992-09-12 00:00:00,Defensive Midfield,Midfield,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/130756-1697640991.png?lm=1,,,,https://www.transfermarkt.co.uk/giannelli-imbula/profil/spieler/130756,TR1,Istanbulspor,125000.0,18000000.0
172565,İbrahim,Yılmaz,İbrahim Yılmaz,2023,924,ibrahim-yilmaz,Türkiye,Istanbul,Türkiye,1994-02-06 00:00:00,Centre-Forward,Attack,right,184.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/172565-1697641724.png?lm=1,,,,https://www.transfermarkt.co.uk/ibrahim-yilmaz/profil/spieler/172565,TR1,Istanbulspor,200000.0,1200000.0
181751,Oguzhan,Berber,Oguzhan Berber,2022,924,oguzhan-berber,,Izmir,,1992-04-10 00:00:00,Right-Back,Defender,left,176.0,,,https://img.a.transfermarkt.technology/portrait/header/181751-1665480880.png?lm=1,,,,https://www.transfermarkt.co.uk/oguzhan-berber/profil/spieler/181751,TR1,Istanbulspor,50000.0,900000.0
189604,Sidrit,Guri,Sidrit Guri,2022,924,sidrit-guri,Albania,Shkodër,Albania,1993-10-23 00:00:00,Centre-Forward,Attack,right,189.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/189604-1665481655.png?lm=1,,,,https://www.transfermarkt.co.uk/sidrit-guri/profil/spieler/189604,TR1,Istanbulspor,150000.0,700000.0
192897,Adi,Mehremic,Adi Mehremic,2022,924,adi-mehremic,Bosnia-Herzegovina,Sarajevo,Bosnia-Herzegovina,1992-04-26 00:00:00,Centre-Back,Defender,left,189.0,2026-06-30 00:00:00,5 PRO SPORT AGENCY,https://img.a.transfermarkt.technology/portrait/header/192897-1665480680.png?lm=1,,,,https://www.transfermarkt.co.uk/adi-mehremic/profil/spieler/192897,TR1,Istanbulspor,100000.0,500000.0
221133,Ali,Yaşar,Ali Yaşar,2023,924,ali-yasar,Belgium,Liège,Türkiye,1995-03-08 00:00:00,Left-Back,Defender,left,180.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/221133-1697640446.png?lm=1,,,,https://www.transfermarkt.co.uk/ali-yasar/profil/spieler/221133,TR1,Istanbulspor,300000.0,575000.0
242040,Florian,Loshaj,Florian Loshaj,2023,924,florian-loshaj,Yugoslavia (Republic),Skenderaj,Kosovo,1996-08-13 00:00:00,Central Midfield,Midfield,left,174.0,2027-06-30 00:00:00,KA-Sportmanagement,https://img.a.transfermarkt.technology/portrait/header/242040-1697640873.png?lm=1,,,,https://www.transfermarkt.co.uk/florian-loshaj/profil/spieler/242040,TR1,Istanbulspor,700000.0,700000.0
243744,David,Sambissa,David Sambissa,2023,924,david-sambissa,France,Saint-Maur-des-Fossés,Gabon,1996-01-11 00:00:00,Right Winger,Attack,left,177.0,2026-06-30 00:00:00,Aykut Dogan,https://img.a.transfermarkt.technology/portrait/header/243744-1697641626.png?lm=1,,,,https://www.transfermarkt.co.uk/david-sambissa/profil/spieler/243744,TR1,Istanbulspor,375000.0,400000.0
262636,Modestas,Vorobjovas,Modestas Vorobjovas,2025,924,modestas-vorobjovas,Lithuania,Vilnius,Lithuania,1995-12-30 00:00:00,Defensive Midfield,Midfield,right,178.0,2026-06-30 00:00:00,Aykut Dogan,https://img.a.transfermarkt.technology/portrait/header/262636-1755697396.jpg?lm=1,48.0,1.0,3851.0,https://www.transfermarkt.co.uk/modestas-vorobjovas/profil/spieler/262636,TR1,Istanbulspor,350000.0,500000.0
289199,Alp,Arda,Alp Arda,2023,924,alp-arda,Türkiye,Istanbul,Türkiye,1995-06-07 00:00:00,Goalkeeper,Goalkeeper,left,192.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/289199-1722122494.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/alp-arda/profil/spieler/289199,TR1,Istanbulspor,100000.0,200000.0
289228,Eduart,Rroca,Eduart Rroca,2023,924,eduart-rroca,Albania,Librazhd,Albania,1993-07-28 00:00:00,Central Midfield,Midfield,right,182.0,2025-06-30 00:00:00,Soccer11,https://img.a.transfermarkt.technology/portrait/header/289228-1697641171.png?lm=1,,,,https://www.transfermarkt.co.uk/eduart-rroca/profil/spieler/289228,TR1,Istanbulspor,350000.0,825000.0
323379,Racine,Coly,Racine Coly,2023,924,racine-coly,Senegal,Dakar,Senegal,1995-12-08 00:00:00,Centre-Back,Defender,left,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/323379-1697640524.png?lm=1,,,,https://www.transfermarkt.co.uk/racine-coly/profil/spieler/323379,TR1,Istanbulspor,175000.0,2500000.0
336248,Eslem,Öztürk,Eslem Öztürk,2023,924,eslem-ozturk,Türkiye,Kocaeli,Türkiye,1997-12-01 00:00:00,Central Midfield,Midfield,right,177.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/336248-1697641272.png?lm=1,,,,https://www.transfermarkt.co.uk/eslem-ozturk/profil/spieler/336248,TR1,Istanbulspor,150000.0,675000.0
340880,Ahmet,Kivanc,Ahmet Kivanc,2022,924,ahmet-kivanc,Turkey,Istanbul,Turkey,1998-04-29 00:00:00,Goalkeeper,Goalkeeper,,189.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/340880-1622820833.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ahmet-kivanc/profil/spieler/340880,TR1,Istanbulspor,100000.0,100000.0
380913,Demeaco,Duhaney,Demeaco Duhaney,2023,924,demeaco-duhaney,England,Manchester,England,1998-10-13 00:00:00,Right-Back,Defender,right,180.0,2027-06-30 00:00:00,Cassius Sports,https://img.a.transfermarkt.technology/portrait/header/380913-1697640656.png?lm=1,,,,https://www.transfermarkt.co.uk/demeaco-duhaney/profil/spieler/380913,TR1,Istanbulspor,300000.0,325000.0
381689,Mehmet,Yeşil,Mehmet Yeşil,2023,924,mehmet-yesil,Türkiye,Diyarbakir,Türkiye,1998-05-31 00:00:00,Centre-Back,Defender,both,188.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/381689-1697639303.png?lm=1,,,,https://www.transfermarkt.co.uk/mehmet-yesil/profil/spieler/381689,TR1,Istanbulspor,750000.0,1000000.0
391278,Muammer,Sarıkaya,Muammer Sarıkaya,2023,924,muammer-sarikaya,Türkiye,Istanbul,Türkiye,1998-02-09 00:00:00,Central Midfield,Midfield,right,179.0,2027-06-30 00:00:00,F-F SPORT,https://img.a.transfermarkt.technology/portrait/header/391278-1697641062.png?lm=1,,,,https://www.transfermarkt.co.uk/muammer-sarikaya/profil/spieler/391278,TR1,Istanbulspor,500000.0,500000.0
404684,Egehan,Gök,Egehan Gök,2023,924,egehan-gok,Türkiye,Izmir,Türkiye,2000-02-27 00:00:00,Central Midfield,Midfield,right,179.0,2024-06-30 00:00:00,YES Sports,https://img.a.transfermarkt.technology/portrait/header/404684-1708613677.png?lm=1,,,,https://www.transfermarkt.co.uk/egehan-gok/profil/spieler/404684,TR1,Istanbulspor,25000.0,275000.0
432604,Kağan,Bağış,Kağan Bağış,2023,924,kagan-bagis,Türkiye,Kayseri,Türkiye,1998-04-10 00:00:00,Right Winger,Attack,right,178.0,,YES Sports,https://img.a.transfermarkt.technology/portrait/header/432604-1697644787.png?lm=1,,,,https://www.transfermarkt.co.uk/kagan-bagis/profil/spieler/432604,TR1,Istanbulspor,25000.0,175000.0
443363,Okan,Erdoğan,Okan Erdoğan,2023,924,okan-erdogan,Germany,Bremen,Türkiye,1998-09-29 00:00:00,Centre-Back,Defender,right,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/443363-1697640193.png?lm=1,,,,https://www.transfermarkt.co.uk/okan-erdogan/profil/spieler/443363,TR1,Istanbulspor,650000.0,800000.0
459965,Kubilay,Köylü,Kubilay Köylü,2023,924,kubilay-koylu,Netherlands,Deventer,Türkiye,1999-05-04 00:00:00,Left Winger,Attack,,177.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/459965-1697641475.png?lm=1,,,,https://www.transfermarkt.co.uk/kubilay-koylu/profil/spieler/459965,TR1,Istanbulspor,50000.0,75000.0
481795,Kristal,Abazaj,Kristal Abazaj,2022,924,kristal-abazaj,Albania,Elbasan,Albania,1996-07-06 00:00:00,Right Winger,Attack,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/481795-1665481324.png?lm=1,,,,https://www.transfermarkt.co.uk/kristal-abazaj/profil/spieler/481795,TR1,Istanbulspor,300000.0,950000.0
532772,Marin,Ljubic,Marin Ljubic,2022,924,marin-ljubic,,Split,,1997-10-18 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2023-12-31 00:00:00,ZM Sport Management,https://img.a.transfermarkt.technology/portrait/header/532772-1535721990.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marin-ljubic/profil/spieler/532772,TR1,Istanbulspor,200000.0,750000.0
538566,Valon,Ethemi,Valon Ethemi,2023,924,valon-ethemi,Macedonia,Palatica,North Macedonia,1997-10-03 00:00:00,Left Winger,Attack,right,179.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/538566-1716214066.png?lm=1,,,,https://www.transfermarkt.co.uk/valon-ethemi/profil/spieler/538566,TR1,Istanbulspor,1500000.0,2000000.0
544472,Emir Kaan,Gültekin,Emir Kaan Gültekin,2023,924,emir-kaan-gultekin,Türkiye,Mersin,Türkiye,2000-10-02 00:00:00,Centre-Forward,Attack,right,181.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/544472-1697641786.png?lm=1,,,,https://www.transfermarkt.co.uk/emir-kaan-gultekin/profil/spieler/544472,TR1,Istanbulspor,700000.0,800000.0
551554,,Jackson Kenio,Jackson Kenio,2023,924,jackson-kenio,Brazil,Santana do Ipanema,Brazil,1999-04-24 00:00:00,Left Winger,Attack,right,178.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/551554-1697641315.png?lm=1,,,,https://www.transfermarkt.co.uk/jackson-kenio/profil/spieler/551554,TR1,Istanbulspor,850000.0,900000.0
573111,Mendy,Mamadou,Mendy Mamadou,2023,924,mendy-mamadou,,,Senegal,1998-10-04 00:00:00,Left Winger,Attack,right,185.0,2026-06-30 00:00:00,Soccerdome,https://img.a.transfermarkt.technology/portrait/header/573111-1697641569.png?lm=1,,,,https://www.transfermarkt.co.uk/mendy-mamadou/profil/spieler/573111,TR1,Istanbulspor,450000.0,475000.0
587906,Alperen,Çaylak,Alperen Çaylak,2023,924,alperen-caylak,Türkiye,Kastamonu,Türkiye,2000-05-08 00:00:00,Left-Back,Defender,left,178.0,,AG Sports Management,https://img.a.transfermarkt.technology/portrait/header/587906-1708611317.png?lm=1,,,,https://www.transfermarkt.co.uk/alperen-caylak/profil/spieler/587906,TR1,Istanbulspor,25000.0,25000.0
600222,Jetmir,Topalli,Jetmir Topalli,2023,924,jetmir-topalli,Yugoslavia (Republic),"Soponicë, Kaçanik",Kosovo,1998-02-07 00:00:00,Right Winger,Attack,right,188.0,,KA-Sportmanagement,https://img.a.transfermarkt.technology/portrait/header/600222-1695220134.png?lm=1,,,,https://www.transfermarkt.co.uk/jetmir-topalli/profil/spieler/600222,TR1,Istanbulspor,800000.0,950000.0
617809,Arda,Belen,Arda Belen,2022,924,arda-belen,Turkey,Karabük,Turkey,2001-01-14 00:00:00,Right-Back,Defender,right,185.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/617809-1562758715.jpg?lm=1,,,,https://www.transfermarkt.co.uk/arda-belen/profil/spieler/617809,TR1,Istanbulspor,25000.0,75000.0
627443,Mahamadou,Ba,Mahamadou Ba,2022,924,mahamadou-ba,Mali,Bamako,Mali,1999-09-21 00:00:00,Defensive Midfield,Midfield,right,175.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/627443-1606396529.png?lm=1,,,,https://www.transfermarkt.co.uk/mahamadou-ba/profil/spieler/627443,TR1,Istanbulspor,425000.0,475000.0
647024,İzzet,Topatar,İzzet Topatar,2023,924,izzet-topatar,Türkiye,Elazig,Türkiye,2001-10-17 00:00:00,Right Winger,Attack,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/647024-1697641672.png?lm=1,,,,https://www.transfermarkt.co.uk/izzet-topatar/profil/spieler/647024,TR1,Istanbulspor,50000.0,100000.0
672248,Denis,Kovacevic,Denis Kovacevic,2022,924,denis-kovacevic,Austria,Wien,Bosnia-Herzegovina,2002-12-12 00:00:00,Left-Back,Defender,left,181.0,,FPSA,https://img.a.transfermarkt.technology/portrait/header/672248-1665480790.png?lm=1,,,,https://www.transfermarkt.co.uk/denis-kovacevic/profil/spieler/672248,TR1,Istanbulspor,50000.0,100000.0
683826,Dijlan,Aydin,Dijlan Aydin,2022,924,dijlan-aydin,,Diyarbakir,,2000-06-16 00:00:00,Central Midfield,Midfield,left,183.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/683826-1665481771.png?lm=1,,,,https://www.transfermarkt.co.uk/dijlan-aydin/profil/spieler/683826,TR1,Istanbulspor,100000.0,150000.0
700006,Vefa,Temel,Vefa Temel,2023,924,vefa-temel,France,Nantes,Türkiye,2002-11-03 00:00:00,Attacking Midfield,Midfield,left,176.0,2027-06-30 00:00:00,AO Sports Management,https://img.a.transfermarkt.technology/portrait/header/700006-1697641367.png?lm=1,,,,https://www.transfermarkt.co.uk/vefa-temel/profil/spieler/700006,TR1,Istanbulspor,300000.0,325000.0
742005,Yusuf,Özer,Yusuf Özer,2022,924,yusuf-ozer,Turkey,Istanbul,Turkey,2002-06-19 00:00:00,Left Winger,Attack,left,,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/742005-1665481262.png?lm=1,,,,https://www.transfermarkt.co.uk/yusuf-ozer/profil/spieler/742005,TR1,Istanbulspor,75000.0,100000.0
859925,Tunahan,Şamdanlı,Tunahan Şamdanlı,2023,924,tunahan-samdanli,Türkiye,Istanbul,Türkiye,2005-03-18 00:00:00,Central Midfield,Midfield,right,185.0,2025-06-30 00:00:00,iHuntTalents,https://img.a.transfermarkt.technology/portrait/header/859925-1692017917.JPG?lm=1,,,,https://www.transfermarkt.co.uk/tunahan-samdanli/profil/spieler/859925,TR1,Istanbulspor,150000.0,150000.0
865621,Berkay,Tekke,Berkay Tekke,2023,924,berkay-tekke,Türkiye,Trabzon,Türkiye,2003-06-05 00:00:00,Centre-Forward,Attack,right,186.0,,Tendure Agency,https://img.a.transfermarkt.technology/portrait/header/865621-1697644309.png?lm=1,,,,https://www.transfermarkt.co.uk/berkay-tekke/profil/spieler/865621,TR1,Istanbulspor,25000.0,50000.0
908022,Özcan,Şahan,Özcan Şahan,2023,924,ozcan-sahan,France,Blendecques,Türkiye,1999-01-08 00:00:00,Right-Back,Defender,right,176.0,2028-06-30 00:00:00,OG ,https://img.a.transfermarkt.technology/portrait/header/908022-1697644456.png?lm=1,,,,https://www.transfermarkt.co.uk/ozcan-sahan/profil/spieler/908022,TR1,Istanbulspor,75000.0,75000.0
936176,Michael,Ologo,Michael Ologo,2022,924,michael-ologo,Nigeria,Ologoama,Nigeria,2003-04-05 00:00:00,Centre-Back,Defender,right,189.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/936176-1665480525.png?lm=1,,,,https://www.transfermarkt.co.uk/michael-ologo/profil/spieler/936176,TR1,Istanbulspor,600000.0,850000.0
951952,Enver,Sarıalioğlu,Enver Sarıalioğlu,2023,924,enver-sarialioglu,Türkiye,Trabzon,Türkiye,2004-06-25 00:00:00,Central Midfield,Midfield,,187.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/951952-1708611364.png?lm=1,,,,https://www.transfermarkt.co.uk/enver-sarialioglu/profil/spieler/951952,TR1,Istanbulspor,50000.0,50000.0
975860,Mücahit,Serbest,Mücahit Serbest,2023,924,mucahit-serbest,Türkiye,Istanbul,Türkiye,2004-11-23 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/975860-1697640247.png?lm=1,,,,https://www.transfermarkt.co.uk/mucahit-serbest/profil/spieler/975860,TR1,Istanbulspor,75000.0,75000.0
1047118,Bartu,Kırtaş,Bartu Kırtaş,2023,924,bartu-kirtas,Türkiye,Istanbul,Türkiye,2004-01-29 00:00:00,Centre-Back,Defender,right,190.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1047118-1697644616.png?lm=1,,,,https://www.transfermarkt.co.uk/bartu-kirtas/profil/spieler/1047118,TR1,Istanbulspor,50000.0,50000.0
1047507,Emir Mustafa,Vuruşaner,Emir Mustafa Vuruşaner,2023,924,emir-mustafa-vurusaner,Türkiye,Istanbul,Türkiye,2005-04-08 00:00:00,Left-Back,Defender,left,,,,https://img.a.transfermarkt.technology/portrait/header/1047507-1682779898.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emir-mustafa-vurusaner/profil/spieler/1047507,TR1,Istanbulspor,50000.0,50000.0
