player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
6949,Necati,Ates,Necati Ates,2014,6894,necati-ates,Turkey,Izmir,Turkey,1980-01-03 00:00:00,Centre-Forward,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_6949_825_2013_09_06_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/necati-ates/profil/spieler/6949,TR1,Kayseri Erciyesspor,100000.0,8000000.0
8680,Ekrem,Eksioglu,Ekrem Eksioglu,2013,6894,ekrem-eksioglu,Turkey,Ankara,Turkey,1978-01-16 00:00:00,Left-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/8680-1528043219.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/ekrem-eksioglu/profil/spieler/8680,TR1,Kayseri Erciyesspor,300000.0,1500000.0
8740,Josef,Cinar,Josef Cinar,2013,6894,josef-cinar,Germany,Bremen,Germany,1984-01-22 00:00:00,Centre-Back,Defender,right,194.0,,,https://img.a.transfermarkt.technology/portrait/header/8740-1533710331.jpg?lm=1,,,,https://www.transfermarkt.co.uk/josef-cinar/profil/spieler/8740,TR1,Kayseri Erciyesspor,50000.0,250000.0
10504,Mehmet,Akgün,Mehmet Akgün,2014,6894,mehmet-akgun,Germany,Bielefeld,Turkey,1986-08-06 00:00:00,Central Midfield,Midfield,,,,,https://img.a.transfermarkt.technology/portrait/header/s_10504_114_2013_08_05_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mehmet-akgun/profil/spieler/10504,TR1,Kayseri Erciyesspor,25000.0,1750000.0
27861,Senijad,Ibricic,Senijad Ibricic,2014,6894,senijad-ibricic,Jugoslawien (SFR),Kotor Varoš,Bosnia-Herzegovina,1985-09-26 00:00:00,Attacking Midfield,Midfield,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/27861-1519854617.png?lm=1,,,,https://www.transfermarkt.co.uk/senijad-ibricic/profil/spieler/27861,TR1,Kayseri Erciyesspor,100000.0,6500000.0
28318,Pape,Diakhaté,Pape Diakhaté,2014,6894,pape-diakhate,Senegal,Dakar,Senegal,1984-06-21 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_28318_16795_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pape-diakhate/profil/spieler/28318,TR1,Kayseri Erciyesspor,500000.0,6000000.0
33794,Erhan,Güven,Erhan Güven,2013,6894,erhan-guven,Turkey,Ankara,Turkey,1982-05-15 00:00:00,Right-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_33794_114_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/erhan-guven/profil/spieler/33794,TR1,Kayseri Erciyesspor,400000.0,2000000.0
33809,Serkan,Atak,Serkan Atak,2013,6894,serkan-atak,Germany,Kösching,Turkey,1984-01-03 00:00:00,Central Midfield,Midfield,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/33809-1485632555.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/serkan-atak/profil/spieler/33809,TR1,Kayseri Erciyesspor,100000.0,2000000.0
34169,Atilla,Koca,Atilla Koca,2013,6894,atilla-koca,Turkey,Gümüshane,Turkey,1980-07-16 00:00:00,Goalkeeper,Goalkeeper,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/s_34169_2381_2011_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/atilla-koca/profil/spieler/34169,TR1,Kayseri Erciyesspor,100000.0,650000.0
35631,Royston,Drenthe,Royston Drenthe,2014,6894,royston-drenthe,Netherlands,Rotterdam,Netherlands,1987-04-08 00:00:00,Left Winger,Attack,left,167.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_35631_1032_2013_09_26_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/royston-drenthe/profil/spieler/35631,TR1,Kayseri Erciyesspor,25000.0,13000000.0
