player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
8284,Selcuk,Sahin,Selcuk Sahin,2012,2323,selcuk-sahin,Germany,München,Turkey,1983-03-26 00:00:00,Left-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/selcuk-sahin/profil/spieler/8284,TR1,Orduspor,300000.0,700000.0
14514,Miguel,Garcia,Miguel Garcia,2012,2323,miguel-garcia,Portugal,Moura,Portugal,1983-02-04 00:00:00,Right-Back,Defender,right,179.0,,Paulo Barbosa,https://img.a.transfermarkt.technology/portrait/header/s_14514_1075_2010_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/miguel-garcia/profil/spieler/14514,TR1,Orduspor,600000.0,2400000.0
25110,,Rovérsio,Rovérsio,2012,2323,roversio,Brazil,Igarassu,Brazil,1984-01-17 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roversio/profil/spieler/25110,TR1,Orduspor,150000.0,1800000.0
29386,Fevzi,Elmas,Fevzi Elmas,2012,2323,fevzi-elmas,Turkey,Canakkale,Turkey,1983-06-09 00:00:00,Goalkeeper,Goalkeeper,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/29386-1489335412.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/fevzi-elmas/profil/spieler/29386,TR1,Orduspor,25000.0,1000000.0
32441,Ferhat,Cökmüs,Ferhat Cökmüs,2012,2323,ferhat-cokmus,Switzerland,Bern,Turkey,1985-02-14 00:00:00,Right-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_32441_1267_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ferhat-cokmus/profil/spieler/32441,TR1,Orduspor,100000.0,1400000.0
45701,Vicente,Monje,Vicente Monje,2012,2323,vicente-monje,Argentina,Yuto,Argentina,1981-06-22 00:00:00,Left Midfield,Midfield,left,173.0,,,https://img.a.transfermarkt.technology/portrait/header/s_45701_683_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vicente-monje/profil/spieler/45701,TR1,Orduspor,500000.0,1000000.0
57850,Müslüm,Yelken,Müslüm Yelken,2012,2323,muslum-yelken,Turkey,Kayseri,Turkey,1988-11-28 00:00:00,Right Winger,Attack,,,,Starr & Int.,https://img.a.transfermarkt.technology/portrait/header/s_57850_2323_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/muslum-yelken/profil/spieler/57850,TR1,Orduspor,200000.0,650000.0
126012,Yasin,Öztop,Yasin Öztop,2012,2323,yasin-oztop,Turkey,Ordu,Turkey,1991-05-25 00:00:00,Right-Back,Defender,right,171.0,,,https://img.a.transfermarkt.technology/portrait/header/126012-1582227966.png?lm=1,,,,https://www.transfermarkt.co.uk/yasin-oztop/profil/spieler/126012,TR1,Orduspor,150000.0,150000.0
161757,Yasin,Kocatepe,Yasin Kocatepe,2012,2323,yasin-kocatepe,Germany,Fulda,Turkey,1991-09-08 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/s_161757_6604_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yasin-kocatepe/profil/spieler/161757,TR1,Orduspor,50000.0,50000.0
210767,Erdal,Pekdemir,Erdal Pekdemir,2012,2323,erdal-pekdemir,Turkey,Giresun,Turkey,1992-06-13 00:00:00,Centre-Back,Defender,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/210767-1635004239.jpg?lm=1,,,,https://www.transfermarkt.co.uk/erdal-pekdemir/profil/spieler/210767,TR1,Orduspor,50000.0,50000.0
211157,Batuhan,Türkmen,Batuhan Türkmen,2012,2323,batuhan-turkmen,Turkey,Ordu,Turkey,1994-02-15 00:00:00,Centre-Forward,Attack,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/211157-1471729515.jpg?lm=1,,,,https://www.transfermarkt.co.uk/batuhan-turkmen/profil/spieler/211157,TR1,Orduspor,50000.0,50000.0
252005,Murat,Torun,Murat Torun,2012,2323,murat-torun,Turkey,Istanbul,Turkey,1994-05-27 00:00:00,Centre-Forward,Attack,right,185.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/252005-1639219775.png?lm=1,,,,https://www.transfermarkt.co.uk/murat-torun/profil/spieler/252005,TR1,Orduspor,200000.0,200000.0
257252,Ferhat,Aksoy,Ferhat Aksoy,2012,2323,ferhat-aksoy,Turkey,Kahramanmaras,Turkey,1992-10-15 00:00:00,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ferhat-aksoy/profil/spieler/257252,TR1,Orduspor,25000.0,25000.0
268926,Burak,Demiregen,Burak Demiregen,2012,2323,burak-demiregen,Turkey,Ordu,Turkey,1993-08-03 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/268926-1478202492.jpg?lm=1,,,,https://www.transfermarkt.co.uk/burak-demiregen/profil/spieler/268926,TR1,Orduspor,50000.0,100000.0
268940,Emrah,Öztürk,Emrah Öztürk,2012,2323,emrah-ozturk,Turkey,Samsun,Turkey,1993-02-24 00:00:00,Left-Back,Defender,right,,,,https://img.a.transfermarkt.technology/portrait/header/268940-1672148087.JPG?lm=1,,,,https://www.transfermarkt.co.uk/emrah-ozturk/profil/spieler/268940,TR1,Orduspor,25000.0,50000.0
