player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
16058,Serkan,Kirintili,Serkan Kirintili,2022,24245,serkan-kirintili,Turkey,Adana,Turkey,1985-02-15 00:00:00,Goalkeeper,Goalkeeper,right,186.0,,Haluk Canatar,https://img.a.transfermarkt.technology/portrait/header/16058-1613784789.png?lm=1,,,,https://www.transfermarkt.co.uk/serkan-kirintili/profil/spieler/16058,TR1,Ümraniyespor,25000.0,1800000.0
45340,Alexandru,Epureanu,Alexandru Epureanu,2022,24245,alexandru-epureanu,UdSSR,Cantemir,Moldova,1986-09-27 00:00:00,Centre-Back,Defender,left,189.0,,iFootball,https://img.a.transfermarkt.technology/portrait/header/45340-1669374584.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexandru-epureanu/profil/spieler/45340,TR1,Ümraniyespor,100000.0,4800000.0
52006,Onur,Ayik,Onur Ayik,2022,24245,onur-ayik,Germany,Walsrode,Turkey,1990-01-28 00:00:00,Right Winger,Attack,both,183.0,,AS Global Sports,https://img.a.transfermarkt.technology/portrait/header/52006-1625162094.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/onur-ayik/profil/spieler/52006,TR1,Ümraniyespor,175000.0,1000000.0
59483,Antonio,Mrsic,Antonio Mrsic,2022,24245,antonio-mrsic,Jugoslawien (SFR),Vinkovci,Croatia,1987-06-05 00:00:00,Central Midfield,Midfield,left,188.0,,,https://img.a.transfermarkt.technology/portrait/header/59483-1618879956.png?lm=1,,,,https://www.transfermarkt.co.uk/antonio-mrsic/profil/spieler/59483,TR1,Ümraniyespor,100000.0,850000.0
66052,Ermir,Lenjani,Ermir Lenjani,2022,24245,ermir-lenjani,Jugoslawien (SFR),Prishtinë,Albania,1989-08-05 00:00:00,Left-Back,Defender,left,175.0,,ESHA,https://img.a.transfermarkt.technology/portrait/header/66052-1630734105.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ermir-lenjani/profil/spieler/66052,TR1,Ümraniyespor,175000.0,1500000.0
72643,Yonathan,Del Valle,Yonathan Del Valle,2022,24245,yonathan-del-valle,Venezuela,Guacara,Venezuela,1990-05-28 00:00:00,Left Winger,Attack,right,173.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/72643-1680541917.png?lm=1,,,,https://www.transfermarkt.co.uk/yonathan-del-valle/profil/spieler/72643,TR1,Ümraniyespor,125000.0,3500000.0
87299,Strahil,Popov,Strahil Popov,2022,24245,strahil-popov,,Blagoevgrad,,1990-08-31 00:00:00,Right-Back,Defender,right,185.0,2024-06-30 00:00:00,TG World,https://img.a.transfermarkt.technology/portrait/header/87299-1614804264.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/strahil-popov/profil/spieler/87299,TR1,Ümraniyespor,150000.0,2000000.0
127169,,Geraldo,Geraldo,2022,24245,geraldo,Angola,Luanda,Angola,1991-11-23 00:00:00,Right Winger,Attack,left,170.0,,BBM Sports,https://img.a.transfermarkt.technology/portrait/header/127169-1612611923.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/geraldo/profil/spieler/127169,TR1,Ümraniyespor,250000.0,600000.0
131694,Olarenwaju,Kayode,Olarenwaju Kayode,2022,24245,olarenwaju-kayode,,Ibadan,,1993-05-08 00:00:00,Centre-Forward,Attack,right,176.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/131694-1633643572.png?lm=1,,,,https://www.transfermarkt.co.uk/olarenwaju-kayode/profil/spieler/131694,TR1,Ümraniyespor,1000000.0,4000000.0
133829,Tomislav,Glumac,Tomislav Glumac,2022,24245,tomislav-glumac,Jugoslawien (SFR),Dubrovnik,Croatia,1991-05-14 00:00:00,Centre-Back,Defender,left,194.0,2026-06-30 00:00:00,Hy Sports Agency,https://img.a.transfermarkt.technology/portrait/header/133829-1670247466.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tomislav-glumac/profil/spieler/133829,TR1,Ümraniyespor,125000.0,1000000.0
170650,Oguz,Gürbulak,Oguz Gürbulak,2022,24245,oguz-gurbulak,Turkey,Erzincan,Turkey,1992-08-10 00:00:00,Central Midfield,Midfield,right,178.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/170650-1688571150.png?lm=1,,,,https://www.transfermarkt.co.uk/oguz-gurbulak/profil/spieler/170650,TR1,Ümraniyespor,350000.0,425000.0
