player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
10143,Umut,Bulut,Umut Bulut,2020,19789,umut-bulut,Turkey,Kayseri,Turkey,1983-03-15 00:00:00,Centre-Forward,Attack,right,184.0,2023-06-30 00:00:00,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/10143-1663353142.png?lm=1,,,,https://www.transfermarkt.co.uk/umut-bulut/profil/spieler/10143,TR1,Yeni Malatyaspor,25000.0,6000000.0
36200,Olcay,Sahan,Olcay Sahan,2020,19789,olcay-sahan,Germany,Düsseldorf,Turkey,1987-05-26 00:00:00,Right Winger,Attack,right,179.0,2023-06-30 00:00:00,Start 11,https://img.a.transfermarkt.technology/portrait/header/36200-1534676709.png?lm=1,,,,https://www.transfermarkt.co.uk/olcay-sahan/profil/spieler/36200,TR1,Yeni Malatyaspor,100000.0,9500000.0
43942,Issiar,Dia,Issiar Dia,2019,19789,issiar-dia,France,Sèvres,Senegal,1987-06-08 00:00:00,Right Winger,Attack,right,173.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/43942-1579710476.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/issiar-dia/profil/spieler/43942,TR1,Yeni Malatyaspor,50000.0,7000000.0
44787,Nacer,Barazite,Nacer Barazite,2017,19789,nacer-barazite,Netherlands,Arnhem,Netherlands,1990-05-27 00:00:00,Attacking Midfield,Midfield,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/44787-1591690856.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nacer-barazite/profil/spieler/44787,TR1,Yeni Malatyaspor,150000.0,3000000.0
44970,Ahmet,Aras,Ahmet Aras,2017,19789,ahmet-aras,Turkey,Mardin,Turkey,1987-12-13 00:00:00,Centre-Forward,Attack,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/44970-1448027720.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ahmet-aras/profil/spieler/44970,TR1,Yeni Malatyaspor,50000.0,800000.0
54148,Adem,Büyük,Adem Büyük,2021,19789,adem-buyuk,Turkey,Artvin,Turkey,1987-08-30 00:00:00,Centre-Forward,Attack,right,177.0,2024-06-30 00:00:00,MEK Football,https://img.a.transfermarkt.technology/portrait/header/54148-1662208544.png?lm=1,,,,https://www.transfermarkt.co.uk/adem-buyuk/profil/spieler/54148,TR1,Yeni Malatyaspor,150000.0,5750000.0
55501,Baris,Basdas,Baris Basdas,2021,19789,baris-basdas,Germany,Köln,Turkey,1990-01-17 00:00:00,Centre-Back,Defender,right,190.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/55501-1602513725.jpg?lm=1,,,,https://www.transfermarkt.co.uk/baris-basdas/profil/spieler/55501,TR1,Yeni Malatyaspor,50000.0,2000000.0
57349,Jonathan,Ayité,Jonathan Ayité,2017,19789,jonathan-ayite,France,Bordeaux,Togo,1985-07-22 00:00:00,Centre-Forward,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/57349-1478268896.png?lm=1,,,,https://www.transfermarkt.co.uk/jonathan-ayite/profil/spieler/57349,TR1,Yeni Malatyaspor,100000.0,1250000.0
58621,Turgut,Sahin,Turgut Sahin,2017,19789,turgut-sahin,Turkey,Mersin,Turkey,1988-02-02 00:00:00,Left Winger,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/58621-1572863313.jpg?lm=1,,,,https://www.transfermarkt.co.uk/turgut-sahin/profil/spieler/58621,TR1,Yeni Malatyaspor,100000.0,2800000.0
60709,Semih,Kaya,Semih Kaya,2021,19789,semih-kaya,Turkey,Izmir,Turkey,1991-02-24 00:00:00,Centre-Back,Defender,right,183.0,,F-F SPORT,https://img.a.transfermarkt.technology/portrait/header/60709-1643963703.png?lm=1,,,,https://www.transfermarkt.co.uk/semih-kaya/profil/spieler/60709,TR1,Yeni Malatyaspor,400000.0,10000000.0
88371,Eray,Iscan,Eray Iscan,2020,19789,eray-iscan,Turkey,Zonguldak,Turkey,1991-07-19 00:00:00,Goalkeeper,Goalkeeper,right,197.0,,,https://img.a.transfermarkt.technology/portrait/header/88371-1612445759.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/eray-iscan/profil/spieler/88371,TR1,Yeni Malatyaspor,50000.0,600000.0
95280,Christian,Cueva,Christian Cueva,2020,19789,christian-cueva,Peru,Trujillo,Peru,1991-11-23 00:00:00,Attacking Midfield,Midfield,right,169.0,2023-08-31 00:00:00,BSC,https://img.a.transfermarkt.technology/portrait/header/95280-1680731996.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-cueva/profil/spieler/95280,TR1,Yeni Malatyaspor,550000.0,5000000.0
124904,Emanuel,Dening,Emanuel Dening,2017,19789,emanuel-dening,Argentina,Goya,Argentina,1988-12-14 00:00:00,Right Winger,Attack,right,173.0,2023-12-31 00:00:00,BANCAM SPORTS,https://img.a.transfermarkt.technology/portrait/header/124904-1511184387.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emanuel-dening/profil/spieler/124904,TR1,Yeni Malatyaspor,225000.0,1000000.0
136212,Eren,Tozlu,Eren Tozlu,2019,19789,eren-tozlu,Turkey,Giresun,Turkey,1990-12-27 00:00:00,Centre-Forward,Attack,right,178.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/136212-1566986182.jpg?lm=1,,,,https://www.transfermarkt.co.uk/eren-tozlu/profil/spieler/136212,TR1,Yeni Malatyaspor,250000.0,800000.0
145581,Afriyie,Acquah,Afriyie Acquah,2020,19789,afriyie-acquah,Ghana,Sunyani,Ghana,1992-01-05 00:00:00,Central Midfield,Midfield,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/145581-1612444957.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/afriyie-acquah/profil/spieler/145581,TR1,Yeni Malatyaspor,300000.0,3000000.0
