player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
9688,Tomas,Hübschman,Tomas Hübschman,2013,660,tomas-hubschman,CSSR,Praha,Czech Republic,1981-09-04 00:00:00,Defensive Midfield,Midfield,right,180.0,2024-06-30 00:00:00,Nehoda Sport,https://img.a.transfermarkt.technology/portrait/header/9688-1581043360.png?lm=1,,,,https://www.transfermarkt.co.uk/tomas-hubschman/profil/spieler/9688,UKR1,FC Shakhtar Donetsk,25000.0,6500000.0
24633,,Eduardo,Eduardo,2016,660,eduardo,Brazil,Rio de Janeiro,Croatia,1983-02-25 00:00:00,Centre-Forward,Attack,left,177.0,,,https://img.a.transfermarkt.technology/portrait/header/24633-1554732622.jpg?lm=1,,,,https://www.transfermarkt.co.uk/eduardo/profil/spieler/24633,UKR1,FC Shakhtar Donetsk,750000.0,13000000.0
25732,Dmytro,Chygrynskyi,Dmytro Chygrynskyi,2023,660,dmytro-chygrynskyi,UdSSR,"Iziaslav, Khmelnytskyi Oblast",Ukraine,1986-11-07 00:00:00,Centre-Back,Defender,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/25732-1692783682.png?lm=1,,,,https://www.transfermarkt.co.uk/dmytro-chygrynskyi/profil/spieler/25732,UKR1,FC Shakhtar Donetsk,100000.0,16000000.0
25820,Vyacheslav,Shevchuk,Vyacheslav Shevchuk,2015,660,vyacheslav-shevchuk,UdSSR,Lutsk,Ukraine,1979-05-13 00:00:00,Left-Back,Defender,both,184.0,,,https://img.a.transfermarkt.technology/portrait/header/25820-1464951956.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vyacheslav-shevchuk/profil/spieler/25820,UKR1,FC Shakhtar Donetsk,200000.0,1800000.0
39996,Andriy,Pyatov,Andriy Pyatov,2022,660,andriy-pyatov,,Kirovograd,,1984-06-28 00:00:00,Goalkeeper,Goalkeeper,right,190.0,,ProStar,https://img.a.transfermarkt.technology/portrait/header/39996-1641992441.png?lm=1,,,,https://www.transfermarkt.co.uk/andriy-pyatov/profil/spieler/39996,UKR1,FC Shakhtar Donetsk,500000.0,10000000.0
52787,,Dentinho,Dentinho,2021,660,dentinho,Brazil,São Paulo,Brazil,1989-01-19 00:00:00,Centre-Forward,Attack,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/52787-1569591301.png?lm=1,,,,https://www.transfermarkt.co.uk/dentinho/profil/spieler/52787,UKR1,FC Shakhtar Donetsk,250000.0,6000000.0
52915,,Júnior Moraes,Júnior Moraes,2021,660,junior-moraes,Brazil,Santos,Ukraine,1987-04-04 00:00:00,Centre-Forward,Attack,right,176.0,2023-12-31 00:00:00,Victrix,https://img.a.transfermarkt.technology/portrait/header/52915-1641992902.png?lm=1,,,,https://www.transfermarkt.co.uk/junior-moraes/profil/spieler/52915,UKR1,FC Shakhtar Donetsk,200000.0,5000000.0
52937,,Ilsinho,Ilsinho,2014,660,ilsinho,Brazil,São Bernardo do Campo,Brazil,1985-10-12 00:00:00,Right Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/52937-1618748420.JPG?lm=1,,,,https://www.transfermarkt.co.uk/ilsinho/profil/spieler/52937,UKR1,FC Shakhtar Donetsk,200000.0,11000000.0
58949,Yevgen,Konoplyanka,Yevgen Konoplyanka,2021,660,yevgen-konoplyanka,UdSSR,Kirovograd,Ukraine,1989-09-29 00:00:00,Attacking Midfield,Midfield,right,176.0,2023-06-30 00:00:00,Special1Agency,https://img.a.transfermarkt.technology/portrait/header/58949-1641992920.png?lm=1,,,,https://www.transfermarkt.co.uk/yevgen-konoplyanka/profil/spieler/58949,UKR1,FC Shakhtar Donetsk,500000.0,25000000.0
68778,,Marlos,Marlos,2021,660,marlos,Brazil,São José dos Pinhais,Ukraine,1988-06-07 00:00:00,Right Winger,Attack,left,174.0,,,https://img.a.transfermarkt.technology/portrait/header/68778-1569591469.png?lm=1,,,,https://www.transfermarkt.co.uk/marlos/profil/spieler/68778,UKR1,FC Shakhtar Donetsk,400000.0,11000000.0
74089,Sergiy,Kryvtsov,Sergiy Kryvtsov,2022,660,sergiy-kryvtsov,UdSSR,Zaporizhya,Ukraine,1991-03-15 00:00:00,Centre-Back,Defender,right,186.0,2024-12-31 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/74089-1678565734.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-kryvtsov/profil/spieler/74089,UKR1,FC Shakhtar Donetsk,2000000.0,5000000.0
203074,Ivan,Petryak,Ivan Petryak,2025,660,ivan-petryak,Ukraine,"Smila, Cherkasy Oblast",Ukraine,1994-03-13 00:00:00,Left Winger,Attack,right,171.0,2026-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/203074-1690180116.png?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/ivan-petryak/profil/spieler/203074,UKR1,FC Shakhtar Donetsk,200000.0,2000000.0
256213,Maksym,Malyshev,Maksym Malyshev,2020,660,maksym-malyshev,Ukraine,Donetsk,Ukraine,1992-12-24 00:00:00,Defensive Midfield,Midfield,right,181.0,,ProStar,https://img.a.transfermarkt.technology/portrait/header/256213-1569591326.png?lm=1,,,,https://www.transfermarkt.co.uk/maksym-malyshev/profil/spieler/256213,UKR1,FC Shakhtar Donetsk,50000.0,3000000.0
273236,,Marlon,Marlon,2025,660,marlon,Brazil,Duque de Caxias,Brazil,1995-09-07 00:00:00,Centre-Back,Defender,right,182.0,2026-06-30 00:00:00,Promanager,https://img.a.transfermarkt.technology/portrait/header/273236-1741202830.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/marlon/profil/spieler/273236,UKR1,FC Shakhtar Donetsk,2500000.0,10000000.0
277777,Andriy,Totovytskyi,Andriy Totovytskyi,2024,660,andriy-totovytskyi,Ukraine,"Krychylsk, Rivne Oblast",Ukraine,1993-01-20 00:00:00,Attacking Midfield,Midfield,right,187.0,,ProStar,https://img.a.transfermarkt.technology/portrait/header/277777-1690179920.png?lm=1,11.0,7.0,,https://www.transfermarkt.co.uk/andriy-totovytskyi/profil/spieler/277777,UKR1,FC Shakhtar Donetsk,200000.0,1200000.0
