player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
24000,Vyacheslav,Checher,Vyacheslav Checher,2018,10690,vyacheslav-checher,UdSSR,Mykolaiv,Ukraine,1980-12-15 00:00:00,Centre-Back,Defender,right,186.0,,ProStar,https://img.a.transfermarkt.technology/portrait/header/24000-1537047283.JPG?lm=1,,,,https://www.transfermarkt.co.uk/vyacheslav-checher/profil/spieler/24000,UKR1,FC Zorya Lugansk,100000.0,2000000.0
24010,Oleksandr,Grytsay,Oleksandr Grytsay,2014,10690,oleksandr-grytsay,UdSSR,Chernigiv,Ukraine,1977-09-30 00:00:00,Defensive Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/24010-1515875979.JPG?lm=1,,,,https://www.transfermarkt.co.uk/oleksandr-grytsay/profil/spieler/24010,UKR1,FC Zorya Lugansk,200000.0,1250000.0
24670,Nikola,Ignjatijevic,Nikola Ignjatijevic,2014,10690,nikola-ignjatijevic,Jugoslawien (SFR),Požarevac,Serbia,1983-12-12 00:00:00,Left-Back,Defender,left,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_24670_10690_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikola-ignjatijevic/profil/spieler/24670,UKR1,FC Zorya Lugansk,100000.0,750000.0
34670,Vitaliy,Postranskyi,Vitaliy Postranskyi,2013,10690,vitaliy-postranskyi,UdSSR,Ivano-Frankivsk,Ukraine,1977-08-02 00:00:00,Goalkeeper,Goalkeeper,,190.0,,,https://img.a.transfermarkt.technology/portrait/header/s_34670_10690_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vitaliy-postranskyi/profil/spieler/34670,UKR1,FC Zorya Lugansk,200000.0,500000.0
37303,Zeljko,Ljubenovic,Zeljko Ljubenovic,2017,10690,zeljko-ljubenovic,Jugoslawien (SFR),Belgrad,Serbia,1981-07-09 00:00:00,Attacking Midfield,Midfield,left,174.0,,,https://img.a.transfermarkt.technology/portrait/header/s_37303_18303_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/zeljko-ljubenovic/profil/spieler/37303,UKR1,FC Zorya Lugansk,100000.0,1500000.0
43290,Oleg,Chuvaev,Oleg Chuvaev,2018,10690,oleg-chuvaev,UdSSR,"Kremenchuk, Poltava Oblast",Ukraine,1987-10-25 00:00:00,Goalkeeper,Goalkeeper,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/43290-1569659612.png?lm=1,,,,https://www.transfermarkt.co.uk/oleg-chuvaev/profil/spieler/43290,UKR1,FC Zorya Lugansk,50000.0,500000.0
43393,Grygoriy,Yarmash,Grygoriy Yarmash,2016,10690,grygoriy-yarmash,UdSSR,"Zaliztsi, Ternopil Oblast",Ukraine,1985-01-04 00:00:00,Right-Back,Defender,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/43393-1642512455.png?lm=1,,,,https://www.transfermarkt.co.uk/grygoriy-yarmash/profil/spieler/43393,UKR1,FC Zorya Lugansk,200000.0,2400000.0
50346,Krsevan,Santini,Krsevan Santini,2015,10690,krsevan-santini,Jugoslawien (SFR),Zadar,Croatia,1987-04-11 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2023-06-15 00:00:00,GreenField,https://img.a.transfermarkt.technology/portrait/header/50346-1547062403.jpg?lm=1,,,,https://www.transfermarkt.co.uk/krsevan-santini/profil/spieler/50346,UKR1,FC Zorya Lugansk,50000.0,1000000.0
57970,,Maksym Iv. Bilyi,Maksym Iv. Bilyi,2012,10690,maksym-iv-bilyi,UdSSR,"Novomoskovsk, Dnipropetrovsk Oblast",Ukraine,1989-04-27 00:00:00,Attacking Midfield,Midfield,both,175.0,,,https://img.a.transfermarkt.technology/portrait/header/57970-1642517725.png?lm=1,,,,https://www.transfermarkt.co.uk/maksym-iv-bilyi/profil/spieler/57970,UKR1,FC Zorya Lugansk,500000.0,1000000.0
58238,Mykyta,Kamenyuka,Mykyta Kamenyuka,2019,10690,mykyta-kamenyuka,UdSSR,Lugansk,Ukraine,1985-06-03 00:00:00,Right-Back,Defender,both,172.0,,,https://img.a.transfermarkt.technology/portrait/header/58238-1569658435.png?lm=1,,,,https://www.transfermarkt.co.uk/mykyta-kamenyuka/profil/spieler/58238,UKR1,FC Zorya Lugansk,200000.0,1200000.0
